@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute target {1,2}

@data
-1.027204,3.209024,-3.740675,-0.389329,0.029689,1.741156,0.771327,2.595674,-2.725987,-1.45064,-1.20717,-2.301798,-1.245736,2.756121,-0.624163,-5.767559,-1.231189,2.834128,7.508456,6.809206,1.881929,-2.021119,-6.672724,-1.09717,2.033822,-3.42564,-0.296433,-1.028578,0.066353,-0.442062,4.620295,0.927899,-0.733847,-0.171057,2.338235,2.07476,0.779434,-0.908052,-2.309836,1.361736,2.802219,0.757579,-4.351142,4.18761,1.01787,-2.225523,1.303082,-2.129639,0.375403,-1.095505,0.998244,-0.996187,-1.332725,-1.663498,-3.502724,-4.432064,-2.291652,0.217871,0.351369,-2.150292,2.511071,-1.588861,2.249184,2.901256,1.982933,3.998159,-3.403305,-1.469199,0.733176,3.512297,1.356718,-4.463309,-0.543372,2.915004,-2.066035,-1.211743,-1.51909,4.840117,0.321365,0.462951,-4.311504,1.134143,0.143458,-6.108214,3.339665,-1.919407,-0.883836,3.941408,2.567914,3.723326,-0.119677,-3.123105,1.253199,0.145348,1.275059,-0.074808,2.854533,-3.336011,-1.349557,-0.032825,2
-3.822437,0.068858,-2.080369,0.487849,1.87328,-0.580102,3.892763,-1.423655,-2.874192,1.740436,1.276272,-2.21954,-6.053806,-1.373848,2.560972,7.362131,6.501462,1.796657,-2.417016,-6.422128,1.732837,2.00828,-1.104705,0.877002,2.23478,2.210476,0.639382,0.101677,1.35236,-2.122164,0.995916,0.378532,-0.44846,0.663184,2.626971,-1.131132,0.012502,-1.625981,0.351959,-2.626746,-3.590119,-1.672832,-0.101493,0.925404,-1.057415,-1.777891,3.430678,-3.863516,2.986129,-0.201165,1.362453,-5.368635,3.962096,2.627453,-2.427109,-1.530234,2.10883,-0.126212,0.389947,-2.641964,-0.440183,-0.072814,-1.297637,-2.342151,-1.698626,-0.611948,-2.183638,-2.383964,-0.291124,-0.068327,0.695538,-2.366792,-0.863906,1.267753,2.328898,-2.473551,1.869611,2.85828,-1.586823,4.960007,-0.290696,-0.824517,1.006944,-6.369088,0.91728,-0.272014,0.680039,1.980376,3.339998,-1.894829,-2.965134,-0.606118,2.658132,1.507161,1.257679,3.118626,1.295451,-0.795859,1.449446,0.653858,2
4.186932,-1.013673,-0.515546,4.278027,-6.06907,-2.117549,-4.744471,3.289805,1.710919,2.919847,0.210778,-1.853721,2.045108,2.88647,0.869009,-2.223022,-1.968001,-0.259242,1.308216,-0.566935,-2.336595,3.548612,1.681834,3.065435,-1.421279,-1.114019,-1.680674,-0.675628,2.664683,2.324913,-0.483246,2.053972,3.257019,-0.355599,-0.97497,0.83407,2.160263,-1.615079,-0.762701,2.784781,-1.457654,2.293661,1.120686,-2.512537,-0.120214,-0.486481,-0.231049,1.117817,0.138874,-3.492599,2.408631,-0.853504,-3.260221,-2.293311,-1.288057,-0.160828,-2.064916,-1.249044,1.120394,-2.425546,-0.220319,1.352052,-0.050974,2.393588,-1.328958,1.965982,2.950935,-3.967503,-5.616318,-0.699935,3.485713,7.436621,5.700416,0.432723,-3.011821,-7.218658,2.843317,-3.788468,1.855825,-2.430658,-1.17193,-0.839256,-3.262337,2.252702,2.471249,1.494323,2.99162,-0.473704,0.621931,3.326677,-2.102533,0.293951,-1.794447,-0.239896,-1.061744,-1.440771,-3.991,-0.107296,1.134175,-1.819051,2
0.868215,1.961388,1.229661,-2.666332,-6.193503,-2.591928,2.171201,6.093233,7.749813,2.065883,-0.590508,-7.006512,0.644658,4.227058,-1.622376,-0.369792,0.845607,2.112457,2.083001,-0.27302,1.600667,0.895163,-0.531885,-0.424854,1.95834,2.280633,1.279975,1.031419,-2.546929,3.267793,-5.48915,-1.633035,-0.189103,-4.634189,-0.800919,3.211439,0.862986,0.679849,0.185492,-0.569024,-2.483805,-3.307799,-0.734253,-0.24599,-3.027066,-3.04966,-1.787171,-0.289764,2.161928,0.924572,-1.839139,-0.741763,-2.79454,3.587731,2.590146,-2.48683,-2.985053,2.313246,3.404269,0.430717,0.406341,-2.230985,-0.970926,-1.456562,-3.021483,-0.239726,-3.255163,1.106532,3.955016,2.806031,1.371898,-3.586802,0.621224,-0.724466,1.006913,3.148461,-3.217905,-0.613484,5.743118,2.980336,0.918035,4.454971,1.461557,1.065492,-0.627222,-2.098548,-2.122042,-0.893939,2.689379,0.208889,-0.838444,-2.769143,-3.332415,1.005304,-3.970233,-1.326792,-1.116874,0.321454,-1.057053,3.38661,2
-3.177733,1.127844,0.920454,1.021304,3.523785,1.14363,0.682981,0.888239,-5.054453,-0.965865,-2.670436,1.446697,-4.795769,-0.753365,-0.899932,-1.472509,0.335613,-0.383355,-3.34745,0.733707,-1.388187,0.537992,2.671796,0.028216,-2.006313,-2.17912,1.388264,-0.186187,-2.489484,2.881736,-4.546428,-3.070891,-0.868537,-3.83602,-5.198904,-0.596771,3.598614,8.092051,5.510867,1.329111,-3.957737,-4.777839,5.502783,2.487631,1.552782,2.84195,-2.180262,-0.409377,-1.404089,0.313345,-3.273683,1.091653,-1.34679,0.001428,-1.457297,-4.259018,1.640524,2.599808,0.260744,2.809332,-0.208124,1.883184,2.928031,-0.16039,2.275847,-0.429442,0.001086,1.33962,1.269598,1.847405,1.766909,1.935298,-0.251286,-3.655236,3.348887,2.444691,2.601929,-0.051354,-2.785167,1.233709,0.57353,-0.563866,2.977364,-4.00049,-0.103691,-0.207757,-0.958776,-0.237786,0.22152,-0.902115,-1.623558,-1.03665,1.881944,1.020355,2.119423,1.224092,-2.90317,-0.88135,0.328093,-0.273386,2
2.216644,1.615791,-1.868138,-5.623392,0.30073,-2.489013,0.169168,0.115638,2.665675,-0.035152,-1.049153,-1.291938,0.512774,0.727894,4.063975,1.399319,-1.362034,-0.32557,-1.031486,-1.455823,0.151727,-4.502867,-2.003305,0.630528,2.727436,-2.633388,2.128569,0.359495,0.747758,-2.675025,4.649991,-1.513453,1.801643,-0.261435,1.925524,-0.964335,-3.544333,-2.464597,1.180647,0.437435,-5.104312,-0.731562,-1.140591,-0.785858,-3.165239,1.841489,-1.41895,3.024389,-3.088153,-1.814304,4.121886,-0.443118,0.683855,-1.340892,3.438466,1.315733,-1.024103,3.185156,0.769701,2.290914,1.556325,1.875704,-2.356738,1.431216,-2.398754,0.609774,1.133064,-7.187053,-0.907721,-2.327502,-1.161152,3.264195,2.148595,1.945836,-3.300196,-5.475381,1.541698,3.772694,9.168412,3.753252,1.583487,-5.556006,-3.0209,4.465864,-0.36902,-1.277149,-0.256482,0.053087,0.485102,0.807584,-3.06474,4.095869,0.285628,0.414522,-1.418241,0.023252,4.160778,-3.321357,-0.074871,0.848895,2
1.93967,-1.081974,0.926362,-1.335843,-1.464712,1.565903,-0.039922,-1.164181,0.17383,3.039141,1.907981,-0.161111,-3.282089,-2.739716,-1.091945,0.726011,-4.563534,-0.460309,-4.311005,1.253811,-2.089742,-0.59892,2.997875,-3.213645,-2.806318,-5.510174,-0.062242,3.487349,8.154426,5.515712,1.450641,-3.633024,-4.568852,-0.891703,-1.265432,5.404186,2.995583,-2.985045,0.364646,-2.82995,2.812671,3.050747,1.119829,-2.683656,-0.000817,2.776922,0.665827,-0.584551,1.648658,-0.540193,-1.843662,-1.408933,3.092975,-1.194575,-2.127769,-0.946703,1.010253,-2.739612,3.596096,-0.571699,-0.999554,0.757398,1.376414,-0.085312,0.059235,0.521773,-0.191939,1.478265,-2.377412,0.652722,2.489841,1.465818,2.297306,2.83568,-0.592947,0.317289,-1.096253,-1.13827,-1.766897,-1.493785,3.314367,-3.691221,2.795412,-2.510359,-0.939419,1.296934,-0.807911,3.11937,-0.359984,-0.545687,-0.413708,2.070676,2.358295,-0.887331,-0.629732,1.673656,-1.875451,1.926401,-2.090848,-3.19638,2
1.693108,-2.554213,1.19113,-1.046318,0.470796,-2.578965,2.865997,-4.005622,0.721604,1.049856,0.401214,-0.221429,-0.365919,-0.711266,3.121532,0.368908,-1.373492,3.801658,3.452364,3.808584,3.640695,1.067162,3.20341,-3.572104,-2.356002,0.706562,0.904524,0.454562,1.849033,-3.533864,1.034276,0.050526,-0.151599,-0.600632,-4.600053,2.338398,-0.851316,0.596435,-0.772544,2.037278,3.175558,4.992145,-0.558171,0.263588,-3.869912,-2.151608,1.682054,3.013394,-0.104361,1.960658,-2.593938,0.140421,3.503113,0.242693,3.683418,-2.442244,-1.762292,0.172688,-3.39801,-0.462215,-2.026054,2.439286,0.074177,-0.556492,-2.928879,-0.890377,-0.6026,-0.748081,-1.61421,-0.667707,2.969305,0.931301,-6.838057,0.640687,0.758623,0.893845,0.548706,-2.294842,0.057713,-1.604905,-7.494061,-3.450069,0.583874,5.360946,7.510596,3.249643,-0.766027,-5.827019,-5.249621,0.18801,-0.420171,-2.211893,-1.585463,-1.917847,3.583557,0.832749,-0.422994,-0.702651,2.696397,0.479353,2
-5.17737,-5.119204,-0.608513,0.450896,-1.430656,-3.233705,0.628089,-2.343925,-5.444951,-1.323425,-4.155969,1.605493,5.12745,-3.946846,0.045793,4.337796,1.206368,-1.422643,1.715579,-3.609342,3.562844,-4.540456,1.329186,-1.267885,-2.622429,2.175295,2.066629,-1.539623,-6.097224,0.948296,3.598625,8.361179,3.76831,0.561754,-5.317373,-4.275953,0.423023,-0.311692,1.887735,-1.132194,0.977008,-1.844639,-1.420357,2.170755,0.137111,2.473711,3.053683,-3.526742,0.293459,1.911018,-1.825852,0.952029,2.969506,-1.92712,1.503634,-3.454688,4.066905,0.884154,3.240932,0.915509,2.476347,-0.524259,4.013308,-2.834452,-4.017793,-1.478254,1.406328,2.439098,-1.555909,-0.152844,-0.347684,-0.501252,-3.204955,0.692174,-1.86688,-2.749485,-0.383551,1.180208,0.59788,1.442859,-1.384879,0.604771,1.988239,-0.750316,2.937488,0.567423,2.666601,3.01229,-0.536404,0.201064,1.203356,-2.911648,4.13967,-1.254954,-0.307045,0.656874,-0.18475,2.029573,0.065771,2.197012,2
2.339907,0.608449,0.712136,2.587749,4.46906,-0.376686,3.863631,-2.433652,3.544926,-1.809651,-3.81534,2.771025,1.372014,1.769753,-0.256922,0.059776,-2.855687,1.54789,3.528234,-2.901503,-1.166336,-1.518523,-1.03768,-0.195974,2.357354,-2.04955,-3.627643,0.507392,3.06842,-1.679055,4.785902,-1.559021,-3.059115,2.113155,-0.348046,2.828184,1.817674,-0.978653,3.834509,-1.301723,-2.359422,-1.756689,-1.852094,-0.444387,2.178216,1.562682,0.938961,-1.626774,2.088524,-0.330861,-0.736681,0.974507,0.047823,0.467929,-3.443976,4.71514,0.444274,2.120339,-2.041408,0.491708,-3.519717,-0.16362,-0.18949,-3.137589,-3.587525,-6.387948,-0.586743,2.717264,7.879408,4.768487,1.004236,-4.489968,-5.880889,0.632969,-0.370698,-0.383333,0.416177,-0.076674,1.777011,0.066707,-0.206693,0.233882,-0.989551,-1.300668,-1.580452,-0.841372,-5.317071,-1.456479,4.185319,-0.320029,-0.642147,-2.304605,3.429177,-2.666858,-1.30324,0.067457,-0.259539,-0.514438,2.150715,0.194335,2
