@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2,3}

@data
-1.809524,-0.990361,0.322505,1.530454,2.853359,3.032427,2.945282,2.398446,1.277101,0.199996,-1.039674,-1.821704,-1.490728,-0.380851,0.79944,2.037054,3.147802,3.038357,2.968062,3.450035,3.014684,1.910555,0.742916,-0.484961,-1.453796,-1.10342,-1.547321,-2.325395,-2.440836,-2.273427,-1.809716,-1.256611,-0.985173,-1.330846,-1.908991,-2.458155,-2.568485,-2.037917,-1.34741,-0.803171,3
-1.669981,-0.97686,0.179043,1.368944,2.564854,3.245605,3.15682,3.143848,2.09182,1.031961,-0.214424,-1.209482,-1.700502,-1.11284,0.073029,1.223066,2.558216,3.00381,2.926509,3.169737,2.959877,1.981217,0.807297,-0.343396,-1.364813,-1.134481,-1.533867,-2.237323,-2.709232,-2.325254,-1.813594,-1.333651,-1.104637,-1.31912,-1.818376,-2.428995,-2.640042,-2.178712,-1.440644,-0.875433,3
-1.795841,-0.944679,0.312845,1.546491,2.68617,2.921855,2.856325,2.428313,1.237119,0.045567,-1.146445,-1.847305,-1.355651,-0.193326,0.962405,2.163855,3.153824,3.150652,2.796239,3.258746,3.18593,2.014927,0.863737,-0.364595,-1.366527,-1.118912,-1.579282,-2.021207,-2.58497,-2.573567,-1.992625,-1.427729,-1.06862,-1.296286,-1.818573,-2.467611,-2.641427,-2.003887,-1.237398,-0.738537,2
-1.631189,-0.850361,0.342874,1.487126,2.622569,3.064967,3.02594,2.575177,1.560102,0.464061,-0.725102,-1.54718,-1.464586,-0.479989,0.680744,1.840681,2.894746,3.226775,3.04235,3.379737,3.037335,1.853847,0.712596,-0.516872,-1.456178,-1.374534,-1.842366,-2.430628,-2.54011,-2.184795,-1.638703,-1.226993,-1.21254,-1.666179,-2.189437,-2.625721,-2.326368,-1.764703,-1.142981,-0.974112,2
-1.203427,-0.645265,0.41625,1.495115,2.522492,3.143367,3.013715,2.271193,1.401832,0.360048,-0.709986,-1.361334,-1.173001,-0.275567,0.790564,1.906543,2.863866,3.05519,3.223837,3.327434,3.133588,2.035281,0.882304,-0.273097,-1.185881,-1.276571,-1.559391,-1.952372,-2.205084,-2.388054,-2.174127,-1.978285,-1.695057,-1.731426,-2.042005,-2.272356,-2.368983,-2.183204,-1.773614,-1.414534,1
-1.355319,-0.708206,0.306512,1.23544,2.155993,2.878692,2.97764,2.438163,1.540465,0.633196,-0.191518,-0.98472,-1.094294,-0.275133,0.916239,2.119317,3.114883,3.045963,2.926962,2.981698,3.084026,2.184142,1.016198,-0.098537,-1.044393,-1.189005,-1.600854,-2.185418,-2.549871,-2.533282,-2.230552,-1.861149,-1.62363,-1.905437,-2.358937,-2.700638,-2.557073,-1.982986,-1.480962,-1.043614,1
-1.465954,-0.786833,0.323989,1.284141,2.298422,3.093873,3.056472,2.428942,1.526542,0.462134,-0.706653,-1.43662,-1.202356,-0.320197,0.74227,1.836822,2.961683,3.259655,3.110356,3.356092,3.205795,2.051443,0.887282,-0.284278,-1.177818,-1.556751,-1.658545,-2.05283,-2.354412,-2.147656,-2.034155,-1.858809,-1.503841,-1.543821,-1.861348,-2.269843,-2.423438,-2.151962,-1.666527,-1.421265,1
-1.384135,-0.781214,0.428657,1.511931,2.446389,3.076749,3.20342,2.55276,1.592976,0.628686,-0.558537,-1.456536,-1.353712,-0.618122,0.488941,1.656587,2.709231,3.16339,3.059762,3.25896,3.06445,2.071442,0.946392,-0.146939,-1.135562,-1.375183,-1.755171,-2.307414,-2.576504,-2.233546,-1.810748,-1.535508,-1.228786,-1.46214,-1.979148,-2.386092,-2.599966,-2.227631,-1.655567,-1.292559,1
-1.469914,-0.85544,0.344791,1.389152,2.372839,3.085428,3.064399,2.36697,1.504974,0.403295,-0.708678,-1.459807,-1.350572,-0.362706,0.783485,1.971969,3.009257,3.233741,3.133168,3.387308,3.02877,1.924827,0.790778,-0.323922,-1.233124,-1.289372,-1.589903,-2.158674,-2.528235,-2.278076,-1.790325,-1.57709,-1.361066,-1.478619,-1.899463,-2.400246,-2.596224,-2.224636,-1.666333,-1.192725,1
-1.476983,-0.843296,0.322882,1.325384,2.399112,2.98938,2.911035,2.251211,1.084962,-0.087581,-1.18847,-1.622396,-1.180409,-0.047117,1.189628,2.450493,3.321863,3.079412,2.89211,3.361113,3.211757,1.996837,0.83906,-0.35728,-1.261938,-1.279869,-1.516397,-2.053334,-2.324356,-2.408348,-2.008537,-1.563178,-1.334877,-1.662398,-2.156213,-2.610356,-2.392999,-1.902315,-1.335839,-1.011751,1
-1.546008,-0.847305,0.360333,1.51559,2.624677,3.125537,3.00608,2.332476,1.030933,-0.146044,-1.228675,-1.525772,-0.913638,0.088346,1.19491,2.187971,3.155217,3.030884,2.871621,3.239145,3.101393,2.006729,0.814486,-0.34749,-1.288549,-1.219385,-1.600964,-2.307038,-2.50881,-2.337651,-1.86878,-1.51305,-1.285291,-1.432228,-1.89803,-2.456711,-2.568575,-2.197991,-1.576483,-1.071857,2
-1.477871,-0.953699,0.19435,1.322591,2.465774,3.1849,3.209967,2.669479,1.652776,0.534317,-0.549138,-1.237014,-1.448005,-0.690111,0.395955,1.421875,2.543744,3.295319,3.111448,3.316715,3.198859,2.094719,0.959115,-0.206529,-1.189487,-1.37385,-1.764415,-2.341336,-2.555627,-2.09375,-1.799902,-1.491803,-1.285402,-1.585459,-2.017063,-2.519858,-2.477826,-2.012733,-1.39695,-1.104074,2
-1.43086,-0.766783,0.364971,1.436255,2.491149,3.051775,2.957616,2.415222,1.367397,0.319679,-0.827856,-1.476267,-1.2801,-0.289934,0.830774,2.020822,3.066247,3.117603,2.914062,3.348893,3.129527,2.031339,0.851758,-0.26407,-1.177232,-1.193841,-1.62436,-2.07277,-2.57468,-2.50552,-1.971703,-1.603177,-1.223251,-1.343967,-1.812002,-2.316382,-2.634499,-2.361029,-1.776284,-1.188523,2
-1.599424,-0.893559,0.249156,1.380356,2.636622,3.162219,3.087348,2.552697,1.381943,0.323129,-0.921534,-1.677445,-1.402666,-0.296701,0.833124,2.017365,3.0745,3.174658,3.045192,3.390341,2.917466,1.829378,0.729866,-0.430576,-1.397961,-1.209871,-1.566599,-2.176673,-2.402388,-2.209576,-1.872627,-1.541907,-1.267572,-1.381544,-1.808405,-2.319774,-2.529351,-2.166739,-1.61241,-1.100059,2
-1.374902,-0.709245,0.329907,1.381799,2.333673,3.056861,3.054781,2.297962,1.311521,0.383132,-0.662995,-1.394284,-1.235863,-0.252916,0.886828,2.091728,3.118462,3.149376,3.03277,3.386681,3.039875,1.97558,0.848557,-0.286159,-1.175456,-1.324667,-1.625069,-2.1888,-2.501121,-2.266405,-1.866328,-1.583222,-1.326395,-1.366718,-1.821432,-2.323181,-2.654165,-2.437531,-1.918131,-1.384505,2
-1.597877,-0.867132,0.225041,1.246376,2.279039,3.066199,3.085552,2.888999,1.671974,0.579152,-0.58598,-1.414467,-1.361799,-0.420854,0.653157,1.817884,2.95901,3.261186,2.962716,3.237435,3.037632,1.891488,0.778122,-0.399415,-1.283913,-1.236919,-1.627292,-2.194782,-2.582006,-2.424902,-1.837095,-1.412397,-1.234213,-1.517221,-2.055028,-2.609316,-2.618623,-1.989814,-1.37125,-0.998667,2
-1.50594,-0.781877,0.416239,1.446377,2.554096,2.954669,2.882692,2.380873,1.317392,0.23662,-0.929487,-1.54694,-1.180675,-0.122843,0.989281,2.210114,3.00598,2.982685,2.95519,3.372075,3.104008,1.991219,0.846619,-0.39316,-1.240684,-1.101259,-1.505296,-2.20566,-2.632093,-2.569325,-2.0424,-1.480018,-1.118879,-1.287715,-1.790979,-2.381992,-2.798449,-2.359881,-1.644132,-1.026445,2
-1.559521,-0.889005,0.303407,1.397276,2.629227,3.085115,3.086062,2.650486,1.508775,0.414436,-0.820756,-1.588391,-1.53908,-0.559549,0.648579,1.782605,2.908595,3.222635,2.957636,3.280307,3.073748,2.020783,0.838661,-0.286472,-1.300632,-1.176139,-1.606949,-2.161672,-2.605578,-2.384672,-1.831534,-1.476683,-1.199131,-1.404435,-1.880243,-2.373861,-2.541499,-2.097493,-1.506846,-1.018191,2
-1.578709,-0.971639,0.220522,1.41109,2.626791,3.107728,3.10433,2.719323,1.612407,0.629059,-0.597544,-1.454527,-1.48907,-0.497324,0.608811,1.741609,2.87758,3.218308,2.952855,3.127157,2.984054,1.951758,0.790453,-0.343186,-1.326244,-1.13012,-1.596605,-2.260574,-2.697455,-2.360813,-1.813108,-1.344898,-1.176574,-1.476923,-1.948157,-2.545975,-2.669115,-2.149656,-1.392831,-0.862788,2
-1.711743,-0.951038,0.315144,1.60845,2.882367,3.190326,3.106239,2.828283,1.738612,0.563249,-0.620999,-1.576349,-1.602003,-0.721393,0.359481,1.583506,2.80302,3.155055,2.874289,3.249872,2.965197,1.860716,0.727884,-0.467776,-1.396235,-1.219339,-1.636136,-2.26571,-2.517273,-2.170606,-1.760646,-1.336927,-1.172556,-1.497213,-1.984787,-2.487186,-2.493686,-2.005485,-1.285802,-0.930802,2
-1.666827,-0.895786,0.314044,1.416746,2.588895,3.191311,3.181109,2.756314,1.538727,0.410201,-0.721261,-1.586164,-1.490364,-0.491261,0.632607,1.753532,2.887046,3.222237,3.056957,3.331899,2.910557,1.79746,0.698887,-0.449949,-1.340842,-1.13452,-1.482383,-2.091898,-2.532339,-2.405569,-1.881866,-1.476284,-1.173205,-1.222208,-1.71912,-2.272085,-2.629619,-2.258499,-1.660581,-1.105897,2
-1.80302,-0.971758,0.282805,1.47183,2.724913,3.003237,2.89672,2.422362,1.245061,0.092768,-1.148236,-1.806715,-1.415013,-0.299807,0.881428,2.037534,3.078905,3.209766,2.850699,3.155055,3.200036,2.111865,0.883767,-0.359106,-1.449212,-1.16686,-1.784913,-2.467742,-2.627764,-2.10177,-1.547392,-1.07978,-1.113639,-1.598585,-2.199067,-2.789784,-2.387305,-1.621652,-1.071872,-0.73776,2
-1.667331,-0.864884,0.368686,1.433221,2.68661,3.023714,2.99277,2.70084,1.479062,0.368257,-0.790751,-1.628597,-1.412421,-0.313444,0.862127,2.038453,2.993518,2.986654,2.891707,3.145746,3.056842,2.024183,0.871238,-0.298167,-1.363132,-1.206983,-1.70165,-2.101789,-2.637481,-2.467236,-1.918307,-1.563652,-1.305536,-1.176179,-1.583219,-2.152162,-2.624279,-2.324443,-1.741106,-1.080879,2
-1.599356,-0.968338,0.256003,1.434218,2.734058,3.116939,3.102199,2.858367,1.739727,0.634754,-0.581088,-1.577211,-1.606725,-0.682252,0.446548,1.675538,2.77243,3.015504,2.812447,3.256796,3.109005,1.958527,0.757666,-0.440882,-1.29895,-1.109741,-1.658301,-2.321902,-2.569665,-2.419538,-1.883981,-1.352991,-1.137207,-1.46827,-2.050736,-2.603441,-2.565121,-1.926051,-1.141569,-0.717407,2
-1.776961,-1.039686,0.090073,1.290839,2.527751,3.231597,3.136353,2.635203,1.477796,0.335667,-0.814207,-1.67867,-1.513655,-0.458735,0.695186,1.848444,2.992624,3.396822,3.026086,3.330222,2.954852,1.855949,0.7374,-0.43754,-1.453785,-1.169352,-1.579802,-2.201114,-2.543294,-2.205526,-1.784339,-1.283478,-1.139169,-1.486313,-1.93016,-2.459532,-2.429613,-1.927322,-1.366109,-0.8845,3
-1.940557,-1.060661,0.350517,1.498269,2.83467,3.060427,2.874144,3.166497,2.215157,1.218553,-0.138248,-1.373245,-2.0324,-1.343819,-0.159119,1.092316,2.354446,3.04008,2.709261,2.946503,3.205418,2.229051,0.874258,-0.400744,-1.552381,-0.943069,-1.493229,-2.287615,-2.599436,-2.399382,-1.746401,-1.032479,-0.937078,-1.159134,-1.542747,-2.206873,-2.743109,-2.292661,-1.451434,-0.833744,3
-1.398661,-0.795568,0.274219,1.440291,2.341214,2.928128,2.87566,2.180849,1.320432,0.525806,-0.593231,-1.245105,-1.088651,-0.127858,1.043759,2.244434,3.236636,3.028883,2.823648,3.335109,3.180785,2.135477,0.980575,-0.173485,-1.099012,-1.673098,-2.020277,-2.223418,-2.325918,-2.208204,-1.975788,-1.861564,-1.43004,-1.613159,-2.041069,-2.414403,-2.454297,-2.160149,-1.584901,-1.388049,1
-1.367009,-0.813574,0.216567,1.212007,2.308605,3.023208,3.034256,2.675687,1.607648,0.588203,-0.566527,-1.288113,-1.195064,-0.281791,0.841225,2.00859,2.968014,3.317262,2.933692,3.137176,3.067652,1.974297,0.883241,-0.331531,-1.186854,-1.343378,-1.621271,-2.035747,-2.535464,-2.530217,-2.06623,-1.746131,-1.431393,-1.382697,-1.744829,-2.213525,-2.597646,-2.360489,-1.82413,-1.333718,1
-1.548411,-0.877114,0.368574,1.471841,2.412062,3.054086,2.810125,1.893605,0.952849,-0.155148,-1.213154,-1.472645,-0.849045,0.290678,1.438191,2.724884,3.482847,3.058203,3.0348,3.359643,2.956353,1.789202,0.668701,-0.395784,-1.250669,-1.466543,-1.748449,-2.30708,-2.389385,-2.05552,-1.838873,-1.571165,-1.218038,-1.284622,-1.829166,-2.216172,-2.537785,-2.351932,-1.837317,-1.352628,1
-1.517389,-0.711538,0.375523,1.375257,2.256835,2.959363,3.011721,2.277656,1.360646,0.347004,-0.794147,-1.506583,-1.169785,-0.066271,0.949333,2.147724,3.152322,3.278361,3.00732,3.359065,3.116123,1.971353,0.785372,-0.370927,-1.250114,-1.313596,-1.679726,-2.129524,-2.411369,-2.402354,-2.038542,-1.697255,-1.375406,-1.411141,-1.771842,-2.240144,-2.554867,-2.333706,-1.753879,-1.230871,1
-1.537744,-0.877234,0.197909,1.320605,2.319181,3.110525,3.111403,2.321475,1.354862,0.228799,-0.840817,-1.486606,-1.211622,-0.220058,0.924166,2.0462,3.069071,3.267728,3.093566,3.439316,3.10888,1.963405,0.803054,-0.359106,-1.281142,-1.368053,-1.707092,-2.14842,-2.350491,-2.229031,-1.905437,-1.646957,-1.373845,-1.51824,-1.918554,-2.36951,-2.488603,-2.080308,-1.565148,-1.196129,2
-1.553718,-0.818556,0.333659,1.469653,2.585605,3.162451,3.121208,2.519689,1.452794,0.404025,-0.669988,-1.452534,-1.413821,-0.534641,0.570368,1.678738,2.876645,3.331395,2.977976,3.286823,3.134334,2.04287,0.873224,-0.276997,-1.290073,-1.419002,-1.721214,-2.18432,-2.458077,-2.200168,-1.806256,-1.50327,-1.307715,-1.463769,-1.892586,-2.314856,-2.486864,-2.131347,-1.649482,-1.272205,2
-1.508651,-0.862485,0.279473,1.478436,2.642057,3.094819,3.049524,2.332133,1.205201,0.093801,-0.912225,-1.591866,-1.385049,-0.308988,0.816709,1.945315,3.051575,3.253984,3.136652,3.408357,3.060136,1.940633,0.874652,-0.29935,-1.228313,-1.364144,-1.617281,-2.090238,-2.459418,-2.26832,-1.786907,-1.559089,-1.357459,-1.371877,-1.766591,-2.276653,-2.492258,-2.205407,-1.710246,-1.240643,2
-1.598859,-0.800169,0.358137,1.452769,2.593839,3.132611,2.942545,2.305827,1.28242,0.125283,-0.945613,-1.671199,-1.344898,-0.27538,0.910287,2.058259,3.070973,3.163027,3.018986,3.48045,3.090753,1.894386,0.746913,-0.410817,-1.331715,-1.1897,-1.600998,-2.206126,-2.53241,-2.287368,-1.948951,-1.602605,-1.230362,-1.284292,-1.748699,-2.281722,-2.612941,-2.221061,-1.551225,-0.950355,2
-1.58074,-0.890927,0.200291,1.351611,2.627637,3.195107,3.166232,2.742045,1.721286,0.779411,-0.459532,-1.373572,-1.504119,-0.650829,0.453644,1.647851,2.685697,3.173864,3.066618,3.158711,2.924544,1.918234,0.751432,-0.355851,-1.276747,-1.026593,-1.523678,-2.166735,-2.731696,-2.501757,-1.840123,-1.350037,-1.08448,-1.316581,-1.82568,-2.423825,-2.752304,-2.293387,-1.609901,-1.025121,2
-1.526808,-0.809906,0.232706,1.400357,2.512483,3.186883,3.016243,2.382634,1.331375,0.250663,-0.838529,-1.546784,-1.301046,-0.285045,0.889155,2.137426,3.127899,3.146771,3.116891,3.440423,2.999225,1.784168,0.640991,-0.457414,-1.286722,-1.284017,-1.628053,-2.150982,-2.568417,-2.32505,-2.007694,-1.596414,-1.244098,-1.315267,-1.773817,-2.278673,-2.541591,-2.158243,-1.567558,-1.104168,2
-1.778196,-1.033701,0.153253,1.398184,2.621822,3.110977,3.207368,2.806146,1.901239,0.70709,-0.422038,-1.382176,-1.699371,-0.992263,0.078691,1.227422,2.368519,3.307818,3.135685,3.253265,3.194734,2.050009,0.864383,-0.3581,-1.406875,-1.02067,-1.479587,-2.142825,-2.568298,-2.434431,-1.793946,-1.196273,-1.071579,-1.32274,-1.836826,-2.440673,-2.61711,-2.054765,-1.411649,-0.922514,2
-1.781118,-0.93736,0.376238,1.471418,2.741555,3.031564,3.193165,3.394541,2.515337,1.499874,0.241388,-0.873806,-1.74612,-1.488866,-0.475432,0.811249,1.998242,2.96475,2.938569,3.069414,2.977814,1.856149,0.676798,-0.541314,-1.513257,-1.07005,-1.547618,-2.294253,-2.499157,-2.29124,-1.675995,-1.188549,-1.082431,-1.179037,-1.71662,-2.275868,-2.705122,-2.290478,-1.605676,-0.978701,2
