@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute target {1,2,3}

@data
-0.837099,1.551346,-0.838054,1.619976,1.750872,-0.782632,-1.275539,-1.302156,-0.448869,2
-0.82985,1.5985,-0.766803,1.570209,1.540346,-0.74747,-1.406532,-1.389199,-0.468249,2
-0.802872,1.553584,-0.802524,1.505307,1.775736,-0.579697,-1.275356,-1.264811,-0.520926,2
-0.927326,1.650519,-0.872606,1.677498,1.700327,-0.828523,-1.314273,-1.327434,-0.431874,2
-0.928921,1.750563,-0.866198,1.380524,1.579104,-0.885932,-1.21027,-1.345032,-0.454291,2
-0.898272,1.45043,1.627222,-0.85999,1.538826,1.690362,-0.805569,-1.291341,-0.426072,2
-0.863506,1.652799,1.607369,-0.886891,1.579951,1.541853,-0.800716,-1.395468,-0.477044,2
-0.922399,1.581338,1.470547,-0.899944,1.522403,1.76374,-0.808957,-1.291731,-0.503828,2
-0.714552,1.546463,-0.673764,1.582272,1.477173,-0.655161,-1.300185,-1.278129,-0.626338,1
-0.67199,1.508409,-0.712086,1.544044,1.665723,-0.471655,-1.352092,-1.393714,-0.553151,1
-0.743056,1.50151,-0.719123,1.469562,1.743554,-0.551235,-1.261318,-1.272369,-0.64253,1
-0.701291,1.552256,-0.628162,1.558341,1.669804,-0.643402,-1.217816,-1.296968,-0.704886,1
-0.799489,1.578596,1.359178,-0.834699,1.583729,1.719743,-0.613099,-1.255829,-0.548736,1
-0.846316,1.414138,-0.818646,1.567776,1.817468,-0.607376,-1.190255,-1.31826,-0.567069,1
-0.839345,1.510979,-0.780085,1.692665,1.779769,-0.767514,-1.225061,-1.291303,-0.599508,2
-0.898937,1.483625,-0.908683,1.553302,1.790334,-0.658997,-1.215219,-1.317889,-0.33362,2
-0.879252,1.597895,-0.840868,1.540338,1.668157,-0.884257,-1.34949,-1.323981,-0.391981,2
-0.954273,1.467252,1.369034,-0.957023,1.616901,1.781193,-0.862734,-1.312037,-0.448664,2
-0.724206,1.475853,1.378843,-0.807886,1.510412,1.718256,-0.707247,-1.218625,-0.697497,1
-0.738226,1.501375,-0.688543,1.560919,1.656471,-0.510312,-1.275462,-1.311449,-0.569879,1
-0.710434,1.511839,-0.680105,1.474229,1.657909,-0.481139,-1.324256,-1.311966,-0.573833,2
-0.723104,1.491723,-0.677427,1.608984,1.736926,-0.485946,-1.105362,-1.291684,-0.584504,2
-0.800133,1.531225,-0.777825,1.502461,1.617298,-0.610047,-1.39149,-1.390796,-0.489347,2
-0.886055,1.530598,-0.872154,1.495202,1.727949,-0.823212,-1.352566,-1.282516,-0.415104,2
-0.73834,1.575125,-0.713457,1.560796,1.640714,-1.271062,-0.66809,-1.354323,-0.448095,2
-0.908302,1.471229,1.501801,-0.836857,1.515627,1.756697,-0.713596,-1.326417,-0.414944,2
-0.887695,1.602003,-0.892325,1.561636,1.739768,-0.81798,-1.272993,-1.30515,-0.494602,2
-0.849479,1.544949,-0.820754,1.433417,1.643855,-1.413285,-0.484558,-1.457203,-0.333232,2
-0.827767,1.467677,1.366659,-0.832771,1.462617,1.694826,-1.252847,-1.41768,-0.410615,2
-1.006997,1.550898,1.646183,-0.955564,1.520535,1.43129,-0.912971,-1.412425,-0.400449,3
-0.91264,1.605611,-0.895277,1.494207,1.615825,-1.447207,-0.391767,-1.483427,-0.284146,3
-0.770131,1.525617,-0.800104,1.529622,1.732778,-0.58491,-1.237345,-1.326613,-0.522584,2
-0.781451,1.463788,1.383889,-0.776868,1.504579,1.737129,-0.522997,-1.247791,-0.56526,2
-0.740488,1.56161,-0.70957,1.623402,1.609988,-0.563182,-1.246735,-1.279424,-0.65222,1
-0.670716,1.481333,-0.616932,1.588418,1.627222,-1.177204,-0.639162,-1.346157,-0.581528,1
-0.736454,1.399132,-0.711843,1.617411,1.678682,-0.684629,-1.251567,-1.359136,-0.500534,2
-0.910485,1.54015,-0.865065,1.499321,1.661214,-1.363968,-0.51469,-1.462708,-0.311481,2
-0.916939,1.572729,1.442749,-0.91916,1.481562,1.646385,-0.860235,-1.323941,-0.389291,2
-0.950515,1.462481,1.564576,-0.947384,1.483618,1.708146,-0.944832,-1.3763,-0.515856,3
-0.831697,1.538645,-0.782594,1.629418,1.725501,-0.661605,-1.218102,-1.322729,-0.554877,1
-0.745844,1.530969,-0.769336,1.678196,1.711415,-0.521628,-1.254229,-1.29288,-0.584797,1
-0.90159,1.48505,1.294087,-0.92487,1.504105,1.795313,-0.82274,-1.242361,-0.464696,2
-0.8777,1.645251,1.589733,-0.851228,1.414946,1.801039,-0.861023,-1.264954,-0.552908,2
-0.930036,1.606168,-0.891719,1.593704,1.600125,-1.397145,-0.422512,-1.459196,-0.467287,2
-0.819547,1.653667,1.538685,-0.783791,1.511021,1.669475,-0.752872,-1.277218,-0.438373,2
-0.891158,1.641903,-0.883105,1.612905,1.669137,-0.80242,-1.302815,-1.330475,-0.469334,2
-0.845314,1.654242,1.620494,-0.892901,1.576087,1.573181,-0.840421,-1.386205,-0.403802,2
-0.958065,1.628887,-0.977271,1.453493,1.733333,-0.868427,-1.326324,-1.354205,-0.483487,2
-0.789718,1.530978,-0.656242,1.740152,1.661037,-0.782226,-1.218495,-1.200095,-0.493518,1
-0.701977,1.445551,-0.751907,1.668808,1.771477,-0.514775,-1.163358,-1.276389,-0.624515,1
-0.73915,1.627971,-0.757234,1.534051,1.702692,-0.728876,-1.29704,-1.339699,-0.375223,1
-0.784702,1.431619,-0.746299,1.737888,1.719709,-0.621872,-1.273167,-1.379955,-0.45379,2
-0.881278,1.423421,-0.878177,1.654443,1.725461,-0.809298,-1.180302,-1.358372,-0.492349,2
-0.811402,1.408761,1.164258,-0.789512,1.489033,1.849605,-0.759096,-1.235628,-0.616234,2
-0.880998,1.488773,1.307152,-0.829814,1.595302,1.681023,-0.81025,-1.384929,-0.511967,2
-0.845418,1.516031,1.330099,-0.83561,1.586125,1.790036,-0.775552,-1.233536,-0.60307,1
-0.686322,1.626208,-0.701885,1.461451,1.633854,-1.155359,-0.667553,-1.241242,-0.642691,1
-0.921095,1.61002,1.23522,-0.889577,1.544875,1.740655,-0.813977,-1.302686,-0.462955,2
-0.763658,1.51239,1.297397,-0.747852,1.539662,1.672312,-0.685472,-1.308022,-0.644962,1
-0.866982,1.547273,-0.851466,1.646971,1.82634,-0.786982,-0.613446,-1.196932,-0.611135,2
-0.832991,1.507939,-0.79072,1.696849,1.793757,-0.756691,-0.724822,-1.239154,-0.59234,1
-0.827335,1.623506,-0.813652,1.544076,1.679692,-0.631671,-1.182686,-1.267432,-0.505392,2
-0.797506,1.626958,1.384527,-0.836054,1.587244,1.673784,-0.585522,-1.276997,-0.55794,2
-0.720533,1.500277,-0.712415,1.475632,1.713958,-0.556024,-1.217304,-1.25679,-0.580727,1
-0.789313,1.477474,-0.811413,1.428468,1.714813,-0.513201,-1.148974,-1.280615,-0.54443,1
-0.858913,1.538736,-0.90457,1.452715,1.862054,-0.796713,-1.22604,-1.293054,-0.569568,2
-0.908548,1.494805,-0.923592,1.641896,1.703918,-0.824023,-1.320216,-1.32488,-0.45994,2
-0.850893,1.520661,1.32851,-0.871014,1.603921,1.756948,-0.76112,-1.229683,-0.574712,2
-0.694427,1.592548,-0.669038,1.489338,1.645087,-0.62818,-1.267724,-1.267409,-0.58999,1
-0.728322,1.503203,-0.775785,1.560015,1.703364,-0.681002,-1.229996,-1.364519,-0.557478,1
-0.916238,1.597654,-0.898906,1.494891,1.689873,-0.835158,-1.314466,-1.345403,-0.31463,2
-0.805538,1.488128,1.362334,-0.828447,1.552401,1.679572,-0.539489,-1.182964,-0.586731,2
-0.806454,1.516754,-0.692931,1.435098,1.717669,-0.732534,-1.300105,-1.344177,-0.538216,2
-0.808042,1.536322,-0.704684,1.719213,1.70456,-0.606455,-1.249068,-1.267919,-0.539241,1
-0.899399,1.615694,1.287733,-0.868278,1.5377,1.670001,-0.84798,-1.256112,-0.58644,2
-0.80964,1.603033,-0.757369,1.587544,1.683616,-0.815522,-0.703569,-1.260369,-0.518482,2
-0.821888,1.486145,1.472265,-0.841815,1.637124,1.782018,-0.759177,-1.120517,-0.608407,2
-0.841416,1.541786,-0.722818,1.721531,1.640356,-0.565516,-1.147999,-1.244047,-0.579963,1
-0.726079,1.480997,1.310745,-0.698862,1.520119,1.682644,-0.537932,-1.215416,-0.654259,1
-0.810579,1.56502,-0.810844,1.37902,1.680499,-0.700015,-1.372963,-1.347593,-0.533519,2
-0.801058,1.564015,-0.746148,1.642489,1.643376,-0.746902,-1.276405,-1.323179,-0.554396,2
-0.869094,1.541864,-0.828993,1.588019,1.779498,-0.786196,-1.189146,-1.239758,-0.593621,2
-0.739902,1.502434,1.239098,-0.764166,1.5873,1.789919,-0.513962,-1.221888,-0.673504,2
-0.802755,1.534124,1.428575,-0.778967,1.370642,1.651577,-0.734962,-1.324588,-0.498389,2
-0.89505,1.574867,-0.863176,1.503865,1.665802,-0.808957,-1.354625,-1.34818,-0.433542,2
-0.773273,1.608206,-0.745211,1.489533,1.595197,-0.711255,-1.313833,-1.358974,-0.556077,1
-0.748772,1.606496,-0.746247,1.489979,1.615799,-0.525619,-1.259207,-1.276662,-0.5802,2
-0.860331,1.54291,-0.867048,1.471052,1.787381,-0.800443,-1.198334,-1.272845,-0.539589,2
-0.826887,1.568679,1.450497,-0.865166,1.4038,1.725679,-0.600553,-1.313006,-0.587351,2
-0.857242,1.582751,-0.774171,1.648252,1.712723,-0.812091,-1.264742,-1.301223,-0.609038,2
-0.70662,1.513994,1.456767,-0.746868,1.563147,1.73554,-0.515207,-1.200107,-0.699662,1
-0.794521,1.512788,1.371123,-0.785996,1.571975,1.66706,-0.748154,-1.267216,-0.662364,1
-0.716558,1.515427,-0.771339,1.44413,1.734837,-0.65388,-1.123572,-1.33264,-0.547631,2
-0.839567,1.514269,-0.830827,1.655542,1.69893,-0.782471,-1.279548,-1.33909,-0.474457,2
-0.95875,1.653087,-0.914414,1.540069,1.673138,-0.869552,-1.32944,-1.370859,-0.384427,2
-0.729934,1.516623,-0.652368,1.461426,1.6979,-0.465281,-1.208953,-1.287065,-0.588021,1
-0.687125,1.417441,-0.734174,1.563591,1.764655,-0.562826,-1.216985,-1.319224,-0.470274,1
-0.857996,1.552779,1.361165,-0.851785,1.598103,1.671349,-0.770384,-1.069035,-0.699485,1
-0.803878,1.454789,-0.801247,1.587037,1.773031,-0.72308,-1.178453,-1.276602,-0.552452,2
-0.834194,1.488749,-0.763002,1.625666,1.739686,-0.736203,-1.243474,-1.333197,-0.560967,2
-0.788717,1.539887,-0.791545,1.530919,1.752113,-0.577433,-1.114046,-1.264295,-0.540368,1
-0.771598,1.523561,-0.737697,1.53992,1.699848,-0.511128,-1.283499,-1.344858,-0.528111,2
-0.912063,1.526297,-0.887351,1.569687,1.721053,-0.818675,-0.582998,-1.301953,-0.514148,1
-0.859386,1.578348,-0.816767,1.44076,1.646842,-0.763515,-1.24265,-1.327129,-0.490081,2
-0.927373,1.461672,1.279782,-0.906485,1.679618,1.759384,-0.82537,-1.236425,-0.535393,2
-0.74712,1.450178,1.249771,-0.715034,1.63249,1.69218,-0.687619,-1.269017,-0.610022,1
-0.760905,1.429227,-0.695499,1.56854,1.736733,-0.688961,-1.433206,-1.430372,-0.587884,1
-0.890127,1.633901,1.560622,-0.898319,1.491836,1.68696,-0.832282,-1.276037,-0.45688,3
-0.758587,1.547921,-0.718929,1.529732,1.654363,-0.686997,-1.204295,-1.238257,-0.600429,1
-0.799713,1.45466,-0.801042,1.472926,1.751909,-0.559921,-1.173279,-1.287719,-0.56794,2
-0.980982,1.533651,1.671375,-0.950925,1.373507,1.649629,-0.890761,-1.376402,-0.443757,3
-0.668357,1.574751,-0.664249,1.567904,1.679231,-0.460715,-1.280663,-1.273448,-0.595931,1
-0.800074,1.395692,1.336062,-0.844709,1.603963,1.751515,-0.555655,-1.060728,-0.580095,2
-0.596305,1.465948,-0.681027,1.590732,1.69739,-0.699679,-1.28769,-1.340703,-0.75595,1
-0.706772,1.531456,-0.709207,1.605562,1.690403,-0.709914,-1.174735,-1.247832,-0.655997,1
-0.785467,1.570546,1.448125,-0.862322,1.51469,1.680159,-0.584155,-1.256632,-0.527732,2
-0.840028,1.546203,-0.836452,1.560646,1.543385,-0.761225,-1.414807,-1.408589,-0.420388,3
-0.713351,1.486857,-0.735746,1.648006,1.683038,-0.667633,-1.263796,-1.277209,-0.706194,1
-0.639154,1.591691,-0.707623,1.592627,1.614381,-0.433773,-1.253446,-1.257025,-0.609493,1
-0.809334,1.601625,-0.82559,1.484068,1.679929,-0.556558,-1.177902,-1.389895,-0.370509,2
-0.935389,1.407144,-0.870073,1.731545,1.735898,-0.647863,-1.346891,-1.415354,-0.409588,2
-0.773206,1.494013,-0.739364,1.633747,1.681126,-0.591726,-1.249724,-1.304483,-0.59308,1
-0.856823,1.555,-0.826431,1.533932,1.73349,-0.789055,-1.143285,-1.261401,-0.460028,2
-0.81822,1.533139,-0.85703,1.659722,1.699716,-0.75619,-1.272269,-1.31533,-0.500306,2
-0.887751,1.55316,-0.837851,1.432186,1.683988,-0.811392,-1.337661,-1.398903,-0.394021,2
-0.972542,1.591541,-0.967653,1.496104,1.704063,-0.883625,-1.286366,-1.313014,-0.406595,2
-0.91708,1.506327,1.575932,-0.896885,1.644362,1.720437,-0.848985,-1.297754,-0.461194,2
-0.731328,1.470194,-0.684074,1.795918,1.728104,-0.482666,-1.039697,-1.180073,-0.703956,1
-0.762457,1.529385,-0.786034,1.498972,1.654418,-0.707427,-1.319773,-1.290384,-0.679093,1
-0.852767,1.691562,-0.769067,1.585688,-0.787193,-1.349802,-0.563145,-1.397497,-0.465639,2
-0.866939,1.621398,-0.79234,1.525342,1.727525,-0.801714,-1.283369,-1.341088,-0.475452,2
-0.858025,1.501495,1.448322,-0.87303,1.509423,1.76369,-0.830394,-1.200657,-0.433602,2
-0.786421,1.620235,-0.792849,1.641411,1.653868,-0.526199,-1.205793,-1.342459,-0.633502,1
-0.711134,1.460471,-0.712424,1.596762,1.754647,-0.47397,-1.214656,-1.30656,-0.602326,1
-0.840589,1.496537,1.426203,-0.809687,1.702686,1.764531,-0.761464,-1.253756,-0.614391,2
-0.754224,1.505709,-0.703534,1.469153,1.722471,-0.518746,-1.174025,-1.282723,-0.574121,1
-0.928621,1.642107,-0.98381,1.746601,-0.838962,-1.349277,-0.597145,-1.309812,-0.329863,2
-0.7893,1.499032,-0.807263,1.618431,1.719526,-0.803432,-1.14356,-1.307413,-0.549332,1
-0.822433,1.564655,-0.858184,1.583687,1.65851,-1.276945,-0.525682,-1.351057,-0.517304,2
-0.910161,1.641237,-0.945282,1.508123,1.821779,-0.650932,-1.322599,-1.288469,-0.378727,3
-0.875259,1.596377,-0.911433,1.527238,1.705554,-0.797142,-1.319335,-1.311844,-0.508804,2
-0.79364,1.482516,-0.679307,1.637042,1.698411,-0.537193,-1.308429,-1.324302,-0.63118,1
-0.759068,1.485195,1.409563,-0.749871,1.538955,1.807751,-0.844582,-1.136057,-0.818282,1
-0.708531,1.549402,-0.697267,1.606006,1.728552,-0.462108,-1.314013,-1.315969,-0.584315,1
-0.82231,1.506835,-0.861707,1.573079,1.775309,-0.815768,-0.655815,-1.303182,-0.549536,2
-0.867863,1.57895,-0.779954,1.684071,1.705979,-0.797312,-1.264821,-1.277897,-0.530046,1
-0.703917,1.541081,-0.727464,1.526184,1.697021,-0.636543,-1.236006,-1.290772,-0.513714,1
-0.839077,1.595711,-0.81065,1.538102,1.675608,-0.833788,-0.587561,-1.276779,-0.55207,2
-0.89738,1.617477,1.57295,-0.87562,1.414386,1.641654,-0.822551,-1.348229,-0.44643,2
-0.896435,1.599502,-0.849735,1.502226,1.712429,-0.836504,-1.231213,-1.294071,-0.517963,2
-0.822531,1.614761,-0.813399,1.508284,1.660611,-0.793354,-1.285935,-1.32863,-0.455392,2
-0.856049,1.602526,1.433025,-0.902474,1.357851,1.727213,-0.805254,-1.309428,-0.540965,2
-0.896042,1.626026,-0.898764,1.479141,1.75149,-0.837852,-1.288411,-1.402867,-0.470624,3
-0.895692,1.587911,-0.914452,1.313802,1.693698,-1.413198,-0.333873,-1.4461,-0.412406,3
-0.889126,1.616725,-0.879579,1.506054,1.683649,-0.811058,-1.332376,-1.366176,-0.437894,3
-0.607056,1.517388,-0.628208,1.516822,1.603753,-0.44956,-1.259779,-1.248959,-0.723578,1
-0.848778,1.557881,-0.875797,1.425351,1.658513,-0.604793,-1.372596,-1.46909,-0.422346,2
-0.917114,1.627689,1.592485,-0.872533,1.569448,1.675223,-0.830255,-1.259783,-0.434487,2
-0.936633,1.547191,-0.858967,1.44227,1.691502,-0.858931,-0.561443,-1.285134,-0.415312,3
-0.900747,1.555181,-0.888357,1.482121,1.766264,-0.801702,-1.303896,-1.383584,-0.274258,2
-0.925613,1.641611,1.450654,-0.941166,1.35526,1.598854,-0.850696,-1.329352,-0.506785,2
-0.863178,1.609923,1.549534,-0.828156,1.527255,1.639824,-0.590315,-1.269541,-0.525216,2
-0.913865,1.688414,-0.929419,1.393252,1.59875,-0.843523,-1.378697,-1.378911,-0.448467,2
-0.858087,1.551279,-0.830084,1.5317,1.757879,-0.662398,-1.283205,-1.321757,-0.477111,2
-0.88261,1.602293,-0.854149,1.398643,1.66969,-0.784145,-1.301609,-1.294254,-0.408185,2
-0.768179,1.500342,1.336955,-0.78692,1.589845,1.727002,-0.531487,-1.125829,-0.701442,2
-0.934568,1.672696,-0.948324,1.316857,1.737457,-0.880165,-0.533104,-1.269758,-0.482308,3
-0.762754,1.571609,-0.75365,1.574782,1.717081,-0.70415,-1.200806,-1.264701,-0.567953,1
-0.643814,1.486717,-0.665903,1.492381,1.699514,-0.424706,-1.177856,-1.288896,-0.667144,1
-0.88554,1.643881,-0.861908,1.445766,1.57924,-0.804811,-1.421748,-0.465679,-0.494082,3
-0.720682,1.530893,-0.746122,1.577745,1.768307,-0.508684,-1.136278,-1.267217,-0.660309,1
-0.766003,1.423049,1.347218,-0.778295,1.532405,1.775662,-0.337919,-1.269039,-0.657944,2
-0.634645,1.436577,-0.63335,1.549935,1.733316,-0.262837,-1.147608,-1.254098,-0.658664,1
-0.721464,1.572528,-0.665363,1.620736,1.696121,-0.567244,-1.139933,-1.249773,-0.649506,1
-0.792907,1.562284,-0.751198,1.472311,1.716343,-0.619872,-1.125054,-1.266578,-0.582568,2
-0.818143,1.507947,-0.794873,1.734441,1.812247,-0.722104,-1.289175,-1.306168,-0.50697,1
-0.954764,1.529814,1.563091,-0.96968,1.486553,1.665077,-0.851094,-1.281921,-0.357687,2
-0.65711,1.429595,-0.708641,1.509901,1.720356,-0.324384,-1.260575,-1.294945,-0.664083,1
-0.590474,1.540231,1.548601,-0.562416,1.595678,1.366045,-0.504898,-1.033011,-1.033011,3
-0.540776,1.286906,1.472328,-0.546089,1.611529,1.574056,-0.462374,-1.045713,-1.045713,3
-0.586624,1.38402,1.571637,-0.569719,1.59499,1.549993,-0.500573,-1.030402,-1.030402,2
-0.524313,1.581989,1.503276,-0.542518,1.481907,1.501224,-0.460207,-1.054299,-1.054299,2
-0.585717,1.384154,1.489922,-0.579457,1.597792,1.529383,-0.516195,-1.038475,-1.038475,3
-0.559587,1.506205,1.537937,-0.559826,1.57043,1.51892,-0.495677,-1.042781,-1.042781,3
-0.650352,1.481096,1.37109,-0.61567,1.519581,1.641053,1.546146,-1.019865,-1.019865,3
-0.5888,1.354644,1.530946,-0.584614,1.630639,1.370359,-0.515603,-1.047912,-1.047912,3
-0.597213,1.391693,1.620407,-0.484279,-0.566638,1.592256,1.548843,-1.025067,-1.025067,3
-0.681112,1.583855,1.354103,-0.522638,-0.640057,1.659388,1.485,-1.0116,-1.0116,3
-0.613071,1.359736,1.510442,-0.586667,1.626455,1.529554,-0.527005,-1.033551,-1.033551,3
-0.621629,1.560583,1.517388,-0.595603,1.349296,1.525459,-0.534835,-1.039764,-1.039764,3
-0.558369,1.435784,1.43662,-0.525298,1.457625,1.583777,-0.476973,-1.051448,-1.051448,3
-0.540121,1.508874,1.436492,-0.542211,1.56319,1.559667,-0.466431,-1.048378,-1.048378,3
-0.564435,1.469592,1.337152,-0.548055,1.495129,1.602388,-0.487893,-1.055199,-1.055199,3
-0.581492,1.45395,1.29204,-0.574796,1.627056,1.516369,-0.501688,-1.049056,-1.049056,3
-0.582091,1.459983,1.477288,-0.558297,1.476622,1.588325,-0.48838,-1.051497,-1.051497,3
-0.573858,1.431983,1.506313,-0.507115,1.589879,1.354354,-0.497373,-1.050593,-1.050593,3
-0.57305,1.408578,1.455078,-0.583354,1.626284,1.522054,-0.499112,-1.041805,-1.041805,3
-0.551815,1.528933,1.448053,-0.544704,1.623792,1.53314,-0.484695,-1.038482,-1.038482,3
-0.637833,1.462975,1.390225,-0.438475,-0.587677,1.711863,1.567782,-1.022356,-1.022356,3
-0.573397,1.546217,1.382961,-0.547458,1.579311,1.495411,-0.504424,-1.044673,-1.044673,3
-0.552958,1.478168,1.268046,-0.533201,1.46498,1.530539,-0.474185,-1.05153,-1.05153,3
-0.581656,1.538244,1.314064,-0.554479,1.611468,1.482703,-0.513286,-1.036924,-1.036924,3
-0.561358,1.297269,1.462225,-0.562401,1.622905,1.51363,-0.49572,-1.043598,-1.043598,3
-0.634915,1.445348,1.47515,-0.619163,1.657909,1.476396,-0.542176,-1.033112,-1.033112,3
-0.557495,1.455264,1.27417,-0.535579,-0.431219,1.47951,1.553095,-1.054531,-1.054531,3
-0.632703,1.4438,1.455874,-0.619123,1.495953,1.636978,1.588933,-1.024697,-1.024697,3
-0.518054,1.51504,1.535618,-0.527674,1.582973,1.523718,-0.473613,-1.047309,-1.047309,3
-0.578283,1.460876,1.444563,-0.572407,1.477926,1.52294,-0.508663,-1.050264,-1.050264,3
-0.62569,1.483641,1.336737,-0.615412,1.599834,1.591851,-0.534565,-1.029027,-1.029027,3
