@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute target {1,2,3,4,5,6}

@data
0.057303,0.054864,0.053105,0.05128,0.04806,0.041881,0.031318,3
0.051367,0.048442,0.046796,0.045995,0.043796,0.039436,0.030908,3
0.082841,0.077891,0.071498,0.062365,0.050562,0.035153,0.016256,6
0.082186,0.076956,0.070897,0.061885,0.050152,0.034972,0.016397,6
0.057366,0.053563,0.051356,0.049065,0.045566,0.040304,0.032357,3
0.084044,0.078424,0.071702,0.062476,0.049809,0.034187,0.014877,5
0.084772,0.078468,0.071053,0.060879,0.047454,0.030617,0.009993,6
0.083483,0.07821,0.071506,0.062117,0.049416,0.033107,0.013485,6
0.083357,0.07803,0.071471,0.062294,0.049748,0.03377,0.014393,6
0.071082,0.0648,0.059705,0.054229,0.047604,0.039431,0.028162,3
0.044283,0.044603,0.045812,0.047041,0.046884,0.04368,0.035268,3
0.083168,0.077783,0.071632,0.063062,0.051006,0.035459,0.016246,5
0.085569,0.078724,0.070709,0.060878,0.047564,0.03139,0.011454,6
0.082894,0.077697,0.071398,0.062265,0.050059,0.034707,0.016036,6
0.051066,0.049499,0.04934,0.048502,0.046775,0.042023,0.032508,3
0.082711,0.077187,0.070684,0.061711,0.049661,0.034307,0.015472,6
0.082665,0.07757,0.071108,0.06205,0.050306,0.034972,0.016174,6
0.085006,0.078933,0.071692,0.061669,0.048216,0.031655,0.011537,6
0.083181,0.077655,0.070976,0.061762,0.049761,0.034548,0.015735,6
0.066867,0.062784,0.059612,0.055276,0.049283,0.041703,0.030638,2
0.064688,0.060206,0.055839,0.050814,0.044926,0.037427,0.025794,2
0.084884,0.078108,0.070299,0.060053,0.046768,0.030536,0.010594,6
0.083976,0.078338,0.071431,0.061703,0.048631,0.032531,0.012594,6
0.048903,0.048428,0.049681,0.049997,0.048538,0.043967,0.033643,3
0.084261,0.078468,0.071536,0.062,0.049131,0.032883,0.012934,6
0.064431,0.059765,0.0561,0.052078,0.046498,0.039358,0.029176,3
0.083293,0.077874,0.071289,0.062134,0.049784,0.033946,0.014488,6
0.050204,0.048407,0.048326,0.048453,0.047197,0.042995,0.033166,3
0.083904,0.078313,0.071856,0.062446,0.049833,0.034502,0.01526,6
0.083535,0.078753,0.07271,0.063629,0.05095,0.034475,0.014476,6
0.067421,0.06204,0.057813,0.0525,0.045955,0.037457,0.025893,2
0.08382,0.078684,0.072198,0.062513,0.049298,0.032892,0.0127,5
0.062139,0.059174,0.05744,0.054364,0.049577,0.041789,0.03126,2
0.085049,0.078378,0.070737,0.060604,0.047706,0.031946,0.012695,6
0.072338,0.065142,0.059968,0.05485,0.048727,0.040546,0.029517,2
0.073512,0.067408,0.062354,0.056649,0.05049,0.042188,0.031193,2
0.085157,0.078778,0.071601,0.062373,0.049575,0.033094,0.012818,6
0.082992,0.077229,0.070587,0.062021,0.050007,0.035079,0.017008,6
0.084075,0.077923,0.070443,0.060936,0.048348,0.032686,0.01374,6
0.068738,0.063493,0.058594,0.053303,0.046527,0.037084,0.024843,1
0.085034,0.078541,0.070848,0.060349,0.047186,0.031094,0.011337,6
0.083651,0.077533,0.070342,0.060558,0.04754,0.031161,0.011744,6
0.065508,0.061177,0.057851,0.054461,0.04958,0.042728,0.03296,3
0.082303,0.077784,0.071714,0.062722,0.050174,0.033968,0.013942,6
0.081398,0.072351,0.064169,0.055906,0.046747,0.035555,0.022452,2
0.068807,0.063237,0.059111,0.054728,0.049134,0.041701,0.030862,2
0.058817,0.055104,0.052744,0.050795,0.047523,0.041942,0.032941,3
0.070699,0.064933,0.059374,0.053995,0.047445,0.038753,0.026463,2
0.077666,0.070228,0.063284,0.055321,0.046747,0.036134,0.023408,2
0.049963,0.048466,0.048897,0.049847,0.049132,0.045033,0.035571,3
0.085166,0.078509,0.070607,0.060717,0.048316,0.032294,0.012448,6
0.057237,0.05443,0.052642,0.050122,0.045739,0.039158,0.028129,2
0.066846,0.061446,0.057092,0.052242,0.047092,0.040015,0.030244,3
0.064659,0.061586,0.058953,0.056122,0.052575,0.046336,0.03663,3
0.084906,0.078285,0.07132,0.061872,0.049188,0.032799,0.012973,6
0.066437,0.061238,0.056784,0.05206,0.045541,0.036736,0.02502,2
0.075084,0.068985,0.064196,0.058159,0.050718,0.040467,0.027643,2
0.082752,0.077871,0.071512,0.062258,0.049776,0.033702,0.013918,6
0.083088,0.077839,0.071261,0.06229,0.050528,0.035455,0.017088,6
0.068219,0.06505,0.062482,0.058537,0.052781,0.044461,0.031474,2
0.061842,0.05781,0.054858,0.051991,0.047454,0.039905,0.026946,2
0.06595,0.060362,0.055555,0.051308,0.04647,0.040068,0.030322,3
0.064311,0.059837,0.056659,0.05361,0.049257,0.043038,0.034406,3
0.085132,0.078773,0.071307,0.061097,0.047522,0.030622,0.010029,6
0.066535,0.06445,0.062768,0.060117,0.055385,0.048166,0.037496,5
0.050504,0.049436,0.049805,0.049387,0.047194,0.042467,0.032629,2
0.065804,0.060365,0.056716,0.053391,0.04838,0.0403,0.02857,2
0.059698,0.055287,0.051965,0.049114,0.045654,0.040378,0.031069,3
0.065468,0.061165,0.057556,0.05444,0.049161,0.041583,0.029876,2
0.067084,0.06297,0.058576,0.054718,0.049811,0.042363,0.031986,2
0.075665,0.069505,0.063885,0.056966,0.048164,0.037667,0.024979,2
0.084246,0.077705,0.070743,0.061593,0.04931,0.033841,0.014869,6
0.08356,0.078164,0.071425,0.061848,0.04882,0.032206,0.0119,6
0.063346,0.05729,0.053339,0.049495,0.044965,0.039706,0.03167,3
0.083752,0.078177,0.071096,0.061251,0.047953,0.031661,0.011631,6
0.064674,0.060042,0.056508,0.052309,0.046474,0.037905,0.024776,2
0.054239,0.051804,0.050945,0.049561,0.046102,0.040253,0.028845,2
0.063267,0.058148,0.054437,0.051652,0.047565,0.040637,0.028756,2
0.065695,0.061116,0.057772,0.053701,0.048166,0.041214,0.031013,4
0.081532,0.07675,0.07113,0.062572,0.050977,0.035776,0.017041,6
0.06683,0.063126,0.060343,0.056531,0.051031,0.043492,0.032817,5
0.064204,0.059082,0.055621,0.051435,0.045273,0.036605,0.024273,2
0.083214,0.077726,0.070795,0.061094,0.048792,0.033046,0.013605,6
0.083752,0.077032,0.069998,0.060704,0.048784,0.034105,0.015781,6
0.055126,0.051342,0.050302,0.049274,0.047093,0.041002,0.029306,2
0.084563,0.078526,0.071329,0.061252,0.048046,0.03186,0.011922,6
0.055443,0.054036,0.053411,0.051616,0.048287,0.042295,0.031642,2
0.071795,0.065294,0.05958,0.053126,0.046557,0.037678,0.02609,1
0.058116,0.054751,0.052321,0.049671,0.045831,0.039004,0.027174,2
0.055832,0.054694,0.05466,0.053862,0.052075,0.047284,0.038405,4
0.084393,0.078424,0.07124,0.061618,0.048802,0.032921,0.01355,6
0.052627,0.051237,0.050951,0.049235,0.045856,0.039868,0.028626,3
0.051535,0.048374,0.046403,0.044462,0.04165,0.036606,0.02729,2
0.08365,0.078302,0.071573,0.062306,0.049846,0.033969,0.014398,6
0.082635,0.077986,0.071905,0.062798,0.050169,0.033683,0.013652,6
0.083633,0.07825,0.07163,0.06232,0.049619,0.033278,0.013444,6
0.064995,0.058996,0.054098,0.048922,0.04273,0.034554,0.023276,2
0.05759,0.054097,0.051914,0.048769,0.04469,0.037345,0.026591,2
0.059029,0.056102,0.054754,0.052796,0.049614,0.044704,0.035674,3
0.084717,0.078782,0.071526,0.061403,0.047812,0.03051,0.009667,6
0.083888,0.077966,0.070907,0.061212,0.048269,0.031823,0.011752,6
0.066407,0.061777,0.057886,0.052735,0.047755,0.040029,0.027566,2
0.072918,0.06664,0.060474,0.053449,0.045677,0.035185,0.022089,2
0.05586,0.052769,0.052145,0.050689,0.048139,0.043304,0.034028,3
0.084758,0.078941,0.071833,0.06226,0.049347,0.032885,0.012812,6
0.083824,0.077652,0.070774,0.061391,0.048736,0.033231,0.0139,6
0.06394,0.059335,0.055419,0.05089,0.044856,0.037413,0.027339,3
0.081849,0.077435,0.072184,0.064327,0.053821,0.040263,0.023285,6
0.08278,0.077301,0.070608,0.061458,0.049178,0.033381,0.013954,6
0.083606,0.077893,0.071324,0.061999,0.049805,0.034522,0.015667,6
0.053764,0.052278,0.051204,0.049579,0.046437,0.040699,0.03122,3
0.061918,0.059202,0.056971,0.054965,0.051163,0.044987,0.03449,2
0.060877,0.057131,0.054662,0.052028,0.047972,0.041576,0.03217,3
0.068569,0.063773,0.059406,0.05424,0.047454,0.038607,0.026456,2
0.083672,0.077566,0.070817,0.061427,0.049295,0.033496,0.013916,6
0.083864,0.078006,0.071082,0.061538,0.048684,0.032285,0.012436,6
0.056422,0.055829,0.055394,0.053778,0.050051,0.044775,0.03573,3
0.0627,0.058825,0.055693,0.052079,0.046954,0.040072,0.029732,3
0.083821,0.077599,0.070275,0.060969,0.048487,0.0329,0.013699,6
0.084634,0.078826,0.071939,0.062435,0.049481,0.032837,0.012298,6
0.063695,0.059554,0.057161,0.053903,0.049093,0.042479,0.032819,2
0.065245,0.062022,0.058918,0.054773,0.048816,0.040598,0.02853,2
0.065551,0.061803,0.058566,0.054975,0.049855,0.043253,0.034065,4
0.084565,0.078262,0.070887,0.060874,0.047737,0.031195,0.011107,6
0.08382,0.078074,0.071266,0.061812,0.049071,0.032569,0.012662,6
0.084565,0.077847,0.07005,0.059661,0.046065,0.029582,0.009784,6
0.083497,0.078093,0.071483,0.062086,0.049469,0.033417,0.013863,6
0.054784,0.053261,0.052444,0.052347,0.051103,0.047679,0.03878,3
0.053951,0.051971,0.051022,0.049522,0.046684,0.04118,0.032322,4
0.074849,0.068183,0.062387,0.056194,0.048962,0.039802,0.027994,2
0.060126,0.056649,0.054211,0.050772,0.045907,0.038697,0.027294,2
0.066929,0.062194,0.058227,0.053551,0.04775,0.039877,0.028692,2
0.06574,0.060811,0.056778,0.05213,0.04647,0.038396,0.027228,2
0.048844,0.049254,0.050283,0.052111,0.052102,0.047778,0.037789,3
0.084253,0.07806,0.070777,0.060685,0.047239,0.03098,0.011273,5
0.084488,0.077794,0.070302,0.060272,0.04718,0.030581,0.010394,6
0.056948,0.052648,0.049717,0.046468,0.041823,0.034676,0.022224,2
0.054909,0.051771,0.050011,0.047862,0.044211,0.038193,0.027903,2
0.065969,0.061912,0.058579,0.054215,0.048448,0.040432,0.028583,2
0.082371,0.077147,0.070558,0.061618,0.049446,0.033965,0.014862,6
0.083831,0.078224,0.071218,0.061366,0.047985,0.031556,0.011557,6
0.061573,0.058887,0.057102,0.054745,0.051001,0.04514,0.036627,5
0.084164,0.078253,0.071172,0.062167,0.050792,0.036354,0.018104,6
0.08323,0.077296,0.070765,0.06245,0.05087,0.035852,0.017101,6
0.054158,0.051867,0.050824,0.049518,0.046915,0.040954,0.0292,2
0.085183,0.078741,0.07104,0.060912,0.0478,0.031228,0.011091,6
0.083971,0.078028,0.070733,0.06082,0.048423,0.03255,0.012942,6
0.051653,0.049525,0.048965,0.04829,0.047156,0.043776,0.035971,3
0.086161,0.078662,0.070096,0.059816,0.046247,0.029214,0.008491,6
0.059524,0.056407,0.054472,0.052781,0.050027,0.045596,0.036206,3
0.053131,0.051307,0.050585,0.049222,0.046409,0.041565,0.031664,3
0.084618,0.078116,0.071082,0.061417,0.049147,0.033293,0.013719,6
0.055984,0.054753,0.054075,0.05303,0.048986,0.042545,0.030534,3
0.072963,0.066541,0.060949,0.054687,0.04677,0.03684,0.02356,2
0.083871,0.078311,0.071532,0.061907,0.049151,0.033478,0.014104,6
0.082813,0.077782,0.071319,0.062084,0.049455,0.033159,0.01324,6
0.077069,0.0706,0.063568,0.056608,0.048019,0.03727,0.023802,2
0.061073,0.058277,0.056404,0.054193,0.050435,0.044169,0.033384,3
0.072095,0.068065,0.064621,0.059786,0.052287,0.042295,0.027637,1
0.0626,0.058623,0.055731,0.05226,0.047412,0.04119,0.03112,5
0.056096,0.054463,0.053295,0.051627,0.047481,0.040768,0.029786,3
0.069719,0.064771,0.059876,0.054822,0.048258,0.040018,0.029284,2
0.083638,0.078109,0.071387,0.061859,0.04898,0.032821,0.013001,6
0.083595,0.078029,0.071327,0.061771,0.048918,0.032353,0.01247,6
0.072557,0.06504,0.059131,0.05263,0.044872,0.035319,0.022992,1
0.083888,0.077852,0.071414,0.062204,0.049655,0.034125,0.014807,6
0.067462,0.063496,0.059941,0.055588,0.049694,0.041178,0.029106,2
0.085004,0.078135,0.070271,0.060078,0.046755,0.030065,0.010068,5
0.083176,0.078352,0.072081,0.062725,0.049881,0.033351,0.013662,6
0.083715,0.078085,0.071133,0.061563,0.048866,0.033065,0.013595,6
0.048051,0.046951,0.047222,0.046795,0.046344,0.042959,0.034282,3
0.084275,0.078212,0.070966,0.061165,0.04806,0.031826,0.011936,6
0.084575,0.078056,0.07105,0.061245,0.048173,0.031937,0.012005,6
0.083831,0.077296,0.069561,0.059401,0.047206,0.032227,0.013674,6
0.069133,0.063452,0.058171,0.0532,0.046444,0.037611,0.025571,2
0.083632,0.07818,0.071338,0.062022,0.050004,0.034708,0.016004,6
0.085586,0.077974,0.069816,0.059724,0.047503,0.032338,0.013606,6
0.051646,0.050226,0.049899,0.048798,0.046931,0.042521,0.032493,3
0.082692,0.077698,0.071296,0.062449,0.050517,0.035832,0.018029,6
0.061014,0.05698,0.054047,0.050833,0.047221,0.041882,0.032973,4
0.061199,0.05818,0.056824,0.054542,0.050931,0.045577,0.03649,4
0.084487,0.078519,0.071482,0.061797,0.048846,0.032416,0.012354,5
0.052156,0.049184,0.048693,0.048071,0.04589,0.042076,0.033643,3
0.084131,0.077814,0.070352,0.060246,0.047431,0.03119,0.0114,6
0.079526,0.072355,0.065461,0.059598,0.05178,0.042114,0.030213,2
0.071572,0.065532,0.060232,0.053688,0.045864,0.036458,0.02458,2
0.082888,0.077636,0.071558,0.062512,0.050025,0.034413,0.014995,6
0.061989,0.05892,0.057327,0.055054,0.051178,0.045241,0.035593,5
0.084531,0.078586,0.071449,0.062219,0.049792,0.033712,0.014019,6
0.070456,0.066061,0.062452,0.057622,0.051094,0.042757,0.032025,5
0.084324,0.07887,0.072038,0.062426,0.049308,0.032703,0.01237,6
0.083546,0.077549,0.070434,0.060908,0.048633,0.033084,0.013992,6
0.08455,0.07802,0.07102,0.061419,0.048458,0.032746,0.013253,6
0.085557,0.078925,0.071085,0.06077,0.046955,0.029493,0.008403,6
0.084544,0.078382,0.070913,0.060645,0.047048,0.0307,0.010848,6
0.069537,0.064384,0.060657,0.056528,0.051253,0.043473,0.032539,2
0.084369,0.078484,0.071799,0.06233,0.04947,0.032982,0.012757,6
0.085444,0.079089,0.071454,0.061454,0.048205,0.032138,0.012447,6
0.065693,0.059284,0.053963,0.049542,0.044955,0.038235,0.028356,2
0.054875,0.052821,0.051567,0.049494,0.045647,0.039696,0.029849,2
0.074925,0.069552,0.064432,0.057618,0.049427,0.038747,0.025589,2
0.085181,0.07844,0.070748,0.060598,0.047352,0.030669,0.011011,6
0.063095,0.06002,0.057108,0.053404,0.048746,0.041388,0.029611,2
0.083801,0.078119,0.071155,0.061581,0.049153,0.033046,0.013707,6
0.085259,0.078522,0.070729,0.060747,0.047723,0.031268,0.011356,6
0.08458,0.078895,0.071759,0.062096,0.04904,0.032498,0.012399,6
0.073257,0.067818,0.062742,0.056692,0.049038,0.039316,0.027199,2
0.084857,0.078256,0.070708,0.060753,0.048183,0.032214,0.012536,6
0.066853,0.063024,0.061017,0.057393,0.05223,0.045318,0.034676,5
0.084464,0.078404,0.071204,0.061212,0.047918,0.031213,0.011022,6
0.062904,0.058093,0.053872,0.048762,0.042376,0.03375,0.02236,2
0.061889,0.056953,0.052811,0.048892,0.043873,0.037317,0.027186,2
0.083084,0.077786,0.071257,0.06183,0.049048,0.033053,0.013282,6
0.083674,0.077882,0.071066,0.061832,0.049676,0.033798,0.014411,6
0.072879,0.066152,0.060186,0.054918,0.048465,0.040743,0.03136,3
0.083422,0.077621,0.070834,0.061554,0.049236,0.033632,0.014545,6
0.059123,0.056731,0.05451,0.051399,0.04701,0.040068,0.029315,2
0.083828,0.078447,0.071897,0.062335,0.049308,0.032655,0.012522,6
0.083448,0.078211,0.071734,0.062493,0.049932,0.033836,0.01421,6
0.084423,0.078424,0.071044,0.060882,0.047253,0.030041,0.008999,6
0.045598,0.04542,0.046652,0.047389,0.046287,0.042705,0.034091,4
0.08384,0.078133,0.071303,0.061768,0.049105,0.032852,0.013115,6
0.062927,0.058585,0.055223,0.051408,0.046288,0.039008,0.029097,3
0.05432,0.052194,0.051792,0.051729,0.049855,0.044615,0.033986,3
0.072002,0.065424,0.059456,0.053015,0.045439,0.0362,0.024504,2
0.066926,0.062041,0.058137,0.053424,0.046824,0.038537,0.02648,2
0.051099,0.049315,0.048574,0.047303,0.045467,0.040717,0.030789,3
0.08396,0.078405,0.071658,0.061995,0.048857,0.032028,0.011409,6
0.069459,0.063809,0.059252,0.054528,0.048856,0.041145,0.03155,3
0.058687,0.055555,0.053694,0.051543,0.048236,0.042146,0.032127,3
0.062843,0.060363,0.058651,0.055329,0.050207,0.043585,0.033294,2
0.083926,0.078043,0.071259,0.06189,0.049103,0.033048,0.013239,6
0.062357,0.057787,0.05412,0.050717,0.046184,0.039717,0.029862,3
0.084114,0.078011,0.070918,0.061136,0.048271,0.03223,0.012666,5
0.083627,0.077963,0.070979,0.061584,0.04932,0.033992,0.015,6
0.054183,0.050723,0.048499,0.04726,0.044636,0.039712,0.030541,2
0.073207,0.065138,0.059482,0.052516,0.044482,0.034966,0.022647,2
0.084406,0.078049,0.07057,0.060436,0.046917,0.029831,0.009342,6
0.055641,0.052651,0.050906,0.04873,0.044748,0.038409,0.026829,2
0.064974,0.06081,0.057583,0.053654,0.048155,0.040775,0.030555,4
0.066158,0.061244,0.057413,0.053262,0.047965,0.040192,0.02964,2
0.059316,0.054137,0.050178,0.045483,0.040884,0.034465,0.024316,2
0.083628,0.077687,0.070783,0.061106,0.048199,0.031784,0.011683,6
0.084632,0.07833,0.070812,0.060587,0.047137,0.030093,0.00933,6
0.060541,0.057037,0.054399,0.051546,0.048194,0.042586,0.03241,2
0.058546,0.056193,0.054698,0.052397,0.049031,0.042857,0.031856,3
0.079287,0.072443,0.065421,0.058714,0.050605,0.040936,0.028976,2
0.05535,0.054943,0.054995,0.053226,0.049511,0.0436,0.033888,4
0.06188,0.059463,0.05767,0.055042,0.051358,0.045432,0.035816,4
0.083783,0.077786,0.070465,0.06098,0.048247,0.032825,0.013998,6
0.085131,0.078242,0.0702,0.060059,0.046866,0.030683,0.010778,6
0.048288,0.047442,0.047916,0.048003,0.046619,0.042716,0.034054,3
0.083918,0.078422,0.071708,0.062225,0.049324,0.033116,0.013538,6
0.06485,0.060522,0.057811,0.053623,0.048468,0.0409,0.028543,2
0.08445,0.078047,0.071039,0.061438,0.048638,0.032355,0.012539,6
0.066953,0.060899,0.05577,0.050097,0.042698,0.033473,0.021628,2
0.074154,0.06702,0.060662,0.05423,0.047035,0.037718,0.026412,2
0.084583,0.07897,0.071987,0.062183,0.048959,0.032265,0.011752,6
0.084616,0.078099,0.070866,0.061043,0.048663,0.033127,0.013812,6
0.083462,0.077933,0.071087,0.061419,0.04894,0.033013,0.01335,6
0.06311,0.059667,0.057506,0.054959,0.050503,0.04407,0.034208,2
0.043645,0.045369,0.047848,0.049421,0.049496,0.046169,0.037471,3
0.083694,0.07777,0.070863,0.061374,0.048831,0.033098,0.013919,6
0.060839,0.057046,0.054245,0.052035,0.048495,0.043366,0.0344,3
0.07306,0.066602,0.060931,0.054514,0.046334,0.036816,0.024456,2
0.084637,0.077903,0.070569,0.060814,0.048535,0.033241,0.014173,6
0.048407,0.047599,0.047707,0.047753,0.046128,0.041129,0.030719,3
0.082449,0.077158,0.070458,0.061452,0.049157,0.033125,0.013562,6
0.062693,0.058093,0.053997,0.049515,0.043285,0.034958,0.022863,2
0.067697,0.062562,0.058066,0.05295,0.046112,0.037874,0.02607,2
0.084461,0.078264,0.070796,0.061044,0.048055,0.03157,0.011633,6
0.069378,0.064378,0.058742,0.054512,0.047653,0.039019,0.025509,1
0.084716,0.078824,0.071826,0.062542,0.050008,0.033847,0.013938,6
0.084222,0.078406,0.071446,0.062239,0.049884,0.034046,0.014567,6
0.065861,0.062197,0.059173,0.055263,0.049601,0.042682,0.032612,4
0.074418,0.068477,0.062802,0.056616,0.049206,0.039892,0.028322,2
0.050244,0.047862,0.046631,0.045461,0.042286,0.036747,0.026728,3
0.084661,0.078481,0.071174,0.061232,0.048019,0.031268,0.011038,6
0.06121,0.055956,0.052648,0.047931,0.041404,0.033899,0.023404,2
0.083114,0.077332,0.070357,0.060749,0.048469,0.032571,0.013406,6
0.078451,0.069582,0.061911,0.053641,0.043669,0.031405,0.015447,2
0.083763,0.078042,0.071237,0.061891,0.049511,0.033562,0.014017,6
0.070779,0.064108,0.058522,0.053596,0.046918,0.038235,0.026873,1
0.064786,0.060297,0.056675,0.052739,0.047153,0.039187,0.027678,2
0.083165,0.077433,0.070722,0.061493,0.049114,0.033461,0.014357,6
0.073199,0.067319,0.062135,0.055769,0.047235,0.036095,0.021992,1
0.060925,0.058135,0.056151,0.053308,0.048592,0.041169,0.030096,2
0.084305,0.078655,0.0717,0.061994,0.048912,0.032738,0.012903,6
0.059785,0.056484,0.054201,0.051158,0.04618,0.038497,0.026652,2
0.066149,0.061025,0.056511,0.051643,0.044893,0.035755,0.023629,2
0.083097,0.07763,0.071,0.061648,0.049114,0.033321,0.014026,6
0.064697,0.060189,0.0581,0.055644,0.052087,0.046152,0.035106,2
0.066999,0.06196,0.057478,0.053498,0.04815,0.041638,0.032041,2
0.084788,0.077964,0.070163,0.060585,0.047849,0.031603,0.011825,6
0.084674,0.078113,0.070539,0.060478,0.047084,0.030743,0.010763,6
0.074441,0.068541,0.063177,0.057073,0.050581,0.042702,0.032876,3
0.082486,0.077414,0.071462,0.062957,0.050836,0.035008,0.015957,6
0.083703,0.077937,0.071038,0.061623,0.04897,0.032607,0.01276,6
0.065276,0.061249,0.057685,0.052985,0.047061,0.038321,0.026102,2
0.083033,0.078173,0.072213,0.063899,0.052263,0.036982,0.018142,6
0.083078,0.077959,0.071458,0.06223,0.049575,0.033926,0.014485,6
0.082951,0.077493,0.07085,0.061584,0.049137,0.033281,0.013945,6
0.084685,0.078841,0.071775,0.06182,0.048595,0.031762,0.011228,6
0.085402,0.07868,0.07094,0.060537,0.046859,0.030407,0.010347,6
0.077069,0.068868,0.0616,0.053505,0.043345,0.030737,0.015324,1
0.082961,0.077515,0.071476,0.062614,0.050502,0.035011,0.015981,6
0.046399,0.045441,0.045481,0.045968,0.04564,0.042785,0.03583,4
0.085503,0.078786,0.071405,0.061188,0.048133,0.031331,0.010867,6
0.083766,0.078385,0.071606,0.061998,0.049476,0.033302,0.013467,6
0.05595,0.053824,0.052786,0.051147,0.04741,0.041743,0.033193,4
0.068362,0.064223,0.060563,0.055457,0.048795,0.039755,0.027175,2
0.057634,0.053937,0.051814,0.049687,0.046824,0.042115,0.033196,2
0.068032,0.063601,0.059914,0.055343,0.049312,0.040876,0.030108,3
0.082701,0.077699,0.071195,0.061861,0.049311,0.033691,0.014416,6
0.079226,0.072627,0.066416,0.059464,0.050587,0.040105,0.027161,2
0.085692,0.078738,0.070753,0.060541,0.047013,0.030009,0.009615,6
0.085186,0.078518,0.070746,0.060214,0.047066,0.030538,0.010466,6
0.085248,0.078629,0.070875,0.061286,0.049228,0.033495,0.014159,6
0.065572,0.061645,0.057992,0.054013,0.048468,0.040582,0.029565,2
0.059831,0.055951,0.053193,0.050251,0.046476,0.040077,0.029739,3
0.073057,0.067847,0.062958,0.057115,0.048999,0.038869,0.025253,2
0.061227,0.057025,0.054588,0.051203,0.046933,0.040271,0.028473,2
0.083624,0.077976,0.071424,0.061897,0.049583,0.03353,0.013709,6
0.072141,0.066242,0.060926,0.05482,0.047484,0.037705,0.024036,2
0.073075,0.067511,0.061881,0.055589,0.048059,0.0385,0.026276,2
0.062163,0.056585,0.052306,0.049078,0.044502,0.03745,0.026396,2
0.086294,0.078893,0.071171,0.060811,0.047678,0.031594,0.011582,6
0.06945,0.063812,0.059104,0.054825,0.049502,0.042262,0.032684,2
0.072699,0.065293,0.058654,0.051493,0.043448,0.033594,0.0207,2
0.064109,0.059698,0.056111,0.051621,0.045564,0.036609,0.024568,2
0.08268,0.077581,0.071498,0.062415,0.049711,0.033919,0.014534,6
0.062853,0.058976,0.055991,0.052809,0.04772,0.040433,0.030145,3
0.084022,0.078048,0.070933,0.061276,0.04836,0.031917,0.011992,6
0.054489,0.052964,0.052661,0.051206,0.048592,0.044616,0.037226,3
0.053239,0.050541,0.049682,0.048123,0.045191,0.039766,0.029646,3
0.072838,0.066988,0.062041,0.056298,0.049188,0.040608,0.029829,3
0.083852,0.077929,0.071209,0.062104,0.049797,0.034366,0.015194,6
