@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute target {1,2}

@data
-1.045502,-1.02363,-1.023499,-1.016236,-1.015545,-0.978203,-0.846354,-0.721386,-0.739707,-0.823042,-0.785473,-0.727365,-0.682378,-0.637747,-0.529815,-0.241523,0.221251,0.772323,1.19753,1.486766,1.683717,1.743772,1.780854,1.789832,1.793358,1.773445,1.76411,1.769441,1.753546,1.763493,1.766872,1.759118,1.754117,1.756203,1.753611,1.637721,1.400606,0.9784,0.494972,-0.00207,-0.422672,-0.729394,-0.837571,-0.861964,-0.872913,-0.866584,-0.874669,-0.915152,-0.960904,-1.124444,-1.400763,-1.424083,-1.395435,-1.354122,-1.317917,-1.292804,-1.283269,-1.273685,-1.275348,-1.271887,1
-1.41727,-1.418138,-1.397309,-1.392696,-1.392449,-1.395429,-1.378429,-1.265554,-1.055716,-0.929419,-0.884667,-0.85592,-0.833474,-0.819094,-0.816198,-0.667055,-0.178599,0.382661,0.841834,1.188296,1.444252,1.518186,1.519888,1.528432,1.525027,1.519437,1.516803,1.508645,1.504852,1.508946,1.510147,1.499284,1.495412,1.500327,1.501572,1.501479,1.500844,1.496855,1.471311,1.435435,1.292821,1.051156,0.679877,0.245393,-0.197948,-0.599272,-0.885459,-1.017337,-1.040698,-1.042273,-1.056768,-1.059091,-1.069121,-1.108685,-1.321416,-1.51748,-1.48341,-1.403145,-1.405425,-1.384227,1
-1.392096,-1.631376,-1.758309,-1.644574,-1.649463,-1.671216,-1.639179,-1.625422,-1.574737,-1.345142,-1.095445,-1.028779,-1.019232,-1.023344,-0.994553,-0.961783,-0.888587,-0.603215,-0.096279,0.414232,0.780991,1.065752,1.240863,1.346486,1.371498,1.364235,1.382545,1.374598,1.372098,1.367463,1.355864,1.357096,1.355152,1.356036,1.357056,1.351112,1.352684,1.350363,1.342459,1.344551,1.347588,1.345736,1.339623,1.325223,1.272848,1.129456,0.84701,0.479132,0.086775,-0.312607,-0.740682,-1.072371,-1.23105,-1.258489,-1.24837,-1.240546,-1.239312,-1.247286,-1.259847,-1.283233,1
-1.484635,-1.502132,-1.451452,-1.453959,-1.448422,-1.443421,-1.450322,-1.429965,-1.253638,-0.930121,-0.828763,-0.818723,-0.792236,-0.709255,-0.604349,-0.157637,0.371599,0.845496,1.148824,1.397205,1.492317,1.514478,1.502116,1.500007,1.493955,1.494487,1.493596,1.481748,1.486187,1.486882,1.472456,1.478548,1.479237,1.478378,1.484871,1.484819,1.470762,1.443485,1.407451,1.315355,1.112171,0.774355,0.389905,-0.011429,-0.42233,-0.718694,-0.911343,-1.008322,-1.024389,-1.028301,-1.036662,-1.031833,-1.058652,-1.077119,-1.115916,-1.17518,-1.359094,-1.646049,-1.664371,-1.451974,1
-0.753847,-0.758131,-0.744578,-0.730215,-0.726432,-0.722473,-0.712156,-0.704767,-0.701249,-0.700582,-0.704607,-0.723029,-0.742621,-0.764201,-0.766549,-0.76391,-0.746703,-0.713051,-0.684775,-0.66307,-0.615851,-0.500593,-0.27474,0.436356,0.911471,1.542946,2.24661,2.42381,2.467647,2.502717,2.519527,2.525279,2.53565,2.524775,2.484207,2.214175,1.699855,1.261823,0.846064,0.53324,-0.226222,-0.679252,-1.010382,-1.083078,-1.010586,-0.960579,-0.895615,-0.835241,-0.801255,-0.790657,-0.774475,-0.748148,-0.728362,-0.711271,-0.716478,-0.739912,-0.745365,-0.748061,-0.777535,-0.775548,2
-1.445951,-1.45263,-1.445954,-1.448949,-1.447861,-1.444526,-1.422629,-1.20715,-0.966478,-0.92954,-0.935479,-0.920207,-0.916319,-0.887398,-0.866049,-0.709367,-0.277757,0.279353,0.697557,1.052614,1.297476,1.452184,1.515763,1.539116,1.544086,1.576898,1.570588,1.571179,1.555978,1.554653,1.548364,1.549676,1.546865,1.540485,1.530389,1.537668,1.532375,1.527761,1.507241,1.451978,1.319006,1.046757,0.63402,0.14064,-0.265246,-0.621545,-0.856694,-0.964953,-0.994656,-0.997492,-1.016612,-1.02728,-1.022934,-1.045856,-1.130934,-1.309379,-1.407857,-1.41896,-1.410561,-1.405467,1
-0.990564,-1.004588,-0.998713,-0.988814,-0.983095,-0.983632,-0.977277,-0.975179,-0.976052,-0.975549,-0.973892,-0.971286,-0.966868,-0.961301,-0.955266,-0.954947,-0.95646,-0.954262,-0.870855,-0.523082,0.243414,0.709404,1.02125,1.397169,1.810641,1.930556,1.957979,1.994499,2.025298,2.033563,2.037638,2.039552,2.043448,2.044585,2.041056,2.039453,1.980132,1.759871,1.347087,0.965598,0.60903,0.138983,-0.365862,-0.785884,-0.965035,-0.927492,-0.889385,-0.900886,-0.891816,-0.850084,-0.848709,-0.864482,-0.872032,-0.88234,-0.882195,-0.877383,-0.86935,-0.862997,-0.85146,-0.841134,2
-0.783785,-0.767829,-0.761009,-0.759465,-0.766672,-0.777368,-0.78235,-0.785573,-0.788007,-0.788665,-0.792381,-0.798706,-0.801935,-0.807688,-0.807683,-0.809285,-0.806724,-0.805092,-0.807628,-0.725477,-0.578268,-0.354355,0.335421,0.61262,1.159746,1.810374,2.198089,2.288147,2.313097,2.320111,2.334973,2.336597,2.337016,2.335765,2.311248,2.267877,2.060341,1.588602,1.117571,0.733885,0.297147,-0.480384,-0.948594,-1.184977,-1.187984,-1.137013,-1.040172,-0.944986,-0.871602,-0.807442,-0.765076,-0.75831,-0.756098,-0.734558,-0.714784,-0.717084,-0.73524,-0.753315,-0.771539,-0.793524,2
-1.317925,-1.308546,-1.309567,-1.309214,-1.309449,-1.306302,-1.31034,-1.198578,-1.068751,-1.054633,-1.002817,-0.954964,-0.919624,-0.891324,-0.786628,-0.437169,0.084306,0.498894,0.839694,1.181269,1.425418,1.515313,1.527511,1.546658,1.540103,1.549117,1.546067,1.547635,1.546513,1.550661,1.555495,1.560823,1.561148,1.56701,1.572165,1.579578,1.585341,1.593589,1.579117,1.47418,1.151908,0.70528,0.241157,-0.203562,-0.591859,-0.876212,-0.992734,-1.013554,-1.021777,-1.012678,-1.003782,-1.017991,-1.046542,-1.161339,-1.402611,-1.446059,-1.352224,-1.32884,-1.334355,-1.334,1
-1.360917,-1.3565,-1.357351,-1.355026,-1.355999,-1.35667,-1.360202,-1.355817,-1.138071,-0.503745,0.254268,0.868931,1.141287,1.247929,1.260807,1.267313,1.274529,1.28323,1.287948,1.287073,1.276189,1.256746,1.254595,1.247256,1.249201,1.246688,1.250869,1.245762,1.237148,1.239471,1.242422,1.240531,1.240224,1.248751,1.24311,1.257602,1.247325,1.220603,1.105706,0.888658,0.56307,0.140339,-0.325804,-0.76533,-1.139469,-1.41763,-1.496918,-1.483598,-1.441329,-1.432411,-1.428093,-1.427652,-1.427516,-1.430132,-1.431635,-1.431415,-1.433561,-1.433172,-1.434883,-1.434736,2
-1.058124,-1.060653,-1.048366,-1.042883,-1.039917,-1.041242,-1.041569,-1.041706,-1.043166,-1.042182,-1.043235,-1.041981,-1.040457,-1.035172,-0.892253,-0.827185,-0.832452,-0.817957,-0.775338,-0.713694,-0.630495,-0.350612,0.235771,0.786642,1.409137,1.802418,1.860727,1.893402,1.913498,1.917836,1.920054,1.922433,1.921739,1.920375,1.908394,1.876018,1.867433,1.869574,1.883272,1.859342,1.667262,1.183694,0.608754,0.105129,-0.33481,-0.58817,-0.721246,-0.77654,-0.793119,-0.764846,-0.749362,-0.77667,-0.88726,-1.031192,-1.098133,-1.106139,-1.105031,-1.083607,-1.0445,-1.011641,1
-0.991238,-0.957732,-0.905327,-0.8505,-0.858251,-0.962889,-1.224242,-1.447177,-1.432333,-1.40173,-1.273154,-0.940794,-0.812263,-0.788924,-0.731773,-0.588473,-0.015285,0.656405,1.096256,1.387347,1.559013,1.631782,1.646273,1.652812,1.660115,1.672467,1.668055,1.668521,1.667201,1.657187,1.658472,1.652236,1.63834,1.628149,1.60992,1.56824,1.507244,1.410866,1.231941,0.970242,0.624521,0.241414,-0.172957,-0.563508,-0.858621,-1.01246,-1.045662,-1.046868,-1.062804,-1.086962,-1.099084,-1.091516,-1.136957,-1.255166,-1.339146,-1.347389,-1.309144,-1.262659,-1.250346,-1.241687,1
-1.539499,-1.415525,-1.41081,-1.420704,-1.407007,-1.402295,-1.388409,-1.367402,-1.267521,-0.997435,-0.861097,-0.852645,-0.800246,-0.780069,-0.74038,-0.537836,-0.075034,0.456899,0.853784,1.197363,1.436642,1.521819,1.531208,1.531389,1.522703,1.521386,1.516349,1.517301,1.512437,1.503059,1.511677,1.508843,1.513171,1.517549,1.502523,1.49589,1.505963,1.492767,1.490137,1.449854,1.270145,0.975934,0.559564,0.121073,-0.336465,-0.668785,-0.837728,-0.943804,-0.981394,-1.011001,-1.021659,-1.032183,-1.03852,-1.066513,-1.109483,-1.157956,-1.291424,-1.519662,-1.665631,-1.591309,1
-2.212275,-2.164165,-2.15644,-2.151788,-2.151636,-2.15246,-2.14737,-2.14505,-2.146968,-2.139302,-1.934013,-1.284356,-0.407406,0.33359,0.684613,0.802694,0.828125,0.854273,0.86166,0.868758,0.8735,0.868598,0.861754,0.85861,0.854788,0.849766,0.849681,0.851375,0.840366,0.839074,0.838495,0.83384,0.834937,0.829326,0.824133,0.824568,0.817597,0.824697,0.820462,0.817696,0.814272,0.812365,0.813523,0.806423,0.80987,0.800514,0.803163,0.797425,0.799031,0.782322,0.750204,0.683359,0.612719,0.487531,0.182716,-0.325156,-1.01668,-1.718463,-2.195436,-2.353452,2
-0.876456,-0.884055,-0.885629,-0.88338,-0.883316,-0.88489,-0.884456,-0.886291,-0.884257,-0.881687,-0.87635,-0.874806,-0.868558,-0.76793,-0.696621,-0.722332,-0.716945,-0.616976,-0.549778,-0.382921,0.028564,0.686918,1.445922,2.091699,2.445306,2.539828,2.550788,2.553392,2.555895,2.55793,2.53844,2.513521,2.336069,1.875137,1.31602,0.773826,0.286124,-0.127728,-0.430161,-0.613862,-0.665036,-0.670309,-0.649572,-0.622276,-0.605081,-0.587991,-0.568538,-0.616059,-0.739564,-0.825028,-0.819501,-0.816054,-0.812926,-0.774661,-0.719997,-0.692175,-0.692138,-0.707036,-0.716596,-0.715455,1
-1.207437,-1.215559,-1.220308,-1.222548,-1.221877,-1.226805,-1.22378,-1.159049,-0.758632,0.036778,0.843057,1.349655,1.55229,1.555125,1.526887,1.524173,1.532409,1.531604,1.528548,1.510274,1.505148,1.504151,1.503033,1.494942,1.491425,1.490355,1.478956,1.482519,1.482067,1.460853,1.409017,1.330857,1.222645,1.121407,0.949479,0.637154,0.162467,-0.396616,-0.885259,-1.20847,-1.294952,-1.274271,-1.206674,-1.15729,-1.145125,-1.139199,-1.137541,-1.136491,-1.136072,-1.138656,-1.140233,-1.142454,-1.147043,-1.149518,-1.151724,-1.151818,-1.154479,-1.154392,-1.154883,-1.158119,2
-1.239062,-1.33594,-1.36939,-1.350059,-1.335658,-1.322223,-1.317286,-1.25908,-1.071794,-0.951278,-0.933341,-0.924466,-0.898456,-0.889366,-0.690063,-0.203902,0.313909,0.741844,1.128246,1.386338,1.496399,1.514995,1.533837,1.53351,1.533404,1.5271,1.516796,1.507176,1.506234,1.496436,1.48946,1.491858,1.486744,1.486843,1.484096,1.48675,1.480945,1.474842,1.458673,1.362287,1.137065,0.783271,0.350718,-0.079754,-0.479268,-0.819358,-1.015681,-1.075449,-1.082517,-1.081296,-1.072781,-1.084989,-1.088608,-1.098655,-1.204185,-1.494259,-1.586219,-1.478174,-1.439789,-1.437429,1
-1.3617,-1.352114,-1.348563,-1.34852,-1.35057,-1.349917,-1.306175,-1.153038,-0.973918,-0.939234,-0.921534,-0.902783,-0.872645,-0.859507,-0.825589,-0.510068,0.010163,0.515635,0.921815,1.239531,1.470634,1.521637,1.534756,1.540128,1.525428,1.536435,1.526919,1.533793,1.530909,1.515795,1.531283,1.540242,1.552437,1.546031,1.561856,1.543813,1.547789,1.520265,1.48152,1.380076,1.151013,0.841785,0.444842,-0.001859,-0.454995,-0.827126,-0.996454,-1.04648,-1.057702,-1.050259,-1.047426,-1.054993,-1.067698,-1.077459,-1.168803,-1.365704,-1.500555,-1.502588,-1.497215,-1.473339,1
-1.274424,-1.266092,-1.267696,-1.269756,-1.274799,-1.277189,-1.281907,-1.143152,-0.503909,0.319977,0.921154,1.20524,1.265229,1.296219,1.291718,1.298936,1.289295,1.282447,1.278385,1.271684,1.277588,1.273988,1.26745,1.270587,1.258869,1.240545,1.250183,1.245293,1.231828,1.230376,1.240761,1.240407,1.249163,1.24257,1.231905,1.224557,1.173276,1.039662,0.869202,0.567429,0.071187,-0.530459,-1.077173,-1.401331,-1.476384,-1.484348,-1.473038,-1.452095,-1.450527,-1.45038,-1.431975,-1.425413,-1.416174,-1.407619,-1.398278,-1.392299,-1.392334,-1.397619,-1.399843,-1.400898,2
-1.770825,-1.948057,-1.877944,-1.733794,-1.702943,-1.685605,-1.659087,-1.651163,-1.637301,-1.624639,-1.495186,-1.245705,-1.162471,-1.216921,-1.202791,-1.145349,-0.940222,-0.518298,-0.033847,0.384468,0.729304,0.995624,1.138212,1.168594,1.178457,1.18127,1.188218,1.198329,1.203582,1.205166,1.203613,1.197127,1.195873,1.192416,1.195454,1.195737,1.194528,1.194828,1.19231,1.187283,1.190203,1.189528,1.188459,1.180944,1.164389,1.161863,1.159125,1.142598,1.096319,0.917553,0.575078,0.130491,-0.3304,-0.759954,-1.140456,-1.34602,-1.4182,-1.443309,-1.455273,-1.471181,1
-1.196721,-1.203306,-1.202618,-1.201641,-1.192507,-1.183901,-1.179111,-1.013902,-0.785391,-0.776728,-0.744125,-0.68602,-0.606792,-0.541086,-0.404885,-0.035135,0.572527,1.045242,1.424826,1.67203,1.770933,1.766354,1.776306,1.794495,1.793658,1.778211,1.780074,1.789376,1.793402,1.806491,1.805544,1.805684,1.792624,1.778176,1.673397,1.472841,1.114973,0.577501,0.03332,-0.393299,-0.662971,-0.737174,-0.745059,-0.748868,-0.763738,-0.789779,-0.849065,-0.971028,-1.171664,-1.312812,-1.290387,-1.208461,-1.153705,-1.139825,-1.134103,-1.126613,-1.12153,-1.116343,-1.113305,-1.114382,1
-1.839244,-1.851454,-1.84979,-1.849913,-1.849973,-1.852098,-1.855323,-1.8568,-1.860006,-1.840144,-1.46706,-0.630997,0.225131,0.716879,0.921367,0.987896,1.006893,1.025813,1.027668,1.032954,1.037574,1.029488,0.974673,0.974816,0.973681,0.97555,0.980661,0.982737,0.985566,0.988287,0.985603,0.987232,0.990675,0.98636,0.998957,1.000254,1.001784,0.999578,1.005996,1.000101,1.0026,0.984931,0.97191,0.992281,1.014597,0.990444,0.911416,0.745937,0.484349,0.093618,-0.386621,-0.879964,-1.275435,-1.55754,-1.713353,-1.729261,-1.709974,-1.706032,-1.715345,-1.719931,2
-1.224883,-1.220612,-1.221553,-1.225183,-1.228512,-1.232259,-1.23722,-1.225978,-0.992966,-0.288418,0.514282,1.068381,1.30953,1.363881,1.370696,1.373069,1.371699,1.37007,1.372657,1.374375,1.378869,1.376338,1.380528,1.383561,1.377963,1.389134,1.382924,1.382436,1.387606,1.380729,1.376134,1.366927,1.363535,1.363442,1.347741,1.274822,1.10687,0.787509,0.279807,-0.390551,-1.008454,-1.420662,-1.492817,-1.45026,-1.34123,-1.268103,-1.243397,-1.241751,-1.245111,-1.237973,-1.227741,-1.2167,-1.21215,-1.212084,-1.212018,-1.212671,-1.213569,-1.209412,-1.208504,-1.212774,2
-0.906625,-0.91397,-0.91761,-0.923556,-0.937519,-0.952235,-0.971418,-0.97372,-0.972867,-0.976606,-0.978745,-0.971449,-0.972888,-0.959943,-0.840081,-0.712874,-0.721956,-0.725233,-0.660815,-0.568397,-0.300478,0.183956,0.988353,1.65959,2.008642,2.143176,2.141136,2.131347,2.132267,2.143039,2.146233,2.140942,2.132446,2.117073,2.102528,2.053487,1.865606,1.504117,0.990086,0.489934,0.00998,-0.395868,-0.628805,-0.728717,-0.748761,-0.745043,-0.714298,-0.653313,-0.569578,-0.63487,-0.806168,-0.945543,-0.981059,-0.984533,-0.967089,-0.946235,-0.945959,-0.944353,-0.946678,-0.938082,1
-0.799776,-0.797176,-0.791917,-0.784711,-0.774511,-0.766529,-0.762326,-0.755156,-0.752936,-0.752505,-0.755274,-0.757771,-0.763415,-0.768856,-0.769327,-0.770549,-0.770494,-0.770363,-0.745082,-0.5507,-0.244226,0.217728,0.753421,1.146881,1.777651,2.27901,2.404268,2.443514,2.473635,2.478684,2.49062,2.491217,2.481846,2.392466,2.122761,1.656971,1.244561,0.885603,0.355815,-0.361918,-0.799461,-0.959378,-0.946342,-0.890201,-0.851449,-0.826913,-0.817854,-0.802296,-0.793262,-0.793749,-0.793112,-0.796512,-0.798324,-0.799897,-0.796627,-0.788496,-0.780168,-0.773018,-0.764768,-0.759306,2
-0.759719,-0.768539,-0.770652,-0.774152,-0.778961,-0.789231,-0.794416,-0.800761,-0.811501,-0.822401,-0.828946,-0.832554,-0.838937,-0.821326,-0.701738,-0.678364,-0.70338,-0.659985,-0.632968,-0.400907,0.184113,0.918455,1.562465,2.197402,2.378076,2.423984,2.450169,2.465873,2.476888,2.484951,2.474615,2.427343,2.293303,1.967735,1.474994,0.967337,0.460957,0.011556,-0.390309,-0.619152,-0.704832,-0.711323,-0.707146,-0.709649,-0.680188,-0.595026,-0.529838,-0.615982,-0.797718,-0.957759,-0.990865,-0.98448,-0.9527,-0.877689,-0.809148,-0.800159,-0.807474,-0.806845,-0.803057,-0.799442,1
-1.593832,-1.6228,-1.616235,-1.625649,-1.634685,-1.637206,-1.636376,-1.62258,-1.62309,-1.518909,-1.190583,-0.372092,0.356438,0.820511,1.068787,1.195908,1.112628,1.195764,1.157829,1.062032,1.083427,1.117084,1.106741,1.183254,1.135755,1.129278,1.153848,1.15917,1.181306,1.160572,1.167302,1.161366,1.1697,1.113495,1.09232,1.081813,1.085335,1.067415,1.13951,1.117251,1.180569,1.112084,1.048316,0.938237,0.728795,0.358702,-0.117101,-0.637092,-1.084315,-1.363607,-1.515237,-1.525807,-1.518458,-1.503218,-1.497216,-1.494373,-1.497131,-1.495466,-1.496687,-1.502796,2
