@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute target {1,2}

@data
1.414853,1.174995,0.804304,0.302782,-0.176935,-0.656651,-1.049147,-1.332616,-1.463448,-1.507058,-1.463448,-1.289005,-1.070952,-0.874704,-0.678457,-0.482209,-0.24235,-0.002492,0.193756,0.280977,0.302782,0.324588,0.302782,0.302782,0.280977,0.259172,0.237366,0.237366,0.237366,0.193756,0.12834,0.106535,0.062924,0.062924,0.106535,0.237366,0.433614,0.673473,0.86972,0.913331,0.891526,0.760694,0.542641,0.259172,-0.111519,-0.525819,-0.874704,-1.114563,-1.223589,-1.179979,-1.005536,-0.831094,-0.656651,-0.460404,-0.24235,-0.024297,0.17195,0.237366,0.215561,0.150145,0.12834,0.150145,0.193756,2
0.632935,0.343185,0.264162,0.316844,0.079775,-0.447043,-0.815816,-1.026543,-1.026543,-0.92118,-0.894839,-0.973862,-0.973862,-0.763134,-0.420702,-0.07827,0.185139,0.369526,0.580253,0.79098,0.975367,1.028049,0.975367,0.896344,0.764639,0.606594,0.422207,0.237821,0.027094,-0.130952,-0.315338,-0.447043,-0.578748,-0.763134,-0.947521,-0.947521,-0.710452,-0.420702,-0.209975,-0.157293,-0.130952,-0.051929,0.106116,0.158798,0.000753,-0.341679,-0.657771,-0.868498,-0.894839,-0.736793,-0.499725,-0.36802,-0.262657,-0.07827,0.158798,0.448548,0.659276,0.711958,0.580253,0.422207,0.369526,0.395866,0.50123,1
1.388,1.123978,0.701543,0.226304,-0.301739,-0.724174,-1.041,-1.17301,-1.225815,-1.17301,-1.120206,-1.146608,-1.067402,-0.935391,-0.724174,-0.539359,-0.380946,-0.275337,-0.143326,0.015087,0.094293,0.120696,0.067891,0.041489,0.041489,0.041489,0.015087,0.041489,0.015087,0.015087,0.120696,0.199902,0.252706,0.411119,0.622337,0.807152,0.965565,0.965565,0.807152,0.595935,0.358315,0.067891,-0.19613,-0.407348,-0.618565,-0.856184,-1.014597,-1.041,-0.935391,-0.80338,-0.697771,-0.644967,-0.539359,-0.275337,0.015087,0.226304,0.279109,0.279109,0.226304,0.1735,0.199902,0.252706,0.279109,2
0.941572,0.70711,0.34239,-0.048381,-0.491255,-0.882026,-1.168592,-1.3249,-1.272797,-1.116489,-0.908078,-0.751769,-0.595461,-0.413101,-0.178638,0.003722,0.081876,0.107927,0.107927,0.107927,0.186081,0.316339,0.420544,0.498698,0.550801,0.576853,0.576853,0.576853,0.52475,0.446596,0.368441,0.368441,0.368441,0.472647,0.681058,0.863418,1.071829,1.176035,1.123932,0.889469,0.628955,0.264236,-0.126535,-0.465204,-0.829923,-1.168592,-1.403054,-1.481209,-1.403054,-1.246746,-1.14254,-1.038335,-0.934129,-0.725718,-0.465204,-0.20469,-0.02233,0.081876,0.16003,0.212133,0.264236,0.264236,0.238184,2
0.741279,0.557831,0.269556,-0.018719,-0.411822,-0.778717,-1.040785,-1.171819,-1.145613,-0.988372,-0.831131,-0.726303,-0.569062,-0.385615,-0.202167,-0.018719,0.086108,0.112315,0.164729,0.269556,0.374383,0.505417,0.610245,0.662658,0.688865,0.715072,0.688865,0.636451,0.584038,0.531624,0.505417,0.531624,0.505417,0.610245,0.793692,1.003347,1.160588,1.186795,1.108174,0.89852,0.662658,0.32197,-0.09734,-0.516649,-0.857337,-1.145613,-1.381474,-1.512508,-1.512508,-1.433888,-1.32906,-1.25044,-1.171819,-0.988372,-0.726303,-0.438028,-0.17596,-0.018719,0.086108,0.190935,0.243349,0.269556,0.243349,2
0.260304,0.230433,0.14082,0.021336,-0.187761,-0.426729,-0.635826,-0.785181,-0.815052,-0.785181,-0.695568,-0.605955,-0.516342,-0.396858,-0.217632,-0.008535,0.170691,0.290175,0.320046,0.320046,0.349917,0.43953,0.529143,0.618756,0.708369,0.73824,0.768111,0.768111,0.768111,0.73824,0.678498,0.648627,0.588885,0.588885,0.708369,0.887595,1.066821,1.275918,1.395402,1.33566,1.126563,0.797982,0.290175,-0.217632,-0.695568,-1.173503,-1.561826,-1.800794,-1.830665,-1.711181,-1.502084,-1.292988,-1.113762,-0.934536,-0.695568,-0.4566,-0.277374,-0.128019,0.021336,0.110949,0.14082,0.14082,0.110949,2
0.410832,0.490716,0.410832,0.291006,0.051354,-0.22824,-0.308124,-0.348066,-0.507834,-0.667602,-0.747486,-0.787428,-0.787428,-0.82737,-0.787428,-0.667602,-0.42795,-0.22824,-0.02853,0.091296,0.17118,0.211122,0.251064,0.251064,0.251064,0.291006,0.330948,0.330948,0.330948,0.330948,0.330948,0.291006,0.330948,0.450774,0.650484,0.890137,1.129789,1.409383,1.449325,1.329499,1.089847,0.730368,0.330948,-0.068472,-0.547776,-1.027081,-1.386559,-1.586269,-1.666153,-1.506385,-1.346617,-1.266733,-1.067023,-0.82737,-0.467892,-0.068472,0.211122,0.251064,0.291006,0.410832,0.490716,0.490716,0.450774,1
0.337571,0.308754,0.164669,-0.008233,-0.209953,-0.411672,-0.613391,-0.757477,-0.786294,-0.757477,-0.757477,-0.72866,-0.584574,-0.382855,-0.065868,0.222303,0.337571,0.337571,0.337571,0.366388,0.395205,0.481656,0.481656,0.481656,0.510473,0.568107,0.654559,0.74101,0.769827,0.74101,0.683376,0.654559,0.654559,0.769827,0.885095,1.000363,1.202082,1.288533,1.259716,1.086814,0.827461,0.452839,0.107035,-0.209953,-0.671025,-1.103281,-1.449086,-1.650805,-1.708439,-1.708439,-1.679622,-1.679622,-1.535537,-1.276183,-0.901562,-0.52694,-0.209953,-0.008233,0.107035,0.222303,0.25112,0.25112,0.193486,2
0.475996,0.446613,0.387848,0.182171,-0.199801,-0.66992,-1.140039,-1.375099,-1.286952,-1.110657,-0.963745,-0.816832,-0.66992,-0.43486,-0.111653,0.094024,0.152789,0.123406,0.035259,-0.023506,-0.023506,0.064641,0.152789,0.240936,0.299701,0.358466,0.387848,0.417231,0.475996,0.475996,0.475996,0.505378,0.534761,0.505378,0.417231,0.358466,0.475996,0.681673,0.76982,0.740438,0.593526,0.417231,0.387848,0.387848,0.152789,-0.229183,-0.640537,-1.051892,-1.316334,-1.316334,-1.286952,-1.286952,-1.257569,-1.140039,-0.846215,-0.464243,-0.052888,0.182171,0.329084,0.446613,0.564143,0.681673,0.740438,1
0.848017,0.575718,0.201307,-0.173104,-0.615591,-0.990002,-1.228264,-1.330376,-1.364413,-1.398451,-1.398451,-1.398451,-1.262301,-1.058077,-0.785778,-0.445404,-0.139067,0.099195,0.235344,0.371494,0.439569,0.439569,0.337456,0.201307,0.065157,-0.036955,-0.139067,-0.207142,-0.241179,-0.275217,-0.241179,-0.241179,-0.173104,-0.070992,0.16727,0.439569,0.677831,0.81398,0.81398,0.779943,0.677831,0.541681,0.303419,0.03112,-0.275217,-0.513478,-0.717703,-0.785778,-0.75174,-0.683665,-0.547516,-0.479441,-0.343291,-0.139067,0.133232,0.337457,0.405531,0.371494,0.269382,0.235344,0.269382,0.371494,0.507644,2
