@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute target {1,2}

@data
0.112914,0.138381,0.163901,0.18946,0.215063,0.240526,0.265856,0.290994,0.315622,0.33917,0.361322,0.381652,0.399931,0.415999,0.43041,0.44275,0.453472,0.462702,0.470297,0.476479,0.481545,0.485889,0.489509,0.492704,0.495463,0.498046,0.500452,0.502684,0.504884,0.507032,0.509228,0.51154,0.513993,0.516484,0.518864,0.520711,0.521845,0.522303,0.522297,0.521732,0.520692,0.519149,0.517241,0.514974,0.512484,0.509821,0.506917,0.503871,0.500568,0.497038,0.493204,0.489181,0.484784,0.479342,0.472374,0.462986,0.452242,0.439712,0.425298,1
0.330741,0.351579,0.372004,0.391772,0.410659,0.428627,0.445402,0.46095,0.475174,0.48789,0.499309,0.50952,0.518615,0.526576,0.533762,0.540365,0.546733,0.55295,0.558706,0.563897,0.568477,0.572288,0.575593,0.578717,0.581785,0.584534,0.586465,0.587275,0.586715,0.585343,0.583303,0.580961,0.578502,0.57595,0.573104,0.570143,0.567011,0.563529,0.559465,0.553949,0.545973,0.535386,0.521994,0.505832,0.487602,0.467625,0.446377,0.424013,0.400787,0.376962,0.352789,0.328192,0.303326,0.278283,0.253175,0.228016,0.202853,0.177661,0.152455,1
0.229018,0.255438,0.281315,0.306821,0.33196,0.356958,0.381794,0.406632,0.430674,0.454058,0.476515,0.497822,0.517908,0.536434,0.553485,0.568912,0.582824,0.5951,0.605584,0.61444,0.621983,0.627622,0.631654,0.634146,0.635157,0.635285,0.634733,0.633862,0.632888,0.631648,0.630095,0.628292,0.626403,0.624373,0.622252,0.61996,0.617468,0.614522,0.610862,0.605786,0.599075,0.590578,0.579592,0.566902,0.552508,0.536537,0.519155,0.500066,0.47955,0.457308,0.433181,0.407805,0.381521,0.35409,0.326297,0.298358,0.270908,0.244093,0.217532,1
-0.104492,-0.078208,-0.052095,-0.026147,-0.000241,0.025619,0.051446,0.0773,0.103146,0.128908,0.154731,0.18052,0.206262,0.232055,0.257824,0.283594,0.309277,0.334963,0.360621,0.386325,0.412108,0.437799,0.46342,0.489044,0.51455,0.539445,0.563261,0.585127,0.604624,0.621246,0.634604,0.64501,0.652267,0.657065,0.659776,0.660955,0.660978,0.660343,0.659183,0.657392,0.655132,0.652425,0.648915,0.644289,0.638441,0.631051,0.621806,0.610351,0.596507,0.580086,0.561049,0.539598,0.516006,0.490611,0.463969,0.436597,0.408785,0.380634,0.352488,2
0.334462,0.341856,0.347816,0.352745,0.356703,0.359952,0.362583,0.364757,0.366764,0.368669,0.370514,0.372341,0.374248,0.376222,0.378268,0.380432,0.38266,0.385009,0.387387,0.389846,0.392363,0.394921,0.397539,0.400245,0.402978,0.405571,0.407983,0.410064,0.411747,0.412911,0.41362,0.414038,0.414225,0.413995,0.413335,0.412425,0.411413,0.410396,0.409516,0.408792,0.408244,0.40769,0.406911,0.405964,0.404963,0.403861,0.402596,0.40103,0.398764,0.395714,0.391581,0.38519,0.376478,0.365506,0.352041,0.335939,0.317155,0.295912,0.272497,1
0.566737,0.574793,0.580965,0.58542,0.588288,0.589865,0.590372,0.590185,0.589654,0.589033,0.588417,0.587856,0.587563,0.587489,0.587687,0.588028,0.58855,0.589129,0.589541,0.589256,0.58773,0.584429,0.578608,0.569903,0.558207,0.543672,0.526449,0.507092,0.486095,0.463968,0.441128,0.417713,0.394233,0.370773,0.34738,0.324094,0.30088,0.277686,0.254454,0.231254,0.207968,0.184672,0.161388,0.138093,0.114739,0.091409,0.068082,0.044879,0.021689,-0.001454,-0.024604,-0.047725,-0.070842,-0.093977,-0.117081,-0.140217,-0.163333,-0.186465,-0.209594,2
0.274575,0.297983,0.32179,0.345929,0.370341,0.394687,0.418691,0.442076,0.464646,0.486207,0.506635,0.52573,0.543371,0.559428,0.573951,0.587029,0.598543,0.608574,0.616972,0.623474,0.62807,0.630796,0.631951,0.632039,0.63139,0.630316,0.629103,0.627848,0.62652,0.625086,0.623478,0.621879,0.620344,0.618858,0.617076,0.614679,0.611273,0.606225,0.59949,0.590795,0.580197,0.567963,0.554034,0.538362,0.520713,0.500748,0.478504,0.454189,0.428613,0.402403,0.376055,0.349994,0.324171,0.298445,0.272676,0.246828,0.220931,0.195024,0.1692,1
0.259843,0.284851,0.309784,0.334619,0.359267,0.383513,0.407443,0.430924,0.453739,0.475458,0.496169,0.515863,0.534241,0.551278,0.566868,0.580843,0.59298,0.603124,0.611117,0.61682,0.620317,0.622139,0.62274,0.622747,0.622214,0.621448,0.620402,0.619149,0.617867,0.616452,0.614964,0.613388,0.611785,0.610186,0.608503,0.606716,0.604728,0.602025,0.597975,0.592302,0.584834,0.575425,0.564142,0.550852,0.535374,0.517856,0.498316,0.476831,0.453796,0.429417,0.40425,0.378332,0.35219,0.325969,0.299654,0.273366,0.247084,0.220901,0.194757,1
0.518279,0.53854,0.558316,0.577704,0.596236,0.61381,0.630388,0.645565,0.659034,0.670684,0.680302,0.68775,0.693227,0.696671,0.698417,0.698721,0.697975,0.696654,0.694498,0.69078,0.684872,0.676297,0.664944,0.650585,0.633751,0.614523,0.593952,0.572055,0.549327,0.525992,0.502434,0.47884,0.455017,0.431213,0.407487,0.383807,0.360135,0.336541,0.312879,0.289285,0.265694,0.242249,0.218825,0.195458,0.172179,0.148903,0.125692,0.102469,0.079295,0.056128,0.032941,0.009676,-0.013537,-0.036777,-0.060037,-0.083275,-0.106498,-0.129677,-0.152897,2
-0.124976,-0.098915,-0.072193,-0.044935,-0.017556,0.009642,0.03632,0.062444,0.088059,0.113363,0.13857,0.163724,0.188872,0.213929,0.238882,0.263705,0.288404,0.313085,0.337693,0.362175,0.386595,0.410971,0.435268,0.459541,0.483672,0.507375,0.530337,0.552336,0.573321,0.593399,0.612801,0.631266,0.649071,0.66587,0.681626,0.695741,0.708138,0.718782,0.727614,0.734475,0.739257,0.741643,0.740913,0.737437,0.731257,0.722695,0.711522,0.698305,0.683409,0.667133,0.649511,0.630689,0.610741,0.589927,0.568249,0.546012,0.523388,0.5006,0.477688,1
0.444368,0.460792,0.475387,0.488062,0.498791,0.508069,0.515763,0.522238,0.527653,0.532366,0.536539,0.540579,0.544483,0.548312,0.55213,0.555975,0.559745,0.563121,0.565805,0.5675,0.568153,0.568193,0.567878,0.567403,0.56685,0.565934,0.564226,0.561759,0.558483,0.554108,0.548684,0.542618,0.536315,0.52981,0.523094,0.516275,0.509019,0.501309,0.492293,0.481722,0.469143,0.454227,0.437581,0.419374,0.399693,0.378704,0.356509,0.33328,0.3093,0.28474,0.259805,0.234719,0.209592,0.184543,0.1595,0.134419,0.109298,0.084116,0.058817,1
0.083071,0.107872,0.132698,0.157584,0.182444,0.20722,0.232019,0.256784,0.281487,0.306321,0.331011,0.355644,0.380326,0.404981,0.429517,0.454246,0.478966,0.503836,0.528849,0.553841,0.57865,0.603492,0.628182,0.652526,0.676228,0.698235,0.717799,0.734068,0.74637,0.754456,0.758078,0.757694,0.753558,0.746126,0.736115,0.723514,0.708618,0.69202,0.673621,0.653961,0.633176,0.611336,0.588584,0.5652,0.541422,0.517458,0.493455,0.469485,0.445587,0.42173,0.397835,0.374028,0.350255,0.326482,0.302673,0.279226,0.255783,0.232378,0.208945,2
0.540256,0.558406,0.575181,0.590181,0.603226,0.614013,0.622398,0.628498,0.632347,0.634242,0.634429,0.633211,0.631304,0.629151,0.626912,0.624666,0.622663,0.621024,0.619755,0.618611,0.617246,0.614764,0.610394,0.603495,0.593736,0.581264,0.565975,0.548343,0.528888,0.508229,0.486698,0.464544,0.442039,0.419462,0.396928,0.374385,0.351851,0.329456,0.306993,0.284516,0.26205,0.239585,0.217103,0.194641,0.172187,0.149696,0.127231,0.104693,0.082193,0.059683,0.037157,0.014616,-0.007873,-0.030357,-0.052834,-0.07538,-0.097922,-0.120418,-0.142987,2
0.275241,0.297024,0.317133,0.335588,0.352176,0.366851,0.379974,0.3913,0.400976,0.409056,0.415982,0.421387,0.425589,0.429024,0.431859,0.434361,0.43658,0.438633,0.440585,0.442566,0.444443,0.446422,0.448402,0.450557,0.45281,0.455257,0.457924,0.460877,0.464138,0.467624,0.47119,0.474398,0.477059,0.47913,0.480356,0.480662,0.479931,0.478406,0.476394,0.47382,0.471196,0.468886,0.466758,0.464659,0.46242,0.460158,0.457649,0.45496,0.451889,0.448372,0.444042,0.438435,0.431572,0.422913,0.41175,0.397934,0.381137,0.361708,0.340103,1
0.342399,0.357145,0.371477,0.382871,0.393281,0.400125,0.404747,0.407808,0.409168,0.409087,0.408058,0.406583,0.404976,0.403358,0.401823,0.400491,0.399338,0.398321,0.397454,0.396629,0.395909,0.395265,0.394661,0.394084,0.393541,0.393083,0.392695,0.392316,0.392007,0.391713,0.391425,0.391167,0.390957,0.390742,0.390557,0.39037,0.390158,0.389934,0.389711,0.389486,0.389266,0.389027,0.388802,0.388593,0.388376,0.38814,0.387751,0.387043,0.385582,0.38306,0.379534,0.374969,0.369191,0.361872,0.351981,0.340016,0.326889,0.312552,0.296893,2
0.36721,0.37463,0.380574,0.385092,0.388369,0.390759,0.392371,0.393468,0.394225,0.39484,0.395429,0.396042,0.396647,0.397326,0.398042,0.398764,0.399487,0.400289,0.40118,0.402249,0.403562,0.405251,0.407381,0.409793,0.412368,0.414815,0.416942,0.418525,0.419525,0.419842,0.419523,0.418706,0.417494,0.416122,0.414469,0.412391,0.409912,0.407289,0.404734,0.402378,0.400399,0.398735,0.397264,0.395886,0.394507,0.39309,0.391637,0.389786,0.387,0.382592,0.376184,0.367574,0.356271,0.342457,0.326344,0.307979,0.287436,0.264549,0.239407,1
0.219895,0.243187,0.266444,0.290143,0.314083,0.338303,0.362109,0.386206,0.41122,0.435494,0.459573,0.483477,0.5072,0.530684,0.554084,0.577137,0.599816,0.621823,0.643186,0.663624,0.683036,0.70092,0.71744,0.731804,0.743447,0.752203,0.75786,0.759482,0.756144,0.748594,0.737205,0.722683,0.705421,0.685986,0.665347,0.643974,0.621455,0.59816,0.574999,0.550799,0.527468,0.504369,0.480711,0.456139,0.433707,0.410179,0.38749,0.364679,0.342595,0.320145,0.297467,0.27508,0.252445,0.229546,0.207029,0.183951,0.161519,0.138768,0.115828,2
0.346217,0.360649,0.373805,0.385547,0.39663,0.404882,0.411097,0.415389,0.418278,0.419826,0.419896,0.418883,0.417237,0.415402,0.413525,0.411676,0.409889,0.40827,0.40686,0.405616,0.404421,0.40324,0.402031,0.400786,0.399491,0.398141,0.396773,0.395317,0.393837,0.392335,0.390838,0.389337,0.387886,0.386492,0.385186,0.383939,0.38277,0.381599,0.38045,0.379296,0.378127,0.376963,0.375792,0.374584,0.373401,0.372202,0.371042,0.369837,0.36842,0.366673,0.364044,0.360464,0.355999,0.350233,0.34345,0.333336,0.320936,0.307378,0.29279,2
-0.052708,-0.027427,-0.002113,0.023124,0.048367,0.073578,0.09879,0.124007,0.149198,0.174391,0.199597,0.224857,0.250093,0.275354,0.300557,0.325727,0.350955,0.376127,0.40133,0.426567,0.451802,0.47703,0.502244,0.52734,0.551952,0.575807,0.598503,0.619245,0.63767,0.653337,0.665964,0.675527,0.682142,0.68635,0.688558,0.689237,0.688871,0.687438,0.685163,0.681842,0.677246,0.671478,0.663895,0.654498,0.642941,0.628966,0.612645,0.593847,0.572944,0.550115,0.5257,0.500114,0.473603,0.446509,0.41918,0.391822,0.364572,0.337466,0.310674,2
0.304809,0.327404,0.349954,0.372594,0.395228,0.417898,0.440539,0.463039,0.485535,0.508031,0.530158,0.551943,0.573361,0.593985,0.613859,0.632556,0.650076,0.666048,0.680362,0.692801,0.703257,0.711731,0.718294,0.723027,0.725919,0.726807,0.725301,0.72086,0.71318,0.702244,0.688366,0.671786,0.652823,0.632012,0.609953,0.587181,0.564001,0.540459,0.516873,0.493258,0.469654,0.446043,0.42259,0.39921,0.375914,0.352618,0.329307,0.305999,0.282713,0.25942,0.236155,0.212867,0.189611,0.166316,0.143039,0.119827,0.09656,0.073302,0.050081,2
0.288548,0.310481,0.33045,0.348553,0.364998,0.380101,0.39403,0.406902,0.418619,0.429081,0.438141,0.44537,0.450962,0.454973,0.457481,0.458534,0.458452,0.457541,0.456089,0.454407,0.452725,0.451094,0.449612,0.448281,0.447194,0.446308,0.445575,0.444965,0.444438,0.443921,0.44338,0.44286,0.442395,0.441963,0.441576,0.441271,0.441032,0.440888,0.440771,0.440644,0.440484,0.440302,0.44004,0.439752,0.439424,0.439032,0.438445,0.437518,0.435856,0.432981,0.428245,0.420791,0.411747,0.400359,0.387066,0.37275,0.357437,0.340831,0.322525,2
0.089748,0.115696,0.141673,0.167606,0.193467,0.219414,0.245326,0.271167,0.297042,0.322781,0.348444,0.373997,0.399303,0.424381,0.448903,0.472627,0.495514,0.517157,0.537278,0.555313,0.570881,0.584033,0.594662,0.603045,0.609624,0.614572,0.618299,0.620941,0.622513,0.622966,0.622764,0.622044,0.620905,0.619546,0.618001,0.616321,0.614491,0.61252,0.610419,0.608414,0.606568,0.604958,0.603279,0.601352,0.598547,0.594249,0.587987,0.579266,0.568357,0.555539,0.540586,0.523426,0.503906,0.482345,0.459285,0.435388,0.410922,0.386108,0.361009,1
