@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute target {1,2}

@data
-0.042431,-0.039008,-0.035146,-0.030758,-0.025667,-0.019962,-0.01373,-0.00706,-0.000038,0.007159,0.014269,0.021378,0.0284,0.035509,0.042619,0.049552,0.056135,0.062104,0.067282,0.071495,0.07483,0.0772,0.078429,0.078692,0.07799,0.076147,0.073338,0.070354,0.067194,0.063332,0.058944,0.054029,0.049201,2
0.109121,0.100675,0.092577,0.084595,0.076728,0.069208,0.062036,0.055326,0.048731,0.042947,0.038088,0.034733,0.033692,0.033461,0.033576,0.033576,0.033576,0.033113,0.032419,0.031725,0.030915,0.030221,0.029643,0.028833,0.027676,0.026866,0.025941,0.024321,0.022817,0.022007,0.020851,0.020272,0.020041,2
-0.009406,0.002492,0.014561,0.026402,0.037446,0.047523,0.055777,0.062096,0.066992,0.071091,0.074165,0.075646,0.075816,0.075304,0.073995,0.071888,0.069326,0.066366,0.063064,0.059933,0.057201,0.054183,0.050369,0.046043,0.041545,0.038813,0.03608,0.033234,0.029989,0.026687,0.023726,0.020595,0.01735,1
0.000925,0.001852,0.003068,0.004459,0.005559,0.006139,0.006602,0.006834,0.007182,0.007124,0.00666,0.005559,0.003879,0.001736,-0.000118,-0.001392,-0.002145,-0.002667,-0.001914,-0.000292,0.002315,0.00527,0.009383,0.014481,0.020216,0.026241,0.032439,0.038754,0.044894,0.050977,0.057118,0.062911,0.068588,1
0.162597,0.15943,0.155901,0.15192,0.147576,0.14269,0.137261,0.131289,0.124955,0.11835,0.111473,0.104416,0.097358,0.090481,0.083786,0.077361,0.071208,0.065508,0.060169,0.055374,0.051121,0.047411,0.044244,0.04162,0.039539,0.03782,0.036553,0.035648,0.034924,0.034472,0.034291,0.034472,0.034924,2
-0.002967,0.000469,0.003122,0.005112,0.006498,0.007342,0.007825,0.008066,0.008186,0.008247,0.008367,0.008548,0.008849,0.009211,0.009694,0.010176,0.010658,0.01114,0.011562,0.011924,0.012226,0.012467,0.012587,0.012648,0.012648,0.012648,0.012587,0.012527,0.012406,0.012226,0.011984,0.011743,0.011562,2
0.068285,0.060616,0.053061,0.04585,0.03944,0.033431,0.028051,0.023472,0.019352,0.015632,0.012369,0.010023,0.008249,0.006703,0.004815,0.002983,0.001782,0.001324,0.000866,0.000294,0.000007,0.000122,0.000408,0.000751,0.000923,0.00098,0.000923,0.000866,0.00058,0.000179,-0.000279,-0.000908,-0.001595,1
0.01712,0.015774,0.014195,0.012147,0.010041,0.008052,0.006296,0.004892,0.004073,0.003781,0.004132,0.005068,0.006472,0.008403,0.010743,0.013785,0.017295,0.021683,0.026364,0.031161,0.036134,0.041107,0.045144,0.048303,0.050643,0.052047,0.052574,0.052633,0.052398,0.051755,0.050702,0.049239,0.047484,1
0.03551,0.039382,0.04305,0.046616,0.05008,0.053749,0.057213,0.060677,0.064142,0.066893,0.068931,0.070969,0.072599,0.074739,0.075962,0.077286,0.080241,0.082788,0.084928,0.086966,0.089004,0.090329,0.090431,0.090838,0.091449,0.092061,0.092978,0.094201,0.094608,0.095016,0.095627,0.096239,0.09685,2
-0.185283,-0.180947,-0.175708,-0.169384,-0.162699,-0.155653,-0.148426,-0.14156,-0.134514,-0.126926,-0.118976,-0.110846,-0.102897,-0.094586,-0.085913,-0.076699,-0.067123,-0.057367,-0.047249,-0.036951,-0.026472,-0.016354,-0.006417,0.002978,0.012011,0.020503,0.028272,0.03586,0.044171,0.052663,0.060612,0.068201,0.07615,2
0.074051,0.066907,0.059702,0.052558,0.045053,0.037249,0.029324,0.021519,0.013774,0.00603,-0.001415,-0.008679,-0.016004,-0.023088,-0.029872,-0.036536,-0.04284,-0.048723,-0.054427,-0.05989,-0.064753,-0.069136,-0.073218,-0.07676,-0.079762,-0.082764,-0.085826,-0.088587,-0.091169,-0.09345,-0.095492,-0.097173,-0.098614,1
-0.049351,-0.051478,-0.052053,-0.051708,-0.050501,-0.048546,-0.045958,-0.042336,-0.037563,-0.031928,-0.025718,-0.019163,-0.012378,-0.005191,0.002284,0.009817,0.017292,0.024767,0.032012,0.039372,0.046732,0.053862,0.060532,0.066742,0.072492,0.077782,0.082957,0.088534,0.094112,0.099459,0.104634,0.109809,0.115272,1
0.035616,0.039403,0.043079,0.046421,0.049539,0.052101,0.054106,0.055888,0.057559,0.059007,0.060121,0.061235,0.062349,0.063574,0.065245,0.067138,0.069366,0.071928,0.074156,0.075938,0.078277,0.081619,0.085294,0.088525,0.090975,0.093091,0.094985,0.096433,0.097658,0.098549,0.099329,0.099552,0.098995,2
0.000866,-0.000875,-0.00229,-0.003378,-0.004357,-0.005119,-0.005663,-0.006098,-0.00588,-0.00501,-0.003922,-0.00229,-0.00044,0.001301,0.003042,0.005218,0.00772,0.010223,0.012725,0.015337,0.018274,0.021756,0.025347,0.029046,0.03329,0.037642,0.042103,0.04689,0.051786,0.057118,0.062449,0.067672,0.073112,2
-0.007445,-0.011752,-0.016112,-0.02015,-0.023864,-0.026771,-0.029086,-0.030539,-0.031131,-0.031347,-0.030916,-0.029516,-0.027255,-0.024241,-0.020796,-0.017296,-0.013743,-0.010191,-0.00653,-0.002331,0.002191,0.006767,0.011342,0.01608,0.020925,0.025931,0.030991,0.036105,0.041543,0.047141,0.052471,0.057692,0.056131,1
-0.144913,-0.136872,-0.129102,-0.121648,-0.114014,-0.106334,-0.098429,-0.090749,-0.083476,-0.075932,-0.067801,-0.059489,-0.050228,-0.040426,-0.02981,-0.018381,-0.006319,0.006194,0.019249,0.032214,0.045088,0.058008,0.070521,0.082492,0.093289,0.103453,0.112714,0.120574,0.127305,0.133042,0.137379,0.141534,0.138056,1
-0.02447,-0.021531,-0.018591,-0.015869,-0.013365,-0.010752,-0.007921,-0.005308,-0.002804,-0.000735,0.001334,0.003511,0.006124,0.008519,0.011132,0.013637,0.016032,0.018427,0.020605,0.022565,0.024198,0.025722,0.027464,0.029424,0.031166,0.032908,0.034432,0.035521,0.036827,0.038243,0.039441,0.04042,0.041183,2
-0.126278,-0.120692,-0.115412,-0.110285,-0.105464,-0.100872,-0.096357,-0.092072,-0.08794,-0.083808,-0.079905,-0.076308,-0.072253,-0.067508,-0.062458,-0.057331,-0.052051,-0.046541,-0.040878,-0.035063,-0.028864,-0.022283,-0.015473,-0.008509,-0.001393,0.005954,0.013376,0.020799,0.028222,0.035338,0.042302,0.049189,0.055847,2
0.028093,0.028905,0.029274,0.02957,0.030235,0.031564,0.033854,0.036144,0.038065,0.040059,0.042793,0.045969,0.050623,0.055498,0.057862,0.059561,0.061482,0.062516,0.062368,0.060669,0.059783,0.059192,0.05897,0.059266,0.060448,0.06222,0.064141,0.066579,0.070125,0.074483,0.079358,0.084677,0.090587,1
0.038312,0.042768,0.046471,0.049638,0.052215,0.054254,0.055918,0.057099,0.05769,0.058656,0.059139,0.059032,0.058388,0.057153,0.055167,0.052483,0.049262,0.04572,0.041855,0.037829,0.033535,0.028865,0.023981,0.018935,0.013567,0.007448,0.00047,-0.00742,-0.016384,-0.026583,-0.037963,-0.05004,-0.062815,1
-0.021337,-0.015143,-0.009405,-0.003849,0.001707,0.007171,0.012454,0.017737,0.023019,0.02812,0.032947,0.037228,0.041053,0.044788,0.04834,0.051619,0.054624,0.057357,0.059907,0.062093,0.063914,0.065463,0.066647,0.067831,0.069015,0.070199,0.071201,0.072112,0.073022,0.07366,0.074115,0.074206,0.074115,2
0.056177,0.049513,0.043527,0.037654,0.032119,0.026585,0.021615,0.016646,0.012354,0.008514,0.004899,0.001398,-0.001991,-0.005379,-0.00809,-0.011026,-0.013963,-0.0169,-0.019046,-0.020514,-0.021756,-0.022999,-0.024015,-0.02458,-0.024241,-0.02345,-0.022773,-0.021192,-0.01882,-0.016109,-0.013172,-0.009784,-0.005605,2
-0.051972,-0.051183,-0.050637,-0.050515,-0.050454,-0.050029,-0.049969,-0.050819,-0.052154,-0.053915,-0.056223,-0.059137,-0.062416,-0.066241,-0.070977,-0.076259,-0.081724,-0.087371,-0.092775,-0.098482,-0.104493,-0.110201,-0.114147,-0.118762,-0.122405,-0.125319,-0.128112,-0.129934,-0.130723,-0.130723,-0.129934,-0.128295,-0.125684,1
0.088096,0.087069,0.086042,0.085221,0.084502,0.083835,0.083322,0.082911,0.082398,0.081782,0.081422,0.081114,0.080806,0.080293,0.079728,0.079369,0.079112,0.078599,0.07788,0.07711,0.076494,0.075673,0.074903,0.074184,0.073311,0.072438,0.071617,0.070693,0.069718,0.068742,0.06787,0.0671,0.06633,1
-0.159134,-0.15981,-0.159907,-0.15981,-0.158748,-0.156044,-0.151796,-0.146389,-0.140305,-0.133836,-0.128139,-0.122249,-0.115876,-0.108924,-0.101876,-0.09502,-0.088068,-0.080826,-0.073295,-0.06586,-0.059004,-0.051376,-0.043748,-0.035541,-0.026754,-0.017774,-0.008794,0.000089,0.008489,0.016021,0.023359,0.030022,0.035429,2
-0.10653,-0.10578,-0.104529,-0.102778,-0.101027,-0.099026,-0.097275,-0.095524,-0.094274,-0.093774,-0.092773,-0.090772,-0.089271,-0.08777,-0.086019,-0.084018,-0.081767,-0.079766,-0.078015,-0.076014,-0.074763,-0.074013,-0.073262,-0.074013,-0.074763,-0.075013,-0.075514,-0.075764,-0.075514,-0.075264,-0.074763,-0.073513,-0.071762,2
