@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute target {1,2}

@data
-4.077372,-4.070289,-3.938925,-2.999558,-3.139129,-2.98991,-2.576556,-1.276811,2.636305,5.810784,6.981237,7.181496,7.149184,7.04433,7.062297,7.057882,7.008049,6.731547,4.297012,0.366795,-2.723844,-3.452722,-3.497522,-3.524119,-4.468654,-5.738374,-5.421131,-5.208727,-5.108322,-5.114954,1
-5.677773,-5.551537,-5.623437,-5.1455,-3.82063,-3.42822,-3.329094,-2.78343,1.02988,4.589869,6.031051,6.098413,6.107144,6.032517,6.039072,6.012963,5.986087,6.015739,5.982618,5.774847,4.451848,1.334196,-2.106971,-4.014718,-4.16809,-4.244322,-4.433316,-5.862998,-5.759661,-5.536549,1
-6.214084,-6.939778,-6.461026,-6.688125,-5.490366,-4.162959,-4.047297,-3.940812,-2.663363,1.214605,4.084646,5.292128,5.507668,5.496842,5.472643,5.410261,5.424607,5.411235,5.407288,5.375334,5.384255,5.311379,4.677147,2.234617,-0.961802,-4.038896,-5.046056,-4.952067,-4.972362,-5.125663,1
-6.000611,-5.824634,-5.798508,-5.739455,-4.119665,-3.141868,-3.134342,-1.016348,2.995647,5.406947,6.054651,6.007711,5.980341,5.963833,5.921263,5.923766,5.912817,5.958659,5.789159,5.390741,3.401148,0.287587,-2.743598,-3.929819,-4.173655,-4.070007,-4.393389,-4.543764,-6.382641,-5.981966,1
-3.028088,-2.947374,-2.883429,-2.83669,-2.793653,-2.882106,-3.027606,-3.076697,-2.877776,-2.673044,-2.154836,0.894861,5.945824,9.620895,9.982343,10.105257,10.176569,9.066903,5.396121,2.112041,-2.4509,-4.313655,-3.879618,-3.39186,-3.16154,-3.030157,-2.86026,-2.922894,-3.023433,-3.085197,2
-5.818844,-5.767099,-5.861385,-4.998539,-3.673223,-3.755698,-3.565379,-2.992976,0.600013,3.961036,5.72292,6.129509,6.251618,6.259242,6.23156,6.204253,6.160526,6.130246,6.130502,5.856346,4.456299,0.986524,-2.228982,-3.818596,-3.973633,-4.122389,-4.115094,-5.074652,-5.708411,-5.605695,1
-4.040498,-3.969583,-3.94567,-3.894772,-3.932578,-3.857005,-3.905554,-3.7433,-3.970953,-2.25117,2.442628,5.387952,7.707715,7.905191,8.18413,8.12998,8.184284,8.170534,7.227564,4.15705,1.009967,-2.902064,-3.783003,-3.56257,-3.471922,-3.416421,-3.536406,-3.503644,-3.463411,-3.356471,2
-3.077615,-3.030143,-3.086165,-3.138365,-3.135745,-3.193683,-3.195089,-3.248334,-3.167882,-3.074384,-1.231846,2.262721,6.578123,9.283149,9.114609,9.460067,9.174553,9.245658,6.645561,3.177123,-1.103899,-4.635193,-4.515448,-3.891784,-3.221069,-3.049376,-2.927039,-2.865911,-2.980138,-3.172454,2
-5.259626,-5.203509,-5.306751,-4.852888,-4.203636,-3.858331,-3.654655,-2.037288,1.688797,4.435112,6.071829,6.11698,6.22175,6.15729,6.216489,6.214531,6.271446,6.304093,6.3666,5.990966,3.252938,-0.460809,-3.282698,-4.064327,-4.079246,-3.984402,-4.639188,-5.741597,-5.337474,-5.342395,1
-5.409029,-5.444845,-5.368905,-5.497554,-2.632932,3.050913,4.918923,5.102127,5.09325,5.180562,5.038339,5.002984,4.984844,4.988772,4.934627,4.971711,4.955136,5.014454,4.911224,3.803816,0.896061,-2.716168,-5.460084,-5.969201,-5.716774,-5.714529,-5.712714,-5.730011,-5.730569,-5.74443,2
-4.246168,-4.176249,-4.161923,-4.170632,-4.166343,-4.179875,-4.075305,-3.392797,-3.258741,-2.96148,-1.600067,2.797497,6.840728,7.596855,7.649956,7.707074,7.658376,7.572015,7.410743,7.539901,5.182151,0.706939,-2.15839,-3.100268,-3.086885,-3.070639,-3.99344,-4.455733,-4.340098,-4.067202,1
-3.824128,-3.407729,-3.781696,-5.523,-5.700214,-4.133978,-3.066225,-2.455276,2.018208,5.407623,6.470222,6.618276,6.665541,6.673289,6.647854,6.605228,6.531972,6.317553,5.731079,4.125837,1.274539,-1.957863,-3.967411,-4.168388,-4.3516,-4.350012,-4.913933,-5.414759,-5.085192,-4.985815,1
-5.861941,-5.614075,-5.6269,-5.50451,-4.3201,-3.244754,-3.268208,-2.250753,1.31191,4.664634,6.003212,6.159488,6.045427,6.087982,5.995881,6.070962,6.022014,6.017492,5.951527,5.831923,4.150232,0.816686,-2.426814,-3.646652,-4.078318,-4.04429,-4.324679,-4.493819,-6.007214,-6.416344,1
-8.703889,-8.576307,-8.638397,-8.521116,-8.668693,-5.747909,0.820204,3.174821,3.40316,3.471991,3.488289,3.43511,3.408665,3.394672,3.363991,3.342871,3.32478,3.305148,3.280207,3.277077,3.256398,3.248927,3.22182,3.203625,3.122554,2.817863,2.033984,-0.781316,-6.402559,-9.355975,2
-3.561942,-3.548242,-3.534006,-3.564988,-3.503426,-3.555449,-3.149819,-2.837858,-2.634641,-1.688229,2.099193,7.964221,10.11374,10.243364,10.176013,10.129464,7.93684,3.515381,-0.194061,-2.347937,-2.677983,-2.537767,-2.323113,-2.454153,-3.206693,-3.286419,-3.125127,-2.782758,-2.813582,-2.850021,1
-4.853839,-4.911421,-4.863646,-4.76474,-0.595668,5.159615,6.200928,6.125117,6.099633,6.08314,5.991736,6.012406,5.92327,5.942298,5.84993,5.406136,4.555235,2.873997,-1.14634,-4.611423,-5.142429,-4.656724,-4.563568,-4.540558,-4.552158,-4.564284,-4.597923,-4.610813,-4.616202,-4.631704,2
-5.169556,-5.464967,-5.288459,-5.055721,-3.922563,-3.652114,-3.597793,-1.29686,2.764938,5.307282,6.149563,6.091223,6.163377,5.992992,6.032676,5.928201,5.98506,5.906435,5.949694,5.52311,3.48238,-0.008101,-2.969596,-4.370383,-4.228931,-4.423343,-4.266052,-5.737093,-6.106677,-5.718723,1
-5.406121,-5.363525,-5.450653,-4.707667,-3.747077,-3.613366,-3.499568,-2.353859,1.664302,4.752598,6.129964,6.110127,6.162936,6.094667,6.120181,6.122094,6.233865,6.183182,6.140721,5.592022,3.67859,0.319584,-2.985052,-4.232247,-4.154483,-4.268512,-4.246478,-5.309753,-6.069926,-5.896545,1
-5.042242,-5.081529,-5.112178,-4.679002,0.546959,4.756139,5.087227,5.248636,5.091707,5.140409,5.052872,5.1003,4.976267,5.003052,4.892545,5.012383,4.945884,4.930561,4.308183,2.552066,-1.668306,-5.385689,-5.943594,-5.833028,-5.785692,-5.713269,-5.631829,-5.574985,-5.583965,-5.609882,2
-7.586133,-7.204959,-6.676586,-6.650646,-6.491213,-5.304046,-4.665978,-4.789708,-2.379743,1.181886,3.827542,4.66206,4.719924,4.775726,4.821125,4.785004,4.790072,4.777102,4.777277,4.748735,4.756749,4.728209,4.641046,4.606029,3.844391,0.909346,-2.752713,-5.246324,-5.753884,-5.850291,1
-4.83201,-4.765617,-4.84485,-4.124006,-3.058553,-2.818549,-2.249701,-0.478516,3.866362,6.492871,7.146626,7.095687,7.178442,7.114156,7.241597,7.198069,7.127596,6.097955,2.809831,-1.312106,-2.918823,-2.995843,-3.12514,-3.790954,-5.145625,-4.932398,-4.535005,-4.527973,-4.454712,-4.458811,1
-7.41907,-7.376981,-7.457484,-7.345791,-7.483579,-3.286561,2.670017,3.822621,4.127749,4.090345,4.121459,3.850089,3.954433,3.890541,3.975105,3.93151,3.989042,3.980182,4.018785,3.999798,3.941682,3.974337,3.988737,3.142417,0.703777,-3.125172,-6.060866,-6.932661,-6.812918,-6.871543,2
-4.881796,-4.923763,-4.866887,-5.03431,-1.834301,3.979657,5.406969,5.508458,5.459061,5.526058,5.495139,5.536471,5.51873,5.542219,5.521875,5.488909,5.460102,5.173089,3.474126,-1.006793,-5.394595,-5.843392,-5.12569,-4.952376,-4.966235,-4.872547,-4.8494,-4.852124,-4.84288,-4.843774,2
-3.641401,-3.693793,-3.807724,-3.897501,-3.902065,-3.901364,-3.827174,-3.02374,-2.8141,-2.428286,0.347185,6.125865,8.535298,8.530116,8.549371,8.588835,8.469091,8.305608,6.337404,2.339475,-1.261474,-2.872691,-3.009934,-2.627008,-2.45772,-3.674336,-3.947299,-3.797788,-3.786964,-3.755887,1
-3.199071,-3.141687,-3.065431,-3.036064,-2.995397,-3.045807,-3.050371,-3.103577,-3.072364,-2.510553,0.574243,4.413023,8.634739,9.832197,9.906863,9.95154,9.686102,7.021998,3.680654,-0.769945,-3.844552,-3.512059,-3.367235,-3.168256,-3.196238,-3.151347,-3.209376,-3.142774,-3.09624,-3.023014,2
-3.051664,-3.099221,-3.138641,-3.209371,-3.270955,-3.35713,-3.244125,-2.732345,-2.767508,-1.761677,2.972668,8.258265,9.76181,9.830021,9.941729,9.795608,8.168573,4.248834,0.378609,-2.363896,-2.816307,-2.882019,-2.411096,-2.37661,-3.686974,-3.990071,-3.556995,-3.199053,-3.236839,-3.20362,1
-6.461351,-6.483498,-6.571143,-6.478425,-6.326903,-2.26407,3.027551,4.583192,4.852258,4.336712,4.452031,4.514064,4.579661,4.599166,4.628123,4.640517,4.538069,4.31531,4.344004,4.626318,4.541342,3.833424,1.804781,-2.176062,-5.299805,-6.147858,-6.014689,-5.998812,-5.980937,-6.012969,2
-2.740901,-2.813731,-2.845,-2.86923,-2.834434,-2.892401,-2.827517,-2.94582,-2.831792,-2.79469,-0.399858,3.524102,7.883581,9.995842,10.052346,10.132849,9.928355,7.371933,3.882494,0.289008,-3.330093,-3.609482,-3.436061,-3.476439,-3.565717,-3.420251,-3.447699,-3.411355,-3.309705,-3.258336,2
-8.118056,-8.098111,-8.125852,-8.053746,-8.049728,-4.962249,1.177869,3.273007,3.370786,3.458118,3.479161,3.447714,3.473255,3.484318,3.495537,3.47501,3.503798,3.510235,3.520345,3.482636,3.497645,3.50004,3.51376,3.509652,3.332895,2.71605,0.660243,-4.09066,-8.335377,-9.048298,2
-5.575523,-5.567169,-5.647003,-5.547657,-5.670726,-2.362088,3.453681,4.889912,4.887398,4.799642,4.857647,4.78387,4.836791,4.792509,4.823767,4.75996,4.802845,4.789024,4.835361,4.822066,4.442417,2.424316,-1.70105,-5.244207,-6.135529,-5.994888,-5.912713,-5.893649,-5.871452,-5.877555,2
-3.65011,-3.454643,-3.48936,-3.461216,-3.513401,-3.449454,-3.440581,-3.328237,-3.459265,-2.579463,1.392958,5.246969,8.233463,8.560916,8.598877,8.636122,8.446525,8.405658,6.305324,2.880572,-0.042647,-3.542981,-4.220055,-3.853375,-3.641451,-3.508074,-3.443526,-3.550909,-3.55183,-3.526807,2
-5.758049,-5.71613,-5.74237,-5.401761,-3.932025,-3.614814,-3.583781,-3.454041,-3.311557,0.237371,3.818037,5.523052,5.983222,6.074359,6.130179,6.179343,6.175258,6.184219,6.165653,6.18563,6.020806,4.860124,1.537824,-1.925953,-3.971576,-4.280275,-4.413495,-4.293776,-5.495427,-6.180047,1
-4.861871,-4.797617,-4.830667,-4.032786,-3.214867,-3.107377,-2.589731,-0.716357,3.69248,6.066891,6.735186,6.776396,6.744336,6.669313,6.738187,6.716672,6.70024,6.464601,5.084781,1.914942,-1.23449,-3.109871,-3.745775,-3.967063,-4.108826,-5.411442,-5.4076,-5.072055,-5.073078,-5.022551,1
-6.031735,-5.307949,-5.142738,-5.20295,-4.101152,-3.051721,-3.103344,-2.017078,1.663865,4.834638,6.240354,6.521452,6.496644,6.477583,6.438108,6.406762,6.413607,6.357706,6.289733,5.023242,1.713186,-1.837819,-3.417973,-3.688503,-3.75082,-3.973816,-3.873571,-5.327554,-5.889305,-5.158854,1
-5.180334,-5.228925,-5.182241,-5.252253,-1.391773,4.17668,4.978184,4.946744,4.972189,5.012699,5.005191,5.0753,5.073667,5.073821,5.046152,4.977056,4.873867,4.78568,4.539853,3.388565,0.682841,-3.731402,-6.185075,-6.040214,-5.765135,-5.695625,-5.728797,-5.71441,-5.757144,-5.755162,2
-2.827311,-2.81729,-2.809699,-2.86789,-2.995744,-3.180977,-3.317459,-3.210849,-3.126805,-1.125266,3.273996,7.155937,9.300003,9.408522,9.551388,9.461394,8.495662,5.742092,2.990891,-1.456546,-3.995447,-3.715387,-3.369444,-3.347041,-3.374633,-3.444452,-3.546211,-3.603666,-3.634263,-3.613508,2
-3.074732,-3.035743,-3.04322,-3.019169,-2.942116,-2.989742,-2.706767,-2.609489,-2.947237,-1.900295,3.017506,7.904174,9.152964,9.074399,9.272695,9.170051,9.04847,6.467072,1.896298,-1.484712,-2.737598,-3.035039,-3.158597,-3.0938,-3.330417,-3.869734,-4.130791,-3.933652,-3.950044,-4.010735,1
-3.884268,-3.827399,-3.687033,-3.627845,-3.521029,-3.618212,-3.534942,-3.592883,-3.303288,-3.377808,-2.543137,4.790331,7.974443,8.983749,8.79001,8.943777,8.721211,8.32697,5.834307,2.843199,-1.709669,-3.688425,-3.062857,-2.783343,-2.668455,-2.553991,-2.580241,-2.557963,-2.558139,-2.527071,2
-3.509503,-3.50867,-3.50637,-3.505479,-3.470734,-3.479098,-3.378679,-3.065038,-3.081083,-2.182273,2.853913,8.375255,9.262904,9.210393,9.228102,9.158533,8.896955,6.162458,1.807583,-1.674878,-2.983115,-3.002121,-2.89798,-2.093412,-2.76342,-3.629539,-3.555641,-3.275113,-3.187338,-3.206613,1
-7.158139,-7.188241,-7.08091,-7.259388,-4.938158,1.218041,3.55865,3.801832,3.917369,3.954804,3.933018,3.963868,3.95346,3.931309,3.921641,3.925367,3.901634,3.9478,3.901716,3.885514,3.884792,3.931965,3.533905,2.394058,-0.661812,-5.231615,-7.850012,-7.673242,-7.251527,-7.1677,2
