@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute target {1,2}

@data
-0.715636,-0.708484,-0.600555,-0.644442,-0.606732,-0.553093,-0.249789,-0.206877,0.263521,0.321711,0.415336,0.619489,1.213745,1.580766,2.101227,2.306681,2.367472,2.330087,2.389578,2.736444,2.855425,2.837545,2.599583,2.601208,2.458171,1.672115,1.483891,1.606123,1.580116,1.402294,0.939048,0.672478,0.459222,0.453696,0.072046,0.049615,0.595108,0.88996,0.942949,0.868504,0.406558,0.211182,0.177373,0.478727,0.446869,0.139989,0.128611,0.214433,0.181599,-0.17957,-0.326509,-0.994559,-1.106388,-1.193186,-1.186684,-1.144423,-0.966601,-0.976679,-0.862249,-0.915563,-0.873302,-0.794631,-0.637615,0.104879,0.254744,0.266122,0.146165,-0.121055,-0.80731,-1.167179,-1.320944,-1.378809,2
-0.686323,-0.719971,-0.619708,-0.664572,-0.633303,-0.584362,-0.367523,-0.250947,0.179331,0.241528,0.336352,0.540615,1.132672,1.488179,1.978614,2.170982,2.22944,2.217544,2.294355,2.634228,2.744346,2.721235,2.475847,2.466331,2.325284,1.580964,1.397093,1.429381,1.526244,1.508571,1.333197,0.880827,0.621845,0.416222,0.399908,0.051199,0.109317,1.083051,1.128254,1.021534,0.556929,0.26158,0.237789,0.5277,0.498811,0.171514,0.259201,0.205501,-0.118057,-0.364804,-0.943267,-1.144811,-1.237936,-1.238616,-1.207008,-0.984051,-1.047607,-1.016679,-0.848102,-0.731526,-0.415105,0.216037,0.327855,0.493033,0.50187,0.450889,0.334992,-0.793043,-1.190014,-1.3331,-1.398695,-1.442539,2
-0.465798,-0.422706,-0.25168,-0.374262,-0.346159,-0.026321,0.098938,0.838984,0.935872,1.018575,1.11921,1.537008,1.839717,2.505892,2.583242,2.637307,2.73473,3.053498,3.098731,3.023789,2.717868,2.594483,2.399903,1.616499,1.446543,1.56752,1.557349,1.413355,1.037845,0.909107,0.75628,0.487562,0.401915,0.035506,-0.030871,-0.033279,0.148186,0.330453,0.354809,0.054509,-0.015079,-0.003303,0.285221,0.226606,0.034971,0.034168,0.14203,0.151397,-0.007853,-0.18905,-0.77493,-0.881186,-0.980484,-1.040437,-1.262049,-1.038563,-0.982625,-0.943013,-1.040972,-1.039634,-1.012066,-0.93311,-0.881454,-0.727289,-0.398083,-0.301997,-0.356865,-0.471686,-0.902866,-1.022772,-1.105207,-1.136522,2
-0.582667,-0.580101,-0.451785,-0.527812,-0.495412,-0.220175,-0.170132,-0.061063,0.516358,0.694075,0.83811,1.335334,1.65067,2.125118,2.316629,2.387844,2.429868,2.526746,2.864858,2.935432,2.880256,2.599886,2.523538,2.342292,1.571756,1.394359,1.427721,1.523958,1.517863,1.361318,0.95199,0.723267,0.538813,0.402798,-0.003321,-0.03123,0.062441,0.806993,0.857678,0.780689,0.479788,0.240479,0.144563,0.125957,0.376494,0.418517,0.391571,0.11505,0.10703,0.188832,0.162206,-0.190342,-0.345604,-0.887738,-1.080533,-1.177732,-1.185752,-1.145974,-1.001939,-1.041717,-0.81524,-0.729268,-0.481298,0.110238,0.240158,0.243366,0.094199,-0.715795,-0.964728,-1.15656,-1.302519,-1.362186,2
-0.546347,-0.509174,-0.35065,-0.460634,-0.43237,-0.360174,0.006642,0.678832,0.862547,0.971916,1.402633,1.697561,1.890186,2.143639,2.331348,2.484957,2.593097,2.927963,2.985105,2.917824,2.604771,2.497245,2.314759,1.549483,1.388809,1.535351,1.53658,1.397411,1.012469,0.879137,0.725529,0.462551,0.035521,-0.010254,0.041972,0.655176,0.712318,0.665314,0.347038,0.157178,0.084983,0.097271,0.278529,0.364242,0.344273,0.070543,0.069007,0.176226,-0.076306,-0.286135,-0.928217,-1.0382,-1.135281,-1.153714,-1.209013,-1.35494,-1.419763,-1.130058,-1.079367,-1.019153,-1.093192,-0.824685,-0.791813,-0.569081,-0.048964,0.097271,0.069622,-0.196428,-0.918693,-1.113161,-1.248951,-1.303942,2
-0.690797,-0.694468,-0.56434,-0.590699,-0.529973,-0.44856,-0.097549,0.393265,0.579447,0.753618,1.282803,1.611792,2.251419,2.344843,2.431595,2.726551,2.797954,2.755246,2.505,2.458288,2.302468,1.584765,1.435286,1.599113,1.59611,1.435619,0.982842,0.706238,0.509378,0.417622,0.042254,0.072284,0.892754,0.949476,0.873402,0.421626,0.260134,0.208417,0.177053,0.341214,0.449987,0.141018,0.189065,-0.134252,-0.378491,-1.045144,-1.155586,-1.248677,-1.254016,-1.189619,-0.954055,-0.940375,-1.003103,-0.968736,-0.914016,-0.913682,-0.848952,-0.917353,-0.860297,-0.770542,-0.598707,-0.493604,0.08563,0.359899,0.374913,0.241783,-0.028815,-0.767206,-1.072171,-1.174271,-1.348108,-1.415507,2
-1.040609,-1.02135,-0.85717,-0.891836,-0.542773,0.08265,0.298347,0.45723,0.993101,1.469271,1.857814,2.025845,2.423535,2.472164,2.248282,2.208802,2.0374,1.334461,1.196761,1.390792,1.416791,1.288721,0.85781,0.576634,0.37827,0.260311,-0.073345,0.02006,1.223242,1.354682,1.205909,0.695074,0.515006,0.27957,0.296902,0.495748,0.730703,0.678705,0.479859,0.308939,0.319531,0.630558,0.589152,0.005134,-0.092122,-0.652066,-1.089237,-1.250528,-1.229343,-1.121976,-1.151827,-1.045424,-1.036276,-0.355483,-0.272671,-0.42674,-0.592364,-0.777247,-0.890873,-0.581291,-0.322744,0.257422,0.579041,0.620447,0.538598,0.342642,-0.083455,-0.915909,-1.547111,-1.691069,-1.903876,-2.045909,2
-0.461859,-0.450954,-0.318847,-0.438803,-0.445346,-0.419797,-0.10386,0.00706,0.313026,0.668533,0.85392,0.986962,1.462425,1.778984,2.432356,2.510561,2.562906,2.656067,2.962033,3.010638,2.954243,2.686289,2.587832,2.397148,1.623197,1.449027,1.484858,1.576149,1.568983,1.423166,1.019054,0.782881,0.602479,0.460089,0.380015,0.035725,-0.018177,0.012357,0.461647,0.510876,0.477226,0.10209,0.040399,0.409614,0.358828,0.131378,0.229524,-0.030329,-0.403595,-0.741342,-0.956328,-1.021447,-0.991848,-1.030795,-1.009296,-0.818301,-0.813939,-1.066002,-1.193125,-1.09716,-0.95072,-0.965987,-0.870022,-0.662513,-0.362156,-0.185181,-0.220701,-0.464975,-1.004622,-1.228021,-1.291894,-1.324921,2
-0.552835,-0.521913,-0.349036,-0.481856,-0.500831,-0.185645,-0.055987,0.297498,0.721611,0.834403,0.939816,1.043472,1.469342,1.952837,2.404005,2.616588,3.070919,3.107462,3.03297,2.729029,2.583207,2.381517,1.597243,1.426473,1.460206,1.550158,1.546996,1.409607,1.004821,0.862162,0.710718,0.416615,-0.019092,-0.076718,-0.086908,0.037831,0.330528,0.305931,0.029749,-0.019795,0.454213,0.437347,0.267983,0.211762,0.286606,0.3871,0.416264,0.078942,-0.029282,-0.313547,-0.6716,-0.862749,-0.864155,-0.804772,-0.858181,-0.828666,-0.539482,-0.492398,-0.620299,-0.984677,-1.101686,-1.101686,-1.078846,-0.943215,-0.961486,-0.847289,-0.61046,-0.461125,-0.709549,-1.203936,-1.414763,-1.496634,2
-0.548762,-0.504022,-0.340664,-0.434853,-0.337426,-0.07517,0.049629,0.795484,0.893793,0.998872,1.115136,1.572833,1.751202,1.876002,2.075564,2.336937,2.52708,2.606551,2.673366,2.777856,3.070724,3.106044,3.031871,2.732528,2.608612,2.404046,1.626108,1.467165,1.59844,1.586667,1.438909,1.04008,0.897914,0.676277,0.452874,0.366632,-0.002174,-0.06634,-0.072521,0.032263,0.337198,0.320715,0.010188,-0.036612,-0.011005,0.318361,0.295108,0.092603,0.101433,0.197976,0.193561,-0.056627,-0.203502,-0.701818,-0.849282,-0.943176,-0.96378,-0.926693,-0.959953,-0.941704,-0.78335,-0.976142,-0.925221,-0.900202,-0.819553,-0.406302,-0.365977,-0.428966,-1.005576,-1.13067,-1.219266,-1.249877,2
-0.949242,-0.954774,-0.775466,-0.822483,-0.484611,-0.3915,0.248751,0.6341,1.099192,1.546769,1.945946,2.206379,2.684378,2.720332,2.653495,2.356647,2.200387,2.026611,1.362391,1.231944,1.409868,1.431994,1.299703,0.877017,0.612896,0.257048,-0.067457,-0.003846,1.086286,1.202444,1.0637,0.518403,0.304525,0.190211,0.201274,0.45848,0.641936,0.597224,0.392104,0.280556,0.518403,0.518403,0.363065,0.079584,-0.108481,-0.532549,-0.937258,-1.112416,-1.205988,-1.225348,-1.07001,-1.119331,-1.059408,-0.869499,-0.553752,-0.446353,-0.485994,-0.865811,-0.88978,-0.803584,-0.893468,-0.657004,-0.434829,0.219711,0.54606,0.535919,0.339557,-0.068379,-1.099971,-1.643885,-1.902474,-1.955022,2
-0.951662,-0.946699,-0.832045,-0.876715,-0.788863,-0.442419,0.084196,0.306555,0.466376,1.16671,1.444163,1.825351,2.006018,2.385717,2.433862,2.244757,2.198101,2.030339,1.352837,1.220314,1.426791,1.446149,1.313626,0.715042,0.587979,0.379517,0.241039,-0.096471,-0.006634,1.20195,1.338443,1.341421,1.202943,0.607337,0.386466,0.28968,0.294147,0.476303,0.723976,0.661934,0.349241,0.339314,0.630664,0.653992,0.533878,0.018679,-0.091012,-0.654852,-1.099571,-1.26783,-1.24202,-1.1363,-1.119425,-1.017675,-0.41115,-0.262248,-0.295007,-0.659815,-0.879197,-0.771492,-0.580401,-0.314364,0.276279,0.598402,0.63811,0.559192,-0.084063,-0.958611,-1.40879,-1.884282,-2.036162,-2.10962,2
-0.443994,-0.445568,-0.306733,-0.436753,-0.409049,-0.092971,0.019105,0.679594,0.861245,0.985283,1.443659,1.760367,1.965629,2.231336,2.429986,2.509636,2.564099,2.657285,2.97116,3.024364,2.963604,2.698527,2.606914,2.411727,1.628458,1.454993,1.482697,1.571161,1.562976,1.417215,1.018339,0.781911,0.594593,0.437814,0.009975,-0.037248,-0.00797,0.455444,0.503611,0.47024,0.098124,0.039568,0.066013,0.294571,0.404128,0.355331,0.143458,0.249867,-0.044803,-0.412197,-0.738979,-0.953685,-1.02263,-0.983908,-0.99776,-0.81422,-0.810442,-0.864276,-1.195466,-1.20554,-1.093465,-0.95337,-0.863962,-0.646737,-0.356789,-0.180805,-0.217954,-0.489957,-0.846961,-1.027038,-1.239855,-1.338708,2
-0.52923,-0.505658,-0.332568,-0.494401,-0.407855,-0.153144,0.149765,0.757694,0.871681,0.975113,1.069399,1.484536,1.958073,2.211025,2.403817,2.622292,3.069443,3.106383,3.028281,2.72502,2.583592,2.378135,1.591838,1.430708,1.560878,1.554898,1.416284,1.016627,0.871681,0.708793,0.383719,-0.059914,-0.116907,-0.106001,0.020651,0.283805,0.265159,0.016781,-0.035287,-0.012771,0.454785,0.447749,0.279232,0.231033,0.411512,0.441416,0.081866,0.025224,-0.322717,-0.65553,-0.841638,-0.852192,-0.792384,-0.80716,-0.502844,-0.453239,-0.581298,-1.049558,-1.128715,-1.092127,-0.964068,-0.943663,-0.916925,-0.867672,-0.860636,-0.643217,-0.498974,-0.532748,-0.76248,-1.060112,-1.417552,-1.497061,2
-0.509504,-0.486054,-0.320711,-0.315071,-0.418373,-0.429059,-0.338819,-0.082345,0.047673,0.386967,0.777021,0.877948,0.98689,1.107706,1.560394,1.742063,1.870596,2.507922,2.586883,2.656048,2.758459,3.055897,3.087957,3.012855,2.717198,2.590445,2.38859,1.615607,1.45442,1.586219,1.574939,1.43097,1.032901,0.794831,0.452866,0.372125,0.016801,-0.044942,-0.041677,0.059547,0.357282,0.334722,0.020364,-0.019117,0.339768,0.294945,0.130493,0.10259,0.19758,0.19283,-0.061269,-0.22483,-0.722639,-0.860672,-0.954474,-0.950022,-1.049465,-0.800709,-0.818223,-0.953584,-0.986534,-0.922712,-0.947053,-0.792694,-0.403531,-0.327835,-0.394032,-0.536814,-0.992767,-1.131097,-1.227572,-1.260225,2
-0.892482,-0.910346,-0.737067,-0.724116,-0.791998,-0.80093,-0.714291,-0.462411,-0.054671,0.276702,0.608522,1.044844,1.480274,1.900073,2.193039,2.706622,2.752621,2.695457,2.395792,2.247076,2.068439,1.387829,1.244472,1.408819,1.417304,1.288238,0.879158,0.634871,0.306177,-0.114961,-0.024749,1.071194,1.189094,1.185522,1.045291,0.504465,0.253926,0.206587,0.228023,0.47633,0.665686,0.617454,0.401749,0.295459,0.49866,0.480796,0.440156,-0.263677,-1.030926,-1.180982,-1.217602,-1.104167,-1.3163,-1.1524,-0.557983,-0.446781,-0.480722,-0.804503,-0.770561,-0.361928,0.242314,0.480349,0.529028,0.412467,0.261071,-0.573613,-1.07112,-1.453404,-1.58247,-1.80934,-1.870523,-1.892407,2
-0.549122,-0.552455,-0.464755,-0.512708,-0.475012,-0.4227,-0.192166,-0.090875,0.135556,0.369167,0.391734,0.473792,0.68612,1.277199,1.695955,2.328065,2.560393,2.615783,2.514235,2.547572,2.723229,2.972995,3.137882,3.148396,2.889142,2.854523,2.884013,2.750667,1.914181,1.68416,1.729805,1.664927,0.9823,0.833569,0.499179,0.479177,0.547132,0.490973,0.096066,0.02093,0.001698,0.161456,0.392246,0.431224,0.268902,0.052985,0.021187,0.049907,0.315316,0.252234,0.073499,0.204537,0.204793,0.088629,-0.162933,-0.761449,-0.903257,-0.971468,-1.041731,-0.914796,-0.987367,-0.955569,-0.892486,-0.91018,-0.752987,-0.355514,-0.26089,-0.328076,-0.831199,-0.958133,-1.064041,-1.088658,2
-1.247108,-1.253067,-1.12058,-0.923454,-0.019426,0.100225,0.33265,0.97904,1.199546,1.489733,1.864272,1.894071,2.317662,2.324539,2.235144,2.26265,2.132455,1.484691,1.366874,1.581878,1.602966,1.450308,0.928612,0.728736,0.369325,0.304227,0.336776,0.000287,0.064926,1.188085,1.338451,1.351287,1.214215,0.632006,0.34136,0.304686,0.49356,0.705814,0.65447,0.343653,0.301477,0.598999,0.614128,0.509605,0.093807,-0.10011,-1.05044,-1.184302,-1.22602,-1.133416,-1.157713,-1.098575,-0.994511,-0.272022,-0.147328,-0.217469,-0.479692,-0.94225,-0.912452,-0.822141,-0.445768,0.389954,0.618254,0.638425,0.58112,0.431672,0.008539,-1.058692,-1.479074,-1.617521,-1.854072,-1.944841,2
-0.906577,-0.900808,-0.724288,-0.748516,-0.688907,-0.300485,0.329835,0.546736,0.736717,1.331657,1.898522,2.161572,2.352322,2.44039,2.519613,2.836119,2.915726,2.883037,2.684211,2.659983,2.487308,1.713156,1.544327,1.686236,1.672776,1.495486,0.997844,0.689799,0.474821,0.410596,-0.032051,-0.075123,0.201002,0.539814,0.59827,0.540583,0.258304,0.10755,0.056786,0.0764,0.565196,0.548275,0.335989,0.265996,0.51674,0.47059,0.124856,-0.01436,-0.235492,-0.886579,-0.973878,-1.011182,-0.945804,-0.997722,-0.939266,-0.709674,-0.307407,-0.245875,-0.293563,-0.645065,-0.930805,-0.913884,-0.992338,-0.97234,-0.790435,-0.372401,-0.239337,-0.353556,-1.268848,-1.459982,-1.590354,-1.634195,2
-0.64272,-0.632487,-0.46303,-0.482895,-0.367014,-0.243609,0.009523,0.608491,0.789987,0.945899,1.452163,1.65232,1.80131,2.014109,2.285601,2.485758,2.552277,2.555588,2.636855,2.971856,3.054025,3.010382,2.753338,2.697956,2.523081,1.720645,1.53674,1.57316,1.668273,1.652922,1.486776,1.045527,0.783967,0.595849,0.496222,0.411042,0.033602,-0.031111,-0.029907,0.092897,0.454384,0.432111,0.073934,0.005911,0.363787,0.335193,0.110655,0.256033,-0.05218,-0.216219,-0.82843,-0.928359,-1.012636,-1.035812,-0.998188,-0.752882,-0.713152,-0.754989,-0.952739,-0.984945,-0.94401,-0.896755,-0.746862,-0.370927,-0.272203,-0.264678,-0.342032,-0.497644,-0.916018,-1.148381,-1.243795,-1.277205,2
-0.769957,-0.731059,-0.549214,-0.561856,-0.513234,-0.167047,0.246887,0.589184,0.792748,0.945096,1.45368,1.650436,1.787874,2.446213,2.518498,2.54994,2.653018,2.972625,3.039075,2.982674,2.708447,2.626438,2.446537,1.673126,1.498736,1.548006,1.659188,1.654974,1.493874,1.05174,0.77492,0.582053,0.461147,0.377193,-0.00627,-0.066886,-0.042899,0.075414,0.466982,0.531162,0.492913,0.091946,0.026468,0.032951,0.207017,0.406691,0.384325,0.136353,0.287729,0.308475,0.291619,-0.238683,-0.874008,-1.021818,-1.033811,-0.997183,-1.005286,-0.884704,-0.650996,-0.606263,-0.622147,-0.840621,-0.973196,-0.818903,-0.325878,-0.20173,-0.288277,-0.483737,-0.966065,-1.227002,-1.338508,-1.377405,2
