@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute target {1,2}

@data
-1.801306,-1.741162,-1.517066,-1.603412,-1.592131,-1.574859,-1.19668,-0.589809,-0.117067,0.537032,0.763052,1.752428,3.404936,4.717932,5.943548,5.79052,6.776413,6.974654,6.526108,5.860789,3.816499,4.005281,3.066561,1.867794,1.324826,1.113341,1.165436,0.624356,0.124925,0.424219,0.837969,1.213061,1.616243,2.105497,2.355686,2.132327,1.605501,1.133111,0.754525,0.518722,0.448195,0.450782,0.615338,0.809783,0.958376,1.127151,1.185503,1.008762,0.776084,0.503897,0.314363,0.397525,0.53274,0.500798,0.272574,0.017041,-0.262556,-0.681914,-1.3033,-2.061239,-2.607835,-2.868577,-2.974768,-2.950778,-2.923534,-2.961845,-2.930331,-2.902212,-2.826097,-2.697541,-2.562662,-2.431329,-2.408399,-2.411462,-2.457006,-2.363914,-2.30687,-2.246082,-2.192287,-2.29354,-2.200948,-1.934359,-1.398583,-0.571878,0.205166,0.650591,0.423888,-0.411747,-1.477404,-2.473956,-3.047384,-3.320515,-3.410116,-3.445389,2
-1.750912,-1.743113,-1.548112,-1.656942,-1.637047,-1.634652,-1.276427,-0.68871,-0.259012,0.344505,0.554019,1.559314,3.193675,4.44128,5.595153,5.526732,6.527876,6.681468,6.20341,5.548761,3.595704,3.80536,2.908573,1.731825,1.225099,0.996593,1.03574,0.493953,0.116311,0.549404,1.0716,1.522278,2.019414,2.578444,2.825279,2.506803,1.889321,1.345801,0.916533,0.638816,0.577689,0.603592,0.793252,0.990059,1.130169,1.26493,1.310732,1.136583,0.873804,0.580397,0.402773,0.509275,0.646836,0.570454,0.310748,0.025354,-0.279625,-0.750572,-1.438764,-2.181692,-2.7045,-2.97151,-3.089089,-3.071455,-3.045213,-3.088952,-3.077502,-3.037651,-2.936987,-2.778174,-2.594898,-2.455964,-2.427141,-2.488307,-2.573313,-2.584064,-2.576365,-2.541531,-2.437844,-2.304331,-2.150154,-1.746775,-1.10981,-0.145256,0.757265,1.241453,0.919664,-0.175157,-1.413324,-2.471674,-3.131822,-3.449379,-3.564214,-3.606139,2
-1.152545,-1.012103,-0.655017,-0.696868,-0.852249,-0.945739,-0.732037,-0.176756,0.516282,1.785598,2.394243,2.936246,4.12919,5.286882,6.458978,6.603414,7.582063,7.42802,6.714662,5.703315,3.706907,3.917615,3.180635,2.196265,1.805332,1.561364,1.272041,0.628094,-0.047064,-0.064651,0.088467,0.241316,0.431406,0.676453,0.866194,0.842449,0.632076,0.448235,0.240473,0.071865,-0.00907,-0.034207,0.115655,0.316329,0.467569,0.636249,0.715873,0.63703,0.526984,0.34131,0.142301,0.073256,0.236575,0.396757,0.284998,0.131388,-0.09756,-0.376404,-0.88817,-1.54183,-2.047558,-2.316507,-2.440635,-2.473783,-2.488731,-2.655149,-3.055342,-2.595706,-2.427192,-2.40983,-2.373308,-2.353921,-2.402711,-2.528396,-2.606418,-2.586136,-2.578114,-2.44083,-2.322114,-2.306084,-2.259658,-2.113326,-1.8508,-1.43496,-1.023544,-0.773051,-0.862222,-1.228558,-1.755941,-2.309441,-2.630419,-2.773459,-2.821128,-2.841112,2
-1.466895,-1.418962,-1.141223,-1.201222,-1.289794,-1.333276,-1.091195,-0.513167,0.067313,1.06093,1.521166,2.267594,3.64847,4.822004,5.977442,6.077886,7.105927,7.073162,6.460612,5.575078,3.577849,3.81108,3.018909,1.960707,1.520548,1.246288,1.060949,0.440924,-0.070012,0.199557,0.630719,1.019012,1.450015,1.908489,2.142204,1.916116,1.429644,1.008276,0.638155,0.388962,0.316744,0.320354,0.50266,0.707325,0.864383,0.996396,1.036803,0.884151,0.677548,0.430816,0.258764,0.330558,0.469255,0.446672,0.254371,0.006899,-0.288415,-0.717448,-1.34588,-2.055463,-2.548976,-2.813199,-2.933134,-2.934226,-2.925073,-2.96183,-2.934731,-2.900845,-2.843133,-2.7316,-2.591259,-2.516581,-2.516226,-2.596749,-2.620673,-2.612319,-2.486862,-2.377768,-2.256142,-2.176266,-2.071533,-1.758754,-1.26284,-0.479277,0.221963,0.609577,0.303871,-0.649331,-1.678841,-2.49171,-3.016604,-3.27306,-3.367962,-3.404638,2
-1.350363,-1.231681,-0.910789,-0.944504,-1.082228,-1.162105,-0.943793,-0.374457,0.261535,1.410524,1.98387,2.575889,3.794675,4.893784,6.023193,6.226598,7.265709,7.159275,6.43909,5.496771,3.554994,3.846365,3.136124,2.12143,1.731123,1.500894,1.210739,0.576068,-0.008251,0.14064,0.457214,0.762856,1.125348,1.535918,1.773257,1.635198,1.21796,0.838643,0.527266,0.309314,0.221538,0.211436,0.381449,0.588752,0.73746,0.862969,0.907239,0.779026,0.603454,0.383125,0.191422,0.15836,0.331547,0.441873,0.257948,0.07612,-0.185526,-0.573002,-1.217142,-1.901885,-2.438361,-2.714783,-2.839554,-2.838548,-2.829334,-2.94722,-3.42269,-2.828097,-2.662436,-2.643165,-2.594537,-2.546681,-2.58672,-2.691068,-2.739647,-2.645466,-2.57976,-2.443206,-2.28888,-2.228758,-2.156633,-1.920299,-1.484601,-0.816506,-0.175226,0.211657,0.043394,-0.580151,-1.479292,-2.381069,-2.908207,-3.140422,-3.222985,-3.261004,2
-1.746041,-1.698312,-1.416201,-1.461951,-1.498459,-1.480616,-1.161829,-0.587196,-0.055569,0.77993,1.198972,2.059036,3.545556,4.697422,5.795238,5.853527,6.780365,6.759993,6.255118,5.485039,3.66883,4.001569,3.17528,1.954927,1.437889,1.202984,1.09264,0.498548,0.072656,0.399325,0.821737,1.193775,1.627936,2.11032,2.375049,2.140207,1.622472,1.163568,0.808114,0.551812,0.467785,0.445245,0.614604,0.804636,0.945515,1.058631,1.120724,0.999569,0.78283,0.509497,0.319242,0.377888,0.509067,0.453614,0.208326,-0.05455,-0.322893,-0.793234,-1.439835,-2.187054,-2.732932,-3.000054,-3.119007,-3.09917,-3.09473,-3.149145,-3.110499,-3.032873,-2.920997,-2.727565,-2.517236,-2.380525,-2.352509,-2.434638,-2.49382,-2.456063,-2.356996,-2.220239,-2.170002,-2.282778,-2.188169,-1.856982,-1.30016,-0.390805,0.416681,0.913983,0.670397,-0.186385,-1.324956,-2.428635,-3.08834,-3.390788,-3.499025,-3.538308,2
-2.597672,-2.524581,-2.179487,-2.16592,-2.246196,-2.247781,-2.026003,-1.459812,-0.927177,-0.014047,0.478076,1.329023,2.813367,3.82117,4.824791,5.094934,6.019469,5.975735,5.636496,4.833401,3.057295,3.505748,2.837236,1.641078,1.109302,0.848838,0.693767,0.12775,-0.163103,0.386234,1.072161,1.728317,2.434713,3.114456,3.396935,2.941395,2.106087,1.441746,0.996728,0.732506,0.67282,0.759748,1.09013,1.313339,1.49704,1.618251,1.781376,1.799067,1.265029,0.837736,0.793322,1.153629,1.561934,1.41443,0.805805,0.183894,-0.233713,-0.954279,-1.809778,-2.477856,-2.959966,-3.062686,-3.100018,-2.942863,-2.8499,-2.772393,-2.839038,-2.712388,-2.540729,-2.051376,-1.433103,-0.851693,-0.691684,-0.837121,-1.227683,-1.632666,-1.861013,-2.060943,-2.233336,-2.010803,-1.845957,-1.501358,-1.118289,-0.188718,0.836676,1.47873,1.018175,-0.423407,-2.07192,-3.514677,-4.480219,-4.876089,-5.039565,-5.12088,2
-1.171677,-1.098653,-0.812993,-0.892032,-1.036268,-1.129873,-0.912582,-0.363315,0.253148,1.386285,1.941083,2.621011,3.97287,5.116567,6.275413,6.41526,7.356614,7.262588,6.667433,5.703927,3.717782,3.940102,3.184147,2.117075,1.672278,1.401525,1.202009,0.585339,-0.017608,0.048346,0.286851,0.504594,0.774656,1.075569,1.270501,1.17034,0.858316,0.599318,0.369842,0.192407,0.123624,0.126252,0.336383,0.535178,0.728596,0.874033,1.005045,0.943652,0.755712,0.51749,0.342446,0.352291,0.523709,0.54803,0.349759,0.123384,-0.078455,-0.449766,-0.981095,-1.640931,-2.13387,-2.374088,-2.4966,-2.502609,-2.509935,-2.529897,-2.572081,-2.520572,-2.489689,-2.317115,-2.166939,-2.009828,-2.088655,-2.306091,-2.620238,-2.834021,-2.962587,-2.881607,-2.637319,-2.392766,-2.351737,-2.089068,-1.814426,-1.324394,-0.82774,-0.516576,-0.679433,-1.261041,-1.937694,-2.571424,-3.028051,-3.202644,-3.277651,-3.315144,2
-1.391351,-1.272586,-0.900608,-0.987546,-1.18567,-1.289997,-1.125739,-0.581519,0.130204,1.455861,2.170698,2.743365,3.971299,5.057412,6.222876,6.582142,7.629021,7.453601,6.723435,5.654647,3.654715,3.881858,3.152491,2.079588,1.687732,1.416162,1.099139,0.455671,-0.163671,-0.145109,0.028927,0.181378,0.413115,0.665116,0.819072,0.74718,0.506278,0.338458,0.166827,0.021319,-0.042769,0.006587,0.260598,0.456445,0.655523,0.823786,1.052897,1.138778,0.899462,0.667704,0.545132,0.64316,0.945583,1.014682,0.683149,0.295776,0.078235,-0.280118,-0.759337,-1.448935,-1.948761,-2.129358,-2.177835,-2.089947,-2.030184,-2.051398,-2.128759,-2.087419,-2.035092,-1.803912,-1.528213,-1.260282,-1.284924,-1.574403,-2.064239,-2.483609,-2.702174,-2.726424,-2.573727,-2.367593,-2.358015,-2.244164,-2.178941,-1.865491,-1.475429,-1.205263,-1.35415,-1.860707,-2.460264,-3.062368,-3.495504,-3.642563,-3.706596,-3.74442,2
-1.371305,-1.222768,-0.867748,-0.889926,-1.023258,-1.096748,-0.885829,-0.307154,0.395509,1.669154,2.306784,2.940696,4.231479,5.36295,6.513468,6.70036,7.643864,7.438343,6.762669,5.711949,3.748432,3.996624,3.226194,2.16744,1.730559,1.465996,1.185433,0.532491,-0.13947,-0.160454,0.005001,0.180005,0.396727,0.646311,0.83446,0.788488,0.571062,0.383848,0.188843,0.017465,-0.066871,-0.068445,0.113154,0.32871,0.491323,0.66333,0.787238,0.768865,0.631493,0.430803,0.23809,0.269979,0.437506,0.505929,0.333832,0.090464,-0.131322,-0.423003,-0.899091,-1.588109,-2.084383,-2.313614,-2.399556,-2.347447,-2.315925,-2.39009,-2.386427,-2.379273,-2.328461,-2.226955,-2.078171,-1.969242,-1.978654,-2.104273,-2.280107,-2.367591,-2.399456,-2.32658,-2.318963,-2.30745,-2.275933,-2.181291,-1.964306,-1.564126,-1.171075,-0.920269,-1.044678,-1.485274,-2.025104,-2.569095,-2.899216,-3.057176,-3.107952,-3.123702,2
-2.390875,-2.348118,-1.987349,-2.003785,-2.053805,-2.118743,-1.911422,-1.317175,-0.745825,0.343003,0.984369,1.750605,3.042909,4.039684,5.049821,5.578065,6.667996,6.511809,5.770052,4.813693,3.146172,3.547106,2.87458,1.71325,1.220474,0.946868,0.701265,0.164072,-0.170679,0.301244,0.92612,1.498398,2.15815,2.772142,3.01784,2.595485,1.863554,1.246234,0.804645,0.518389,0.445289,0.52161,0.848587,1.163993,1.290481,1.450434,1.572679,1.570703,1.199067,0.830363,0.711909,1.034784,1.32206,1.175025,0.723255,0.161508,-0.239032,-0.85335,-1.605783,-2.405465,-2.885722,-3.050916,-3.03382,-2.833774,-2.67565,-2.766542,-2.710741,-2.652384,-2.441308,-2.069087,-1.629226,-1.215597,-1.137743,-1.227889,-1.602667,-1.864384,-2.208721,-2.099482,-2.16638,-2.180734,-1.838702,-1.575827,-1.098253,-0.16163,0.799632,1.342656,0.946195,-0.342464,-1.927605,-3.442528,-4.270208,-4.686382,-4.847907,-4.882546,2
-2.393999,-2.332354,-2.085193,-2.130326,-2.180876,-2.207869,-2.006166,-1.461704,-0.918647,-0.034133,0.505777,1.334279,2.773744,3.762719,4.740302,5.042066,5.935789,5.910467,5.629323,4.8194,3.124694,3.578759,2.916282,1.685155,1.128406,0.855098,0.657866,0.048742,-0.217567,0.305202,0.98392,1.639209,2.361328,3.064673,3.361217,2.940384,2.142578,1.466041,1.012166,0.744749,0.677838,0.747819,1.070825,1.260179,1.453649,1.548621,1.732194,1.760955,1.260198,0.864044,0.841516,1.235142,1.646902,1.475296,0.861943,0.215604,-0.213092,-0.969193,-1.789803,-2.486499,-2.979139,-3.1051,-3.117098,-2.971178,-2.893157,-2.838593,-2.780555,-2.710931,-2.5098,-2.002756,-1.380837,-0.796451,-0.628498,-0.773931,-1.212836,-1.538574,-1.741822,-1.974896,-2.169249,-1.951159,-1.881766,-1.510749,-1.129388,-0.154772,0.870839,1.522454,1.06899,-0.433267,-2.177689,-3.651096,-4.627964,-5.034793,-5.199077,-5.280802,2
