@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute target {1,2}

@data
-0.188537,-0.1935,-0.198463,-0.138162,-0.113595,-0.07811,-0.039894,-0.007138,0.028347,0.063833,0.0884,0.129345,0.142993,0.162101,0.151182,0.148452,0.145723,0.121156,0.072022,0.047455,0.047455,0.061103,0.055644,0.031077,0.014699,0.011969,-0.012598,-0.048083,-0.064461,-0.064461,-0.080839,-0.089028,-0.07265,-0.07538,2
0.193026,0.163589,0.124339,0.23293,0.189755,0.135787,0.089014,0.063829,0.020654,-0.029717,-0.134056,-0.155644,-0.166437,-0.159241,-0.173633,-0.191623,-0.191623,-0.159241,-0.119664,-0.105273,-0.12686,-0.105273,-0.054902,0.00986,0.038643,0.049437,0.07822,0.07822,0.103406,0.128591,0.060231,-0.004531,0.00986,0.060231,2
-0.181249,-0.14262,-0.124915,-0.059407,-0.03462,0.023806,0.0362,0.057445,0.092855,0.10879,0.121183,0.167216,0.18138,0.167216,0.170757,0.227412,0.245117,0.248658,0.230953,0.202625,0.161904,0.131806,0.068068,-0.008063,-0.137308,-0.208128,-0.245308,-0.266554,-0.263013,-0.239997,-0.202816,-0.1798,-0.170948,-0.133767,1
-0.207119,-0.234962,-0.266081,-0.346008,-0.308174,-0.261332,-0.214489,-0.135217,-0.032524,0.039541,0.108004,0.171061,0.216102,0.255738,0.31339,0.286365,0.315192,0.30258,0.300778,0.2143,0.210697,0.189077,0.162053,0.117012,0.061161,-0.000095,-0.041532,-0.07216,-0.084771,-0.113598,-0.167647,-0.221696,-0.234307,-0.250522,1
-0.038992,-0.062016,-0.082482,-0.085808,-0.085808,-0.077365,-0.077365,-0.077365,-0.074551,-0.071737,-0.071737,-0.071737,-0.071737,-0.063295,-0.060481,-0.049225,-0.037969,-0.021085,-0.004201,0.02394,0.032382,0.060522,0.071778,0.094291,0.111175,0.113989,0.122431,0.116803,0.119617,0.108361,0.088663,0.074592,0.049266,0.015498,2
0.077413,0.062073,0.039914,0.021335,-0.003039,-0.029289,-0.057413,-0.079912,-0.102412,-0.115536,-0.121161,-0.121161,-0.117411,-0.119286,-0.108037,-0.098662,-0.081787,-0.070538,-0.053663,-0.034913,-0.018039,-0.003039,0.010085,0.025085,0.03821,0.056959,0.070084,0.090708,0.111333,0.133832,0.145082,0.150707,0.146957,0.137582,2
-0.081179,-0.092505,0.006199,0.237102,0.306518,0.342117,0.329657,0.388394,0.352796,0.189044,0.158786,0.157006,0.162346,0.162346,0.117848,0.06445,0.018173,0.007493,-0.010306,-0.044124,-0.138459,-0.142019,-0.158038,-0.207876,-0.223895,-0.234575,-0.248814,-0.229235,-0.302211,-0.296872,-0.060143,-0.061923,-0.204316,-0.247034,1
0.078268,0.126237,0.170898,0.214236,0.203319,0.194221,0.176026,0.19968,0.19604,0.163289,0.132358,0.105065,0.083231,0.054119,0.004992,-0.033218,-0.06233,-0.104179,-0.131472,-0.164223,-0.200613,-0.191516,-0.198794,-0.187877,-0.180599,-0.158764,-0.164223,-0.164223,-0.131472,-0.096901,-0.065969,-0.020481,0.034104,0.083231,1
-0.187564,-0.181803,-0.193326,-0.168839,-0.241724,-0.301933,-0.352635,-0.333622,-0.254399,-0.172008,-0.124474,-0.007225,0.068829,0.030802,0.071998,0.103687,0.189247,0.217768,0.084674,0.163896,0.252626,0.293821,0.328679,0.252626,0.277977,0.236781,0.208261,0.135376,0.056153,-0.004056,-0.051589,-0.089616,-0.152994,-0.099123,2
0.045288,0.035072,0.035072,-0.276523,-0.254047,-0.287761,-0.192239,-0.203477,-0.068623,-0.102336,-0.124812,-0.113574,-0.068623,0.054993,0.111183,0.010042,-0.001196,0.038137,0.054993,0.010042,0.07185,0.105564,0.066231,0.07185,0.02128,-0.023672,0.054993,0.07185,0.032518,0.144896,0.088707,0.251656,0.133658,0.195466,2
-0.029905,-0.082524,-0.150419,-0.134803,-0.168412,-0.226293,-0.2543,-0.278572,-0.306579,-0.314048,-0.304712,-0.286041,-0.239363,-0.207621,-0.151608,-0.075055,0.003364,0.066846,0.115392,0.160203,0.22742,0.277832,0.320776,0.341314,0.352517,0.352517,0.330112,0.294636,0.236755,0.171406,0.104189,0.03884,-0.043314,-0.114265,1
-0.187764,-0.2723,-0.264171,-0.369678,-0.435843,-0.459091,-0.466244,-0.475185,-0.471608,-0.441208,-0.394714,-0.310666,-0.282054,-0.198006,-0.124688,-0.058522,0.01122,0.132821,0.197198,0.311646,0.376023,0.408212,0.467224,0.52266,0.524448,0.508354,0.469012,0.420729,0.336681,0.270516,0.200774,0.116726,0.050561,-0.04064,1
-0.113499,-0.160737,-0.167035,-0.182466,-0.199787,-0.192859,-0.18593,-0.179002,-0.144361,-0.120112,-0.113184,-0.113184,-0.0924,-0.082007,-0.071615,-0.05083,-0.019653,0.02538,0.077341,0.108518,0.122375,0.139695,0.184729,0.208977,0.208977,0.229762,0.233226,0.226298,0.163944,0.094662,0.070413,0.060021,0.049629,0.028844,2
0.067435,0.048977,0.027444,-0.036541,-0.019622,-0.033158,-0.029774,-0.023006,-0.02639,-0.023006,-0.006087,0.0176,0.031135,0.020984,-0.002703,0.010832,-0.019622,-0.056844,-0.056844,-0.033158,-0.016238,-0.019622,-0.016238,0.004065,-0.006087,-0.006087,-0.002703,0.004065,0.020984,0.034519,0.027751,0.027751,0.020984,0.054822,2
0.318491,0.250002,0.015615,0.15366,0.073298,-0.030502,-0.112537,-0.135976,-0.144347,-0.169459,-0.231404,-0.283304,-0.310091,-0.330182,-0.325159,-0.300046,-0.283304,-0.256517,-0.202943,-0.15774,-0.114211,-0.072356,-0.003714,0.073298,0.116827,0.167053,0.223976,0.274201,0.299314,0.316056,0.31773,0.290943,0.264156,0.250763,1
0.09119,0.083527,-0.154029,-0.05045,-0.096811,-0.136149,-0.171271,-0.212014,-0.231682,-0.251351,-0.251351,-0.293498,-0.323001,-0.324406,-0.317382,-0.293498,-0.273829,-0.241517,-0.181106,-0.099621,-0.018137,0.038059,0.1069,0.154667,0.213673,0.279703,0.320445,0.355568,0.372427,0.394905,0.39912,0.392095,0.380856,0.335899,1
-0.140227,-0.146383,-0.130992,-0.068195,-0.047879,-0.014018,0.01307,0.046931,0.080792,0.097722,0.141742,0.162058,0.178988,0.16883,0.16883,0.1519,0.162058,0.1519,0.111267,0.09095,0.043545,0.019843,-0.00386,-0.024176,-0.058037,-0.09867,-0.125759,-0.118987,-0.125759,-0.146075,-0.129145,-0.115601,-0.125759,-0.129145,2
0.000959,-0.014186,-0.025003,-0.165848,-0.144429,-0.149189,-0.142049,-0.12539,-0.120631,-0.099212,-0.068274,-0.061134,-0.042095,-0.037335,-0.027816,-0.023056,0.000742,0.03406,0.03882,0.0412,0.053099,0.062619,0.072138,0.088797,0.103076,0.107836,0.112596,0.103076,0.081658,0.074518,0.074518,0.069758,0.064999,0.064999,2
0.439286,0.439286,0.581304,0.521573,0.500897,0.461842,0.381435,0.303325,0.21143,0.14251,0.135618,0.029939,-0.025197,-0.089523,-0.160741,-0.202094,-0.243446,-0.254933,-0.282501,-0.271014,-0.303177,-0.486966,-0.493858,-0.516831,-0.475479,-0.42264,-0.3698,-0.30088,-0.165336,-0.052765,0.013858,0.119536,0.268864,0.42049,1
0.496806,0.518053,0.455831,0.556751,0.4833,0.43155,0.348082,0.282977,0.184485,0.085994,0.022558,-0.010829,-0.049224,-0.079272,-0.147716,-0.219498,-0.294619,-0.348038,-0.413143,-0.496611,-0.478248,-0.491603,-0.508296,-0.474909,-0.416482,-0.3447,-0.2412,-0.161071,-0.037539,0.085994,0.14609,0.239574,0.324711,0.403171,1
-0.029542,-0.016667,0.001359,0.040243,0.062903,0.051573,0.009084,0.014749,-0.013577,-0.070229,-0.107052,-0.095722,-0.078726,-0.081559,-0.070229,-0.03907,-0.022074,-0.022074,-0.030572,-0.005079,-0.013577,0.000586,0.011917,0.023247,0.031745,0.051573,0.045908,0.040243,0.031745,0.031745,0.054406,0.04874,0.051573,0.096895,2
0.045591,0.048784,0.055171,-0.027855,-0.052444,-0.07352,-0.017317,-0.003267,-0.003267,0.014296,0.074011,0.105625,0.130214,0.144264,0.133727,0.126701,0.0986,0.063474,0.074011,0.038885,-0.031368,-0.041906,-0.070007,-0.108646,-0.12621,-0.119184,-0.129722,-0.122697,-0.084058,-0.062982,-0.048931,-0.017317,-0.02083,-0.00678,2
0.075298,0.095898,0.099331,-0.124178,-0.11096,-0.093965,-0.124178,-0.07697,-0.035427,-0.041092,-0.014655,0.004228,-0.00899,-0.080746,-0.007102,0.019335,0.017446,0.019335,0.03633,0.041995,0.028776,0.000451,0.062766,0.075984,-0.035427,-0.012767,0.00234,-0.016543,-0.093965,-0.127955,0.060878,0.072208,0.168512,0.096756,1
0.064915,0.062013,0.025728,0.04866,0.026308,0.010343,-0.008816,-0.024781,-0.050326,-0.077467,-0.099819,-0.117381,-0.141329,-0.162084,-0.176453,-0.162084,-0.133346,-0.125364,-0.123767,-0.088643,-0.042343,-0.004026,0.035887,0.059836,0.074204,0.080591,0.098153,0.104539,0.112522,0.115715,0.128487,0.12689,0.171594,0.176383,1
-0.03533,-0.04079,-0.068089,-0.18029,-0.159269,-0.168278,-0.168278,-0.165275,-0.111222,-0.054167,0.017904,0.07496,0.107992,0.113998,0.09598,0.101986,0.107992,0.113998,0.089974,0.077962,0.062948,0.080965,0.083968,0.059945,0.011898,0.041927,0.020907,-0.00612,0.005892,-0.00612,-0.030143,-0.033146,-0.018131,-0.012126,2
0.056535,0.098967,0.141399,0.053706,0.069264,0.077043,0.061485,0.007031,0.030368,0.045927,0.077043,0.100381,0.092602,0.045927,0.007031,-0.039644,-0.039644,-0.101878,-0.117436,-0.125215,-0.109657,-0.140774,-0.210787,-0.07854,0.030368,0.077043,0.01481,-0.055203,-0.062982,-0.000748,0.007031,-0.008528,-0.024086,-0.008528,2
