@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.340294,-0.357225,-0.229157,-0.041865,0.20668,0.473974,0.689762,0.934993,1.150995,1.391592,1.452721,1.399612,1.414939,1.492999,1.515455,1.358621,1.161867,0.936953,0.724515,0.528135,0.296645,0.06029,-0.175013,-0.354285,-0.411743,-0.34393,-0.237194,-0.0766,0.11536,0.34423,0.571888,0.811665,1.061173,1.231372,1.289472,1.26969,1.28163,1.357017,1.342938,1.295888,1.296601,1.327611,1.27771,1.073113,0.82717,0.557523,0.322042,0.092851,-0.101961,-0.24942,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,-1.100634,6
-0.507496,-0.440496,-0.285508,-0.027341,0.221781,0.449712,0.670048,0.898543,1.1078,1.276204,1.453473,1.483689,1.458912,1.523977,1.48671,1.34409,1.064288,0.840689,0.648998,0.424209,0.168843,-0.091399,-0.339554,-0.536685,-0.542466,-0.438079,-0.279847,-0.083563,0.136169,0.370888,0.617915,0.864963,1.098534,1.332407,1.473214,1.392033,1.403515,1.450854,1.397674,1.374911,1.435142,1.439976,1.232693,1.012115,0.768895,0.502792,0.236668,0.001284,-0.240465,-0.430304,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,-1.060713,6
-0.418958,-0.398072,-0.237124,-0.139328,0.058976,0.310704,0.558218,0.825884,1.095199,1.325125,1.456302,1.400057,1.369461,1.406469,1.486165,1.386683,1.184788,0.896236,0.648118,0.402473,0.151625,-0.100359,-0.310389,-0.415165,-0.396496,-0.304031,-0.136122,0.074512,0.31697,0.546584,0.803349,1.040604,1.270163,1.378805,1.338682,1.298377,1.371293,1.353889,1.336667,1.33337,1.316331,1.40995,1.244147,0.997916,0.760296,0.516959,0.264224,0.020521,-0.180659,-0.337229,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,-1.086072,6
-0.480888,-0.421934,-0.314298,-0.095274,0.144882,0.420282,0.689203,0.947097,1.115783,1.299858,1.422085,1.418731,1.40133,1.460033,1.466741,1.378478,1.136119,0.875941,0.660103,0.41676,0.200965,-0.061562,-0.270586,-0.411913,-0.438979,-0.31868,-0.194063,0.025758,0.264238,0.514772,0.772498,1.015884,1.240736,1.404684,1.37722,1.360448,1.31705,1.394411,1.362335,1.360657,1.363802,1.339063,1.194193,0.941918,0.707632,0.457726,0.206311,-0.030932,-0.236014,-0.422249,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,-1.079279,6
-0.385792,-0.332958,-0.251102,-0.03315,0.218188,0.487144,0.761932,0.993762,1.183417,1.333652,1.337474,1.373072,1.413497,1.421742,1.336468,1.130523,0.907623,0.692406,0.439841,0.197352,-0.059014,-0.283824,-0.399106,-0.367771,-0.268318,-0.130492,0.052345,0.227862,0.444829,0.68245,0.91251,1.135148,1.349139,1.385541,1.294032,1.281764,1.340893,1.333854,1.300267,1.295641,1.345317,1.439441,1.269898,1.027148,0.785906,0.523406,0.289887,0.059103,-0.146501,-0.301664,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,-1.101493,6
-0.379263,-0.379854,-0.287564,-0.060442,0.196077,0.475548,0.717701,0.94004,1.12617,1.351261,1.364371,1.331873,1.43657,1.514863,1.469438,1.32781,1.156453,0.948534,0.717091,0.485741,0.233635,-0.016495,-0.193429,-0.333506,-0.296649,-0.228864,-0.09584,0.070993,0.286279,0.525773,0.769606,1.005961,1.212956,1.336119,1.361971,1.279062,1.263736,1.3147,1.301589,1.259858,1.325594,1.313592,1.150913,0.946688,0.70195,0.464506,0.224199,0.024147,-0.172895,-0.305845,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,-1.106091,6
-0.50254,-0.443583,-0.248284,-0.018725,0.244342,0.476253,0.725361,1.001653,1.236283,1.448355,1.465707,1.406326,1.452597,1.540896,1.477467,1.290843,1.094772,0.876338,0.637389,0.359343,0.09618,-0.178068,-0.424555,-0.525424,-0.515997,-0.363401,-0.171648,0.040868,0.276345,0.5087,0.758367,0.988736,1.225872,1.382613,1.232041,1.220281,1.309737,1.391674,1.320148,1.334029,1.298362,1.382998,1.223944,0.996062,0.75349,0.493893,0.244419,0.008941,-0.232398,-0.441829,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,-1.071839,6
-0.433704,-0.429788,-0.258706,-0.067668,0.201215,0.441163,0.73021,1.003508,1.20265,1.36742,1.325759,1.335133,1.44491,1.544273,1.455742,1.309511,1.113494,0.862443,0.629785,0.379171,0.133807,-0.125473,-0.331176,-0.443349,-0.405875,-0.261705,-0.10333,0.109664,0.336677,0.586416,0.816074,1.066,1.298679,1.419497,1.362838,1.220772,1.235979,1.30472,1.293888,1.272433,1.250977,1.356172,1.25306,0.986448,0.747187,0.481804,0.244418,0.00826,-0.192443,-0.348444,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,-1.091017,6
-0.384099,-0.398455,-0.280953,-0.089498,0.115773,0.351223,0.599246,0.836368,1.086155,1.335942,1.553972,1.743216,1.924475,1.841832,1.810446,1.88176,1.920389,1.717031,1.493243,1.280228,1.044369,0.800153,0.529176,0.278794,0.069418,-0.118489,-0.276867,-0.371452,-0.320547,-0.274657,-0.137357,-0.002379,0.207702,0.414756,0.659009,0.873325,0.915668,0.896354,0.831168,0.885768,0.829311,0.813339,0.848625,0.915668,0.741634,0.50767,0.263454,0.035395,-0.144582,-0.286951,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,-1.058859,6
-0.48222,-0.488581,-0.362441,-0.131506,0.143417,0.406813,0.672453,0.880683,1.100296,1.375919,1.441995,1.464431,1.426351,1.514657,1.529478,1.361922,1.170488,0.962032,0.732106,0.502262,0.242263,0.005379,-0.245851,-0.443316,-0.482385,-0.396302,-0.231978,-0.037127,0.173799,0.409448,0.63678,0.887723,1.109765,1.318283,1.383535,1.290495,1.293582,1.368097,1.420587,1.454139,1.3823,1.381683,1.24665,0.96162,0.730191,0.472786,0.209369,-0.024633,-0.23099,-0.41561,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,-1.069695,6
-0.340376,-0.358015,-0.205698,-0.053184,0.195959,0.45224,0.698472,0.896823,1.09425,1.286367,1.363253,1.340836,1.353617,1.418509,1.430504,1.266899,1.086187,0.82208,0.596062,0.343911,0.086726,-0.128792,-0.303015,-0.387688,-0.367788,-0.255526,-0.080812,0.1198,0.349299,0.577185,0.825718,1.053742,1.302688,1.478484,1.354994,1.257854,1.284794,1.318616,1.297575,1.266899,1.283614,1.40848,1.297968,1.061214,0.813487,0.540433,0.311465,0.053651,-0.118743,-0.283174,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,-1.103595,6
-0.638612,-0.614782,-0.41941,-0.142165,0.1132,0.386387,0.638887,0.858407,1.093841,1.295419,1.301347,1.374826,1.41425,1.356486,1.226277,0.96049,0.726687,0.3949,0.074571,-0.223918,-0.501084,-0.645494,-0.671393,-0.570226,-0.359975,-0.094585,0.140331,0.593336,0.882317,1.18176,1.442615,1.565941,1.447986,1.390858,1.303575,1.376297,1.314157,1.336873,1.426304,1.47289,1.389147,0.765833,0.461656,0.165832,-0.116823,-0.377519,-0.57679,-0.39737,-0.513933,-0.910287,-1.061461,-1.203525,-1.324162,-1.466985,-1.515799,-1.363937,-1.201695,-1.088513,-0.942273,-0.745587,-0.59139,-0.554591,-0.631014,-0.739461,-0.903007,-1.098419,-1.185981,-1.353072,-1.403178,-1.373616,-1.291711,-1.16605,-0.870704,-0.47423,3
-0.462604,-0.394158,-0.271931,-0.036179,0.225525,0.482339,0.74421,1.00636,1.210101,1.445259,1.430387,1.423323,1.502886,1.604013,1.486155,1.293382,1.062872,0.833105,0.609863,0.35764,0.10921,-0.171009,-0.352071,-0.494671,-0.46266,-0.364098,-0.21897,-0.00889,0.222067,0.454102,0.697829,0.943713,1.123845,1.324798,1.375734,1.276094,1.330747,1.388003,1.406035,1.435406,1.396182,1.400644,1.193928,0.942969,0.670335,0.436051,0.178716,-0.075552,-0.281078,-0.405274,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,-1.067489,6
-0.464491,-0.44231,-0.258912,-0.067757,0.180918,0.480896,0.72694,0.982632,1.183397,1.415543,1.431526,1.415738,1.472459,1.533858,1.397221,1.10582,0.915775,0.712672,0.506274,0.24144,-0.024524,-0.271504,-0.388785,-0.483028,-0.415762,-0.237452,-0.036551,0.186103,0.425286,0.657218,0.902521,1.136616,1.314966,1.390594,1.286508,1.279101,1.347712,1.436594,1.370712,1.359407,1.385526,1.365254,1.158057,0.966454,0.72347,0.464757,0.210429,-0.023628,-0.20874,-0.388454,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,-1.078617,6
-0.546537,-0.467153,-0.275968,-0.021123,0.233889,0.483586,0.717223,0.988109,1.166171,1.423228,1.470067,1.454454,1.437168,1.506683,1.39163,1.225278,0.937738,0.707874,0.450297,0.198054,-0.07298,-0.346152,-0.477617,-0.543024,-0.442507,-0.285912,-0.076809,0.151289,0.387993,0.619307,0.870825,1.110782,1.351111,1.468766,1.427317,1.326576,1.399995,1.454826,1.402039,1.371185,1.452967,1.357059,1.107251,0.870082,0.634902,0.401971,0.159765,-0.081214,-0.286135,-0.467357,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,-1.057566,6
-0.478214,-0.430414,-0.2843,-0.0357,0.221517,0.491273,0.73787,0.965335,1.147899,1.385962,1.471506,1.409956,1.466916,1.568735,1.481313,1.327959,1.113055,0.857528,0.646985,0.406564,0.167624,-0.094141,-0.303954,-0.47279,-0.459478,-0.33909,-0.181105,0.041895,0.220411,0.459351,0.739686,0.966378,1.140179,1.33401,1.36322,1.296036,1.309181,1.386588,1.360716,1.386379,1.368645,1.402862,1.149776,0.945618,0.686544,0.440364,0.191722,-0.035784,-0.257093,-0.397928,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,-1.076252,6
-0.524368,-0.451808,-0.270028,-0.023621,0.23331,0.493594,0.738461,1.001513,1.190562,1.414108,1.458544,1.442562,1.491481,1.545467,1.481931,1.294831,1.112213,0.879274,0.66789,0.421482,0.149447,-0.158957,-0.396126,-0.53343,-0.561105,-0.433565,-0.266968,-0.059716,0.165136,0.397023,0.649238,0.876311,1.103443,1.302822,1.395398,1.422098,1.477059,1.461467,1.420344,1.26014,1.24065,1.315685,1.21161,1.017494,0.743022,0.478529,0.226314,0.004892,-0.25432,-0.430856,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,-1.060682,6
-0.470469,-0.425398,-0.265241,-0.032832,0.219143,0.484552,0.73623,0.998092,1.181867,1.423291,1.459452,1.392545,1.443031,1.52007,1.499806,1.343457,1.13208,0.880874,0.657549,0.414256,0.1899,-0.093712,-0.297716,-0.438046,-0.483204,-0.436281,-0.276911,-0.067089,0.162176,0.409033,0.65989,0.885416,1.106226,1.282839,1.379793,1.283538,1.3335,1.40687,1.373329,1.328608,1.313235,1.416128,1.224143,1.01626,0.772915,0.534094,0.267131,-0.001667,-0.226564,-0.393272,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,-1.074097,6
-0.546244,-0.492509,-0.32016,-0.094946,0.203326,0.424154,0.617404,0.909591,1.083915,1.190121,1.353264,1.33015,1.314464,1.246188,1.096163,0.873912,0.616417,0.3784,0.063021,-0.232366,-0.459951,-0.625425,-0.582516,-0.476111,-0.27006,-0.01778,0.163222,0.443752,0.731158,1.333231,1.498903,1.466898,1.514707,1.461999,1.373335,1.334417,1.343583,1.262822,1.359427,1.52253,1.608467,1.015679,0.706779,0.102532,-0.169266,-0.340232,-0.529294,-0.586388,-0.704882,-0.925988,-1.067873,-1.249743,-1.407907,-1.47412,-1.404905,-1.086088,-0.988376,-0.844199,-0.694096,-0.622145,-0.619103,-0.737242,-0.93389,-1.03654,-1.173526,-1.257962,-1.403411,-1.472113,-1.375643,-1.261597,-1.106831,-0.979486,-0.791372,-0.58054,4
