@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.658313,-0.556152,-0.128516,0.66625,1.38095,1.558788,1.440015,1.486726,1.463435,0.783736,-0.214862,-0.592273,-0.613158,-0.466204,1.503326,1.625574,1.431779,1.403469,1.41801,1.566767,1.552998,1.034409,-0.574567,-1.026048,-1.026048,6
-0.570949,-0.32282,0.372338,1.426971,1.547137,1.450352,1.515057,1.394564,1.11367,0.755999,-0.259029,-0.565392,-0.548776,-0.382957,0.345368,1.440456,1.537241,1.534305,1.385756,1.540721,1.391846,-0.092786,-0.484549,-1.042794,-1.042794,6
-0.912026,-0.666746,0.933148,1.45849,1.53341,1.536486,1.400581,-0.70531,-0.878711,-0.503407,1.611044,1.615568,1.487625,1.712022,1.57666,-0.365765,-0.811826,-0.449009,-1.224969,-1.216862,-0.703862,-0.466526,-1.334906,-1.298821,-0.395986,4
-0.63339,-0.535685,-0.336743,0.971821,1.4502,1.438316,1.510628,1.465448,0.843117,-0.392014,-0.605608,-0.530012,-0.095468,1.330017,1.521503,1.633502,1.598748,1.377776,1.399302,1.554015,1.358717,-0.338682,-0.525538,-1.031273,-1.031273,6
-0.558696,-0.47742,-0.113124,0.685384,1.395498,1.502964,1.423082,1.412213,1.294493,1.131653,-0.357106,-0.496309,-0.553774,-0.460449,-0.262971,1.364427,1.511885,1.602226,1.351609,1.538957,1.367093,-0.090851,-0.463413,-1.048731,-1.048731,6
-0.927326,-0.828367,-0.382481,1.185124,1.403727,1.558685,1.650519,1.089832,-0.610734,-0.872606,-0.623151,1.592063,1.677498,1.557128,1.700327,-0.828523,-0.447681,-1.143109,-1.314273,-1.143005,-0.64949,-0.53175,-0.701962,-1.327434,-0.431874,4
-0.920757,-0.653463,1.253298,1.524553,1.549638,1.552579,1.367821,-0.432376,-0.871523,-0.930099,-0.552002,1.258315,1.572992,1.426639,1.596692,-0.668254,-0.846075,-0.389802,-1.376822,-0.477372,-0.632911,-1.391942,-1.331255,-0.417533,-0.377693,4
-0.571578,-0.488297,-0.106091,0.69703,1.098272,1.351509,1.470253,1.381407,1.418648,1.322886,0.961439,-0.261129,-0.460569,-0.585623,-0.558491,-0.375128,0.845035,1.497705,1.598893,1.368639,1.535903,1.568462,-0.500427,-1.047641,-1.047641,6
-0.633232,-0.552677,-0.343991,1.380602,1.46093,1.390741,1.427357,1.273571,0.402684,-0.372461,-0.557454,-0.63998,-0.306587,0.668908,1.52143,1.591507,1.569876,1.424878,1.416766,1.620011,1.542386,1.341733,-0.544126,-1.032195,-1.032195,6
-0.91264,-0.610829,0.995823,1.549815,1.605611,1.418551,-0.616011,-0.895277,-0.632826,1.09777,1.494207,1.46073,1.615825,1.583482,1.341571,-0.865393,-0.337673,-1.447207,-1.444673,-0.515483,-0.391767,-0.666096,-1.483427,-0.344557,-0.284146,4
-0.58629,-0.500922,-0.305165,1.458618,1.534106,1.380629,1.541951,1.484198,1.308665,0.401899,-0.125574,-0.533562,-0.633584,-0.553423,-0.365249,1.293886,1.485221,1.559459,1.399615,1.513302,1.382221,-0.309042,-0.497728,-1.037036,-1.037036,6
-0.579287,-0.499915,-0.12426,1.46728,1.530263,1.500277,1.542907,1.494015,1.357573,0.763756,-0.294205,-0.575976,-0.556334,-0.441641,1.385632,1.540378,1.584093,1.488595,1.465715,1.530624,1.347698,-0.080715,-0.509067,-1.033592,-1.033592,6
-0.642426,-0.548432,-0.13867,1.425925,1.569824,1.506218,1.53391,1.18444,0.483325,0.211851,0.016729,-0.490376,-0.606415,-0.605713,-0.438113,1.322535,1.504767,1.609608,1.510451,1.466555,1.538868,1.400531,-0.537331,-1.024593,-1.024593,6
-0.902883,-0.602922,1.569827,1.626565,1.528132,1.580128,1.293657,-0.441357,-0.863232,-0.854271,-0.507743,1.536307,1.598769,1.46191,1.645533,1.602039,-0.36763,-0.801752,-0.543404,-1.280054,-0.571021,-1.291042,-1.08335,-0.573948,-0.469514,3
-0.834708,-0.613501,1.509176,1.601231,1.285958,-0.704596,-0.863708,-0.843877,-0.482337,1.463056,1.378566,1.661186,1.661001,1.425423,-0.581217,-0.741381,-0.47933,-1.225598,-1.256683,-0.571938,-0.663107,-1.339956,-1.322007,-0.497759,-0.358331,3
-0.655416,-0.548618,-0.148273,0.888727,1.098376,1.379274,1.443075,1.411547,1.546472,0.397683,-0.357166,-0.567572,-0.667556,-0.548978,-0.334463,1.549947,1.644159,1.426318,1.562236,1.592523,0.651894,-0.117167,-0.566653,-1.0217,-1.0217,6
-0.626609,-0.565233,-0.145398,1.35549,1.47104,1.581369,1.536976,1.3655,-0.460638,-0.619428,-0.643975,-0.524518,1.442098,1.627937,1.678967,1.541111,1.479527,1.509557,1.659273,1.547095,0.873158,-0.128849,-0.557877,-1.013629,-1.013629,6
-0.871359,-0.604187,1.610424,1.542223,1.369987,-0.477247,-0.857471,-0.876726,-0.518614,1.514315,1.592094,1.488884,1.649065,1.434555,-0.097354,-0.838315,-0.400806,-1.344867,-1.396257,-0.656171,-0.489583,-0.660002,-1.406908,-1.331855,-0.335231,3
-0.620679,-0.539157,-0.35378,0.902877,1.511421,1.406091,1.500066,1.474459,1.325282,-0.314463,-0.517922,-0.618939,-0.52151,1.104235,1.520963,1.619045,1.550194,1.410198,1.432303,1.575198,1.441604,-0.323449,-0.529905,-1.036537,-1.036537,5
-0.579018,-0.496846,-0.2926,0.759673,1.4688,1.363337,1.517001,1.405256,0.801955,-0.222485,-0.605667,-0.59372,-0.433339,1.212934,1.537055,1.519659,1.323713,1.368652,1.530894,1.50939,1.395471,-0.09419,-0.506196,-1.045519,-1.045519,6
-0.6394,-0.533562,-0.334803,0.689665,1.375494,1.488007,1.418899,1.435291,1.535739,1.157943,-0.478512,-0.614577,-0.605463,-0.425443,0.333375,1.512791,1.594618,1.543738,1.416014,1.44329,1.560261,1.552393,-0.560274,-1.029628,-1.029628,6
-0.633811,-0.542741,-0.349012,1.14658,1.333684,1.472953,1.507468,1.448854,0.953056,-0.485156,-0.635131,-0.594694,-0.193781,1.218878,1.494994,1.632204,1.615613,1.455272,1.606046,1.518488,1.098744,-0.114543,-0.537982,-1.028075,-1.028075,6
-0.814986,-0.736371,-0.01762,1.519164,1.524893,1.615949,1.481309,-0.532487,-0.789552,-0.561481,1.055084,1.485197,1.597943,1.4189,-0.287903,-0.74253,-0.620003,-0.781735,-1.333863,-1.302372,-0.70975,-0.547035,-1.204379,-1.369549,-0.543802,3
-0.96173,-0.634475,1.439485,1.510736,1.529577,1.358055,-0.575027,-0.874129,-0.774009,-0.281101,1.529793,1.657785,1.431039,1.73445,1.658651,-0.442553,-0.877312,-0.497626,-1.268585,-1.221828,-0.595341,-0.591833,-1.359413,-0.365021,-0.371042,3
-0.62721,-0.570554,-0.391589,1.405539,1.481219,1.440017,1.469237,1.357613,0.749853,-0.470215,-0.630719,-0.598418,-0.407959,0.794845,1.440017,1.622797,1.679282,1.458845,1.435493,1.608982,1.510073,-0.347379,-0.544684,-1.025745,-1.025745,5
-0.548843,-0.327839,0.947616,1.361419,1.468838,1.347166,1.422371,1.303827,0.671129,-0.330863,-0.538008,-0.587709,-0.476708,-0.25071,1.458409,1.593524,1.620987,1.326655,1.288299,1.485293,1.495143,-0.069985,-0.462189,-1.055349,-1.055349,6
-0.637833,-0.556164,-0.346526,1.315937,1.454695,1.462975,1.390225,0.985072,-0.024497,-0.438475,-0.591155,-0.587677,-0.438297,1.639823,1.711863,1.509109,1.476934,1.635801,1.567782,1.285891,0.628775,-0.378228,-0.551373,-1.022356,-1.022356,6
-0.906907,-0.60129,1.573683,1.636166,1.615998,1.425185,0.945482,-0.566509,-0.91543,-0.883318,-0.500288,1.510803,1.495973,1.657522,-0.829257,-0.505607,-1.32549,-1.342507,-0.864414,-0.513753,-0.631227,-1.324857,-1.318193,-0.457933,-0.41801,3
-0.611321,-0.538859,-0.356075,0.86544,1.543654,1.513227,1.616247,1.48106,0.664507,-0.129355,-0.534458,-0.635435,-0.557551,-0.364866,1.188953,1.445959,1.573322,1.611574,1.512792,1.567345,1.409663,-0.36353,-0.559094,-1.020108,-1.020108,6
-0.642512,-0.541369,-0.150478,1.388478,1.556964,1.544436,1.407014,0.737419,-0.227677,-0.435574,-0.584437,-0.576485,-0.436392,1.431686,1.596592,1.63686,1.51708,1.511838,1.575628,1.515673,-0.176198,-0.390487,-0.545409,-1.019533,-1.019533,6
-0.598995,-0.51256,-0.306688,0.928964,1.523998,1.315719,1.475653,1.296073,1.04541,0.633269,-0.377902,-0.566368,-0.599679,-0.46405,-0.008056,1.481062,1.609759,1.305675,1.322563,1.569693,1.394859,0.871238,-0.512019,-1.04841,-1.04841,6
-0.61698,-0.531618,-0.137866,1.337924,1.517441,1.54503,1.529283,1.375465,0.757676,-0.423871,-0.588799,-0.597202,-0.442427,-0.2213,1.4154,1.602979,1.61734,1.467932,1.58635,1.535707,1.332003,-0.141872,-0.556549,-1.0259,-1.0259,6
-0.838371,-0.570641,1.430478,1.563154,1.543702,1.373949,1.171111,-0.608432,-0.809658,-0.825137,-0.513031,1.582108,1.513276,1.701816,-0.746296,-0.61889,-0.684496,-1.226424,-1.230132,-0.87849,-0.609446,-1.256002,-1.240058,-0.591673,-0.561945,2
-0.729934,-0.28903,1.373315,1.516623,1.561361,1.271492,-0.652368,-0.615125,-0.209286,1.461426,1.538992,1.45242,1.516332,1.6979,-0.465281,-0.640487,-0.724385,-1.208953,-1.267461,-1.135222,-0.785595,-0.756806,-1.287065,-0.612888,-0.588021,2
-0.545478,-0.469008,-0.288732,0.154263,1.394082,1.531877,1.36081,1.47183,1.473958,0.827666,-0.411481,-0.538387,-0.590413,-0.256557,1.362266,1.510704,1.586323,1.38568,1.438221,1.544088,1.386128,-0.276487,-0.4708,-1.046907,-1.046907,6
-0.618479,-0.524594,-0.315796,0.950074,1.391739,1.501124,1.349659,1.506664,1.432876,0.782932,-0.396491,-0.569232,-0.580076,-0.480534,1.427101,1.553105,1.606855,1.40388,1.575029,1.535071,1.351781,-0.116664,-0.548286,-1.035709,-1.035709,6
-0.938536,-0.622916,1.314829,1.489962,1.548058,1.383276,-0.683822,-0.873807,-0.56501,1.486582,1.565592,1.407571,1.767978,1.648405,-0.402215,-0.859568,-0.570524,-1.20694,-1.242896,-0.596889,-1.328667,-1.181166,-0.445142,-0.358442,-0.468444,3
-0.610521,-0.526268,-0.333552,0.686893,1.135338,1.523913,1.436288,1.515769,1.416561,0.762819,-0.477937,-0.60372,-0.544745,-0.377181,1.447528,1.566004,1.573115,1.392132,1.376419,1.552012,0.653289,-0.098503,-0.512437,-1.039215,-1.039215,6
-0.828985,-0.560482,1.252751,1.582042,1.458225,1.307011,-0.350793,-0.767005,-0.810003,-0.585602,1.570657,1.653913,1.49416,1.73717,1.651423,-0.748273,-0.504622,-1.221964,-1.226198,-0.688249,-0.602004,-0.719488,-1.244219,-1.307693,-0.463706,3
-0.626274,-0.539979,-0.349807,0.654325,1.329855,1.445213,1.400929,1.456913,1.217995,0.545636,-0.44298,-0.603071,-0.614388,-0.238396,1.592937,1.669697,1.424765,1.49245,1.654279,1.579597,1.389994,-0.343367,-0.537967,-1.027284,-1.027284,6
-0.908302,-0.648518,1.471229,1.501801,1.039132,-0.68575,-0.836857,-0.482923,1.027838,1.515627,1.457404,1.756697,1.595854,-0.713596,-0.839291,-0.509523,-1.326417,-1.32891,-0.511334,-0.757857,-1.344877,-1.334148,-0.459673,-0.341494,-0.414944,3
-0.621092,-0.556991,0.099708,0.651941,1.37959,1.507936,1.405067,1.465154,1.093578,-0.349127,-0.544049,-0.604484,-0.507732,1.40014,1.546151,1.603593,1.392329,1.380792,1.577516,1.523919,1.326954,-0.11134,-0.535757,-1.034812,-1.034812,6
-0.676406,-0.58304,-0.358323,0.711002,1.439219,1.538465,1.379299,1.433016,1.403118,0.215765,-0.542287,-0.663715,-0.574307,-0.356499,1.340593,1.603843,1.528044,1.395923,1.352007,1.389472,1.532634,1.54963,-0.576056,-1.030267,-1.030267,6
-0.785467,-0.511752,1.425447,1.570546,1.448125,0.459892,-0.43916,-0.862322,-0.820304,-0.448147,1.51469,1.534639,1.680159,1.638372,-0.584155,-0.717075,-0.573487,-1.256632,-1.05933,-0.692444,-0.618298,-0.823244,-1.306504,-1.29267,-0.527732,2
-0.6537,-0.55382,0.708772,0.899773,1.386999,1.518504,1.39883,1.440238,1.302363,0.693074,-0.289935,-0.504119,-0.638616,-0.570725,1.069045,1.631352,1.601093,1.471522,1.415098,1.439328,1.56924,1.579251,-0.546051,-1.033778,-1.033778,5
-0.908548,-0.849355,-0.610363,1.409944,1.494805,1.421888,-0.52412,-0.923592,-0.643909,1.484328,1.641896,1.636658,1.385429,1.467775,1.703918,1.619267,-0.824023,-0.491286,-1.320216,-1.306366,-0.641604,-0.548698,-1.198121,-1.32488,-0.45994,2
-0.555254,-0.483544,-0.299057,0.117243,0.650368,1.477207,1.401016,1.426929,1.33164,-0.345927,-0.511666,-0.559559,-0.456558,-0.253487,1.372626,1.54235,1.620089,1.389247,1.37882,1.547306,1.390176,-0.071993,-0.48565,-1.048941,-1.048941,6
-0.800133,-0.776749,-0.591559,0.326835,1.366105,1.531225,1.416387,-0.51798,-0.777825,-0.511744,1.502461,1.576018,1.424292,1.617298,-0.610047,-0.753057,-0.51765,-1.098755,-1.39149,-0.766165,-0.552409,-0.66011,-1.390796,-1.332625,-0.489347,2
-0.831262,-0.761435,-0.354241,1.352675,1.601484,1.617392,1.534244,1.141198,-0.532798,-0.762898,-0.476673,1.496063,1.579848,1.352463,-0.321533,-0.732651,-0.547667,-0.62214,-1.321929,-1.335657,-0.80899,-0.548197,-0.667872,-1.371309,-0.568942,2
-0.578283,-0.519113,-0.367437,0.706786,1.333927,1.460876,1.476331,1.361402,1.444563,0.896903,-0.324642,-0.511153,-0.572407,-0.45987,-0.249809,1.272354,1.477926,1.551151,1.31651,1.435977,1.52294,1.338465,-0.508663,-1.050264,-1.050264,6
-0.597058,-0.532086,-0.389685,0.313666,0.838602,1.503956,1.506638,1.555971,1.447975,0.759063,-0.476094,-0.619637,-0.458751,-0.230327,0.288125,1.461854,1.586644,1.593642,1.437945,1.587694,1.564135,-0.348271,-0.525473,-1.023573,-1.023573,6
-0.581656,-0.333396,0.365124,0.90451,1.362484,1.538244,1.421229,1.314064,-0.117191,-0.472533,-0.554479,-0.503365,-0.298374,1.442234,1.578119,1.611468,1.454814,1.525664,1.468581,1.560674,1.482703,-0.133022,-0.513286,-1.036924,-1.036924,6
-0.738844,-0.50784,-0.26723,1.220854,1.535112,1.612046,1.35785,0.909069,-0.306845,-0.721387,-0.60142,0.589029,1.390918,1.61902,1.605748,-0.555777,-0.675249,-0.64857,-0.883578,-1.213096,-1.149225,-0.716011,-1.240171,-1.126977,-0.60097,1
-0.568243,-0.479491,0.14205,0.708448,1.400514,1.337887,1.395509,1.354734,0.920377,0.56415,-0.399847,-0.528481,-0.551017,-0.447543,0.570987,1.470954,1.685691,1.394776,1.348386,1.522105,1.550427,-0.317883,-0.49856,-1.048758,-1.048758,6
-0.57895,-0.499558,-0.307692,1.344021,1.503672,1.474365,1.312091,1.035097,0.630838,-0.340637,-0.529105,-0.605749,-0.543211,-0.366318,1.484286,1.57369,1.492154,1.501163,1.612121,1.590682,0.663224,0.141623,-0.500003,-1.031697,-1.031697,6
-0.828342,-0.612306,-0.366881,1.425028,1.594676,1.626958,1.270681,-0.652659,-0.79638,-0.447451,1.457142,1.645284,1.571473,1.702114,1.607454,-0.309547,-0.730505,-0.556889,-0.921993,-1.25175,-1.223946,-0.580748,-1.279564,-1.253751,-0.502464,3
-0.680639,-0.565875,-0.349658,0.466843,1.427624,1.515905,1.391094,1.15248,1.007414,-0.419615,-0.610834,-0.677841,-0.571213,0.468716,1.421653,1.620811,1.669283,1.447645,1.448348,1.639076,1.489093,0.606288,-0.579842,-1.015074,-1.015074,6
-0.760905,-0.483179,0.632715,1.429227,1.441703,1.3114,-0.576586,-0.695499,-0.621522,-0.386376,1.56854,1.470351,1.736733,1.707854,-0.261664,-0.688961,-0.544957,-0.714467,-1.433206,-0.815914,-0.549324,-0.700582,-1.408252,-1.430372,-0.587884,2
-0.781451,-0.747284,-0.364439,0.539225,1.463788,1.532124,1.383889,-0.461517,-0.776868,-0.714441,-0.274215,1.504579,1.552729,1.368119,1.737129,-0.522997,-0.717847,-0.628233,-0.78778,-1.247791,-1.291988,-0.611349,-0.688137,-1.314654,-0.56526,2
-0.887751,-0.624585,0.272029,1.55316,1.486488,-0.487991,-0.837851,-0.634061,1.432186,1.584399,1.451055,1.683988,1.66407,1.433863,-0.342486,-0.811392,-0.438616,-1.337661,-1.062503,-0.536947,-0.676056,-1.398903,-1.33003,-0.595903,-0.394021,3
-0.773249,-0.551209,0.613523,1.488164,1.523788,1.366164,0.518461,-0.564459,-0.725572,-0.731013,-0.393366,1.601868,1.65018,1.412768,1.694588,1.672872,-0.274245,-0.706125,-0.652616,-1.204006,-1.118777,-0.63822,-1.239947,-1.318796,-0.576659,2
-0.722227,-0.641135,-0.252123,0.590402,1.486025,1.498007,-0.44604,-0.737412,-0.687621,-0.50924,1.46867,1.633126,1.49966,1.695106,1.655852,-0.272969,-0.676754,-0.680163,-1.225655,-1.254952,-0.627685,-0.718053,-1.218941,-1.335702,-0.649317,2
-0.935389,-0.691973,1.285882,1.407144,1.255618,-0.781873,-0.870073,-0.399742,1.731545,1.267226,1.783159,1.735898,-0.647863,-0.848992,-0.533835,-1.346891,-1.36364,-0.92007,-0.884376,-0.475339,-0.575189,-1.383809,-1.415354,-0.4361,-0.409588,3
-0.557829,-0.465605,-0.132738,0.936122,1.105364,1.35098,1.398395,1.325253,0.496921,-0.027258,-0.473196,-0.591631,-0.530821,-0.337179,0.440853,1.389627,1.676544,1.42366,1.309909,1.560139,1.547218,-0.309595,-0.465109,-1.050374,-1.050374,6
-0.788717,-0.541955,1.169008,1.539887,1.550234,1.443775,-0.665911,-0.791545,-0.451086,1.530919,1.689342,1.698999,1.491601,1.752113,1.655312,-0.577433,-0.712012,-0.616498,-1.114046,-1.099285,-0.63034,-1.264295,-1.134142,-0.506017,-0.540368,2
-0.82985,-0.32359,1.450167,1.5985,1.600661,1.470206,0.527747,-0.357284,-0.766803,-0.790418,-0.469762,1.225014,1.570209,1.540346,1.370008,-0.047375,-0.74747,-0.440233,-1.406532,-0.836215,-0.538074,-0.696703,-1.389199,-1.229466,-0.468249,3
-0.927373,-0.411071,1.461672,1.474363,1.279782,0.830596,-0.659755,-0.906485,-0.544538,1.679618,1.53459,1.503167,1.759384,1.732796,-0.062317,-0.82537,-0.600958,-1.22442,-1.212838,-0.606658,-0.750358,-1.236425,-1.154806,-0.673593,-0.535393,3
-0.557182,-0.531785,-0.348048,1.433462,1.460638,1.374418,1.386095,1.488359,1.457691,0.776986,-0.216677,-0.546977,-0.568325,-0.410956,-0.201168,1.485304,1.593025,1.329125,1.313081,1.545876,1.425495,-0.05169,-0.476833,-1.047176,-1.047176,6
-0.792945,-0.533134,1.465515,1.529966,-0.48662,-0.699511,-0.790938,-0.717995,-0.503381,1.174877,1.578608,1.493484,1.596443,1.608199,-0.547808,-0.737229,-0.502794,-0.662624,-1.265666,-1.276023,-0.684736,-0.712584,-1.330543,-1.177685,-0.506077,2
-0.786864,-0.757461,-0.536615,0.662742,1.325975,1.533978,1.35151,-0.480809,-0.763263,-0.550573,1.729834,1.726611,1.456132,1.678267,1.621246,-0.073106,-0.725257,-0.821276,-1.192088,-1.171139,-0.577299,-0.692581,-1.260588,-1.238201,-0.637915,2
-0.659367,-0.550032,-0.335828,0.967442,1.387352,1.474388,1.489775,1.382415,0.979154,-0.455176,-0.600428,-0.640651,-0.480437,1.471173,1.621937,1.652939,1.448209,1.480474,1.612406,1.628941,1.456935,-0.386385,-0.563512,-1.020613,-1.020613,6
-0.636296,-0.537964,-0.15436,1.330823,1.510892,1.476022,1.534998,1.426576,0.798242,-0.235963,-0.450677,-0.602098,-0.605137,-0.228316,1.387221,1.551816,1.62335,1.450682,1.532643,1.567962,1.376345,-0.339227,-0.539018,-1.024755,-1.024755,6
-0.857996,-0.791792,-0.325585,0.875757,1.394146,1.552779,1.520001,1.361165,-0.476954,-0.851785,-0.821333,-0.613431,1.598103,1.51737,1.671349,1.630679,-0.770384,-0.853322,-1.069035,-1.034496,-0.642871,-1.174779,-1.092506,-0.67654,-0.699485,2
